科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"315,260,058.72","461,053,642.69","528,692,888.45","329,108,565.83","644,792,984.66","930,329,729.47","273,125,798.26","564,083,104.06","1,041,430,209.75","1,281,376,857.32","307,662,960.28","596,858,706.55","1,019,613,512.16","1,387,054,787.23","308,500,430.69","667,218,394.05","1,262,692,729.88","1,658,490,076.31","344,829,309.48","719,418,651.69","1,276,994,865.84","1,919,484,998.09","435,314,155.99","998,685,244.07","1,522,680,830.94","2,262,093,088.98","496,590,444.05","1,119,997,612.24","1,948,614,534.76","3,282,999,975.86","718,046,609.59","1,613,667,612.06","2,367,935,979.18","3,731,602,626.26"
二、营业利润,"56,372,544.70","73,547,404.32","82,328,188.71","40,406,546.29","77,807,464.39","104,926,265.55","24,179,332.94","58,082,854.67","101,665,239.69","118,664,356.48","32,090,238.59","47,013,510.55","74,327,093.08","84,287,808.94","27,761,013.29","41,526,728.64","65,387,576.60","81,929,269.12","16,931,802.63","16,136,878.91","25,589,339.79","23,485,505.60","10,724,240.09","23,385,432.85","39,776,361.90","42,821,633.63","13,086,353.01","26,299,813.28","97,338,482.54","207,302,668.92","64,981,918.16","175,796,554.32","256,309,192.14","361,336,548.56"
减:营业成本,"41,506,427.04","92,568,703.91","117,025,773.69","88,955,427.22","250,790,682.64","387,704,880.04","148,289,834.41","276,947,720.30","517,197,865.14","599,271,697.88","155,206,988.58","295,303,021.25","526,656,875.18","627,404,303.46","158,087,765.38","317,373,272.53","723,333,985.78","839,965,559.19","194,845,204.33","359,415,228.68","700,499,551.26","1,080,028,975.19","260,554,139.33","561,615,056.97","890,280,062.67","1,229,237,315.73","328,087,708.01","658,691,018.03","1,120,198,219.06","1,825,103,843.17","419,516,104.16","863,245,132.48","1,111,913,731.10","1,567,609,722.27"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,706,733.75","6,346,761.86","6,813,797.51","3,972,640.61","6,283,816.93","9,036,554.15","1,815,022.20","4,351,162.19","8,474,157.51","13,721,028.01","2,910,148.58","6,245,683.27","10,074,073.05","15,189,125.51","2,630,931.94","6,118,470.33","9,378,337.61","14,924,612.82","2,341,572.34","5,690,927.32","10,547,411.80","15,165,970.50","2,939,749.29","7,334,441.58","10,950,228.26","17,958,295.30","2,834,935.04","8,069,569.89","13,295,508.11","34,432,772.55","7,852,485.14","18,949,982.78","30,590,526.28","51,904,313.39"
营业外收入,"1,187,466.67","2,492,396.87","4,221,192.33","4,256,298.41","5,983,592.61","8,147,307.82","3,008,987.52","1,964,679.95","3,378,241.99","23,348,036.38","675,357.70","2,369,886.53","2,826,128.04","27,700,802.45","300,387.53","5,344,182.83","10,364,207.45","42,692,276.51","6,719,327.56","21,033,873.80","23,809,922.15","26,859,344.30","8,098,178.94","14,989,626.13","21,800,797.69","28,258,639.55","5,312,317.93","7,697,203.53","13,831,406.22","28,365,439.24","3,902,204.82","17,740,512.79","31,132,643.38","2,455,859.36"
销售费用,"177,756,358.47","229,497,721.06","258,902,947.29","144,035,646.88","230,523,580.62","322,995,936.07","75,358,966.94","165,147,742.20","316,421,581.91","408,547,123.66","90,735,218.69","180,129,968.20","299,030,959.32","462,923,533.69","86,753,932.50","207,081,790.00","339,850,882.58","507,039,814.21","89,935,782.09","225,229,035.59","371,496,596.58","561,495,929.11","112,491,898.65","287,884,956.34","412,537,214.19","681,723,699.43","97,290,782.04","282,541,234.24","494,324,733.60","862,812,286.89","159,525,167.51","397,018,148.04","722,439,053.83","1,352,512,986.78"
减:营业外支出,"536,972.37","3,171,836.77","3,754,929.53","1,082,224.25","2,668,608.99","3,387,870.73","234,736.95","575,806.38","4,624,583.02","7,101,606.04","318,180.75","1,345,381.40","1,503,023.69","3,113,861.83","957,789.70","5,129,001.91","5,669,966.39","37,775,678.25","162,214.54","286,838.06","799,674.44","1,383,914.82","1,755,046.38","1,807,560.94","2,281,652.60","2,322,790.57","100,720.46","290,146.06","444,380.62","2,464,212.06","1,074,226.84","868,239.24","2,226,887.02","3,681,316.36"
管理费用,"23,753,274.15","41,172,330.37","49,958,488.10","42,839,369.23","67,286,474.69","89,769,681.63","27,533,318.00","58,815,906.87","100,342,142.90","138,329,628.18","27,692,614.27","68,889,702.73","108,131,545.10","183,404,577.87","29,919,624.50","79,373,078.88","105,487,300.81","181,524,721.37","34,706,500.32","92,399,884.86","139,326,278.78","202,219,008.16","41,794,427.54","97,116,918.44","142,858,794.86","222,572,000.41","44,849,073.78","111,478,438.45","178,280,340.00","289,085,134.00","60,643,705.45","135,810,056.80","210,220,311.52","341,264,781.54"
其中:非流动资产处置净损失,,"75,099.93",,"11,375.00","11,375.00","171,002.52",,,,"60,727.50",,340.00,340.00,340.00,,,,"10,311.49",,,,"180,974.83",,"267,765.34",,"270,986.98",,"2,248.17",,"533,544.30",,"42,245.21",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
