科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"804,726,853.73","736,887,789.62",,"781,594,135.97",,"326,756,355.70","965,327,362.47","1,364,069,350.53","254,790,389.11","632,077,229.90","961,115,385.91","1,290,882,821.79","366,664,519.87","817,059,127.64","1,228,518,270.45","1,414,286,766.14","401,383,369.95","676,746,054.52","1,152,290,933.36","1,312,980,718.84","462,016,503.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"28,355,759.51","54,224,679.83",,"42,043,122.66",,"23,019,290.04","48,722,867.65","43,300,230.04","13,098,281.53","25,940,633.59","48,000,374.65","64,339,534.61","24,302,217.24","43,769,178.15","58,195,963.48","64,618,319.85","14,039,162.29","23,922,346.91","32,774,267.63","41,092,721.69","4,571,070.79"
支付其他与投资活动有关的现金,,,,"67,625.00",,,"80,000,000.00","80,000,000.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"53,987,368.42","57,513,297.14",,"34,231,354.33",,"5,179,378.43","63,240,421.45","94,715,142.14","9,168,202.14","23,344,027.80","20,218,913.24","57,454,115.35","7,584,692.97","23,818,560.40","49,208,790.25","67,941,200.90","11,919,501.62","31,444,405.45","45,523,205.98","60,994,635.74","37,431,028.00"
投资活动现金流出小计,"270,512,673.72","199,676,762.37",,"29,563,470.67",,"29,197,980.27","436,004,374.87","487,090,426.79","79,203,062.23","102,705,012.05","143,312,109.11","157,650,114.26","23,228,757.53","42,760,980.21","47,595,462.54","59,531,675.56","22,567,541.79","21,358,092.98","24,322,340.86","26,338,772.07","13,575,060.26"
经营活动现金流入小计,"887,069,981.66","848,625,766.59",,"857,868,612.96",,"354,955,024.17","1,077,290,651.57","1,502,084,722.71","277,056,872.78","681,361,891.29","1,029,334,673.80","1,412,676,471.75","398,551,430.08","884,646,866.19","1,335,923,024.18","1,546,846,286.89","427,342,033.86","732,112,806.88","1,230,588,406.97","1,415,068,076.27","504,018,602.42"
投资活动产生的现金流量净额,"-270,289,131.38","-197,261,132.82",,"-27,899,044.67",,"-27,684,724.35","-432,093,172.88","-477,886,080.78","-77,403,062.23","-98,538,492.45","-132,152,868.79","-144,565,373.94","-21,408,757.53","-38,737,128.08","-36,373,634.68","-46,198,509.43","-20,855,322.73","62,556,860.69","64,540,056.43","62,524,050.22","-13,575,060.26"
购买商品、接受劳务支付的现金,"708,741,829.10","663,263,167.39",,"559,136,599.26",,"195,868,374.17","690,762,170.89","897,339,922.30","203,742,725.43","390,567,690.74","608,186,929.25","821,146,676.64","200,438,334.19","448,238,695.85","669,077,334.02","698,108,428.31","306,597,721.49","452,649,607.34","864,578,001.80","966,933,144.02","348,902,390.56"
吸收投资收到的现金,"5,360,000.00","1,000,000.00",,,,,"276,800,000.00","276,800,000.00",,,,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,"1,800,000.00","3,000,000.00",
支付给职工以及为职工支付的现金,"84,850,468.91","102,275,466.56",,"95,629,085.03",,"54,900,628.79","134,272,588.22","177,631,395.99","53,045,934.65","93,974,299.49","144,668,153.65","192,169,968.97","49,606,498.44","90,048,575.37","140,512,694.04","202,211,745.37","52,935,463.59","98,828,671.26","150,542,239.74","218,336,706.34","61,533,662.48"
取得借款收到的现金,"139,000,000.00","270,000,000.00",,"80,000,000.00",,"34,376,697.86","203,936,657.44","383,128,828.86","64,000,000.00","74,000,000.00","100,285,316.18","250,285,316.18",,"47,000,000.00","47,000,000.00","152,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00","5,000,000.00"
