科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"104,125,874.69","141,692,620.74","208,987,087.15","212,181,944.16","448,095,120.05","323,329,610.30","246,837,467.35","238,540,667.21","195,798,634.82","320,622,679.46","341,314,463.68","445,600,403.03","459,599,478.19","427,985,982.22","541,726,876.95","400,014,475.22","442,194,052.93","581,640,152.25","1,185,526,428.50","566,632,617.49"
短期借款,"95,000,000.00","110,000,000.00","60,000,000.00","40,000,000.00",,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,
应付票据,"638,060.00","1,228,000.00",,,,,,,,,,,,,,,,,,
应收账款,"125,463,139.57","134,027,486.56","166,553,639.91","171,795,638.50","186,465,841.86","179,900,223.07","155,344,892.34","197,339,437.72","227,081,255.92","196,439,606.59","216,383,474.15","285,065,985.85","282,950,208.53","304,439,187.07","242,727,871.93","330,713,459.97","358,923,940.15","370,517,866.59","360,270,021.16","501,341,528.35"
应付账款,"193,784,660.24","133,076,973.92","87,047,935.08","56,556,602.84","78,542,361.81","85,650,204.05","103,648,370.39","96,109,480.99","150,701,620.66","134,532,630.80","145,713,288.85","159,638,361.09","144,636,795.04","156,216,108.55","208,396,798.38","165,222,001.87","284,834,363.32",,"300,519,387.20",
预付款项,"4,947,959.79","2,673,696.15","1,575,761.21","8,882,764.04","15,721,717.90","14,229,106.93","7,534,123.80","11,774,631.00","6,704,196.59","4,442,135.93","18,257,055.26","25,753,605.04","29,018,345.91","33,786,294.01","23,860,556.80","64,173,234.55","95,292,117.55","94,103,513.33","32,121,080.39","158,270,709.87"
预收款项,,"1,208,333.34","1,788,333.31","1,033,333.30","250,000.00","424,999.99","50,000.00","773,645.31","1,115,705.70","1,239,166.65","1,334,533.31","809,533.30","729,133.29","1,024,966.62","948,541.66","812,846.15","601,315.80","1,393,558.47","2,416,395.52","2,745,565.49"
其他应收款,"9,243,603.24","5,611,336.93","24,402,824.89","14,319,411.77","12,153,338.96","7,626,038.55","7,739,617.45","19,063,832.04","7,017,837.31","5,742,164.04","9,526,475.81","7,388,160.97","5,576,961.29","4,555,008.71","6,494,503.80","4,730,472.96","11,365,237.23","18,394,150.54","33,411,219.21","57,626,092.13"
应付职工薪酬,"17,195,042.20","24,465,021.85","39,782,473.27","14,265,875.89","14,695,263.43","15,611,182.40","42,679,848.19","18,211,209.83","19,852,915.55","20,806,211.51","48,235,144.81","21,363,424.71","22,796,058.50","23,753,320.32","56,106,966.58","23,555,553.90","24,578,754.38","26,333,190.96","62,997,462.22","24,669,579.60"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"15,014,094.99","25,516,883.18","19,450,702.92","16,403,851.82","32,296,136.69","41,379,918.83","42,158,918.28","37,600,412.73","46,676,726.04","53,877,508.79","56,083,086.22","35,000,571.76","52,269,071.48","56,836,954.01","63,302,823.40","61,224,056.00","71,776,259.41","78,536,319.57","98,641,225.13","95,559,910.67"
应收利息,"85,511.11","501,511.11",,,,,,,,,,,,,,,,,,
应付利息,"1,871,505.27","1,770,870.81","1,411,558.52","1,392,348.45","998,798.82","469,424.77","302,262.64","372,112.60","407,403.41","458,953.96","513,016.67","527,987.46","461,612.85","451,304.60","478,873.07","508,637.86","561,968.40","802,720.15","1,132,827.29","1,231,116.72"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,"25,546,600.00",,"40,800,000.00",,,,,,,,,,,,,,,,
存货,"35,003,324.31","21,199,447.54","28,837,806.88","32,024,905.31","40,143,923.55","52,188,422.86","35,958,023.32","47,343,692.13","52,757,641.45","57,632,776.55","54,600,766.46","66,913,590.60","66,245,631.59","84,775,530.62","80,935,098.82","99,313,004.40","89,880,451.57","110,483,798.29","89,975,597.14","90,177,968.52"
其他应付款,"1,910,567.33","3,206,702.85","2,981,266.01","2,948,742.53","7,961,774.18","7,950,440.36","5,179,368.31","7,065,248.96","4,363,856.00","4,659,936.35","4,958,150.97","3,433,929.90","4,729,788.42","3,265,788.16","93,448,094.69","93,097,616.77","66,164,001.16","68,531,150.45","112,868,211.27","77,382,796.03"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"102,840,000.00","106,840,000.00","161,340,000.00","157,840,000.00","74,340,000.00","38,840,000.00","38,840,000.00","59,600,000.00","48,680,000.00","46,020,000.00","60,520,000.00","52,520,000.00","18,840,000.00","34,340,000.00","38,840,000.00","25,840,000.00","20,840,000.00","22,360,000.00","82,350,000.00","13,700,000.00"
其他流动资产,"15,244,156.13","20,561,060.58","7,924,011.00","3,101,536.12","3,015,842.63","5,111,785.43","118,307,514.85","121,536,541.84","208,069,435.65","214,098,835.92","271,727,553.85","219,148,833.33","148,206,471.20","265,434,804.30","258,716,096.74","270,683,696.18","120,951,028.91","124,974,101.08","161,062,131.83","184,000,522.52"
其他流动负债,,,,,,,,,,,,,,,,,,,,
流动资产合计,"294,113,568.84","326,267,159.61","438,281,131.04","442,306,199.90","705,595,784.95","582,385,187.14","571,721,639.11","635,598,801.94","697,429,001.74","798,978,198.49","911,809,789.21","1,049,870,578.82","991,597,096.71","1,120,976,806.93","1,154,461,005.04","1,169,628,343.28","1,118,606,828.34","1,300,113,582.08","1,862,366,478.23","1,558,049,438.88"
流动负债合计,"428,253,930.03","432,859,385.95","373,802,269.11","331,240,754.83","209,084,334.93","190,326,170.40","232,858,767.81","219,732,110.42","271,798,227.36","261,594,408.06","317,357,220.83","273,293,808.22","244,462,459.58","275,888,442.26","461,522,097.78","370,260,712.55","469,356,662.47","500,168,548.76","659,792,681.34","515,794,554.18"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,
长期借款,"725,040,000.00","646,200,000.00","532,860,000.00","528,360,000.00","388,860,000.00","237,360,000.00","174,520,000.00","194,260,000.00","300,180,000.00","320,419,999.00","286,659,998.00","296,739,997.00","310,319,992.00","346,819,987.00","301,479,982.00","362,603,977.00","488,203,872.00","676,926,557.00","566,687,112.00","302,527,107.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,"501,058,296.99","510,008,773.62"
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,"4,154,220.25","3,948,199.46","3,742,178.66","3,690,673.46","3,639,168.26","3,587,663.06","3,536,157.86","3,484,652.66","3,433,147.46","3,381,642.26","3,330,137.06","3,278,631.86","3,227,126.66","3,175,621.46","3,124,116.26","3,072,611.06","3,021,105.86","2,969,600.66","2,918,095.46","2,866,590.26"
