科目,2007年1-6月,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2015年度
销售商品、提供劳务收到的现金,"71,732.22","290,000.00",,"1,300,000.00",,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"12,261,725.28","13,884,930.54","4,680,909.49","9,636,851.60","4,606,615.84","5,642,195.69","5,270,733.83","5,410,303.51","8,296,369.70","6,725,648.34","3,742,347.10","5,484,894.81","3,815,192.01","5,571,166.29","5,247,882.08"
投资活动现金流出小计,"45,606.00","54,305.00","2,100.00","25,900.00",,"3,600.00",,"3,950.00",,"58,835.12",,,,,
经营活动现金流入小计,"12,333,457.50","14,174,930.54","4,680,909.49","10,936,851.60","4,606,615.84","5,642,195.69","5,270,733.83","5,410,303.51","8,296,369.70","6,725,648.34","3,742,347.10","5,484,894.81","3,815,192.01","5,571,166.29","5,247,882.08"
投资活动产生的现金流量净额,"-45,606.00","-49,505.00","3,000.00","-20,640.00",,"579,140.00","11,200.00","37,650.00","2,000.00","2,167,976.59",,"7,500.00","58,100.00","61,742.00",400.00
购买商品、接受劳务支付的现金,"42,005.50","161,646.01","92,347.37","143,961.44",,,,,,,,,,,
吸收投资收到的现金,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"1,531,618.83","2,218,395.91","868,922.56","2,206,911.93","290,952.22","2,937,873.91","1,678,552.49","3,341,429.31","748,628.39","3,125,804.21","1,346,211.68","4,302,854.40","1,694,763.89","3,700,398.17","3,055,629.88"
取得借款收到的现金,,,,,,,,,,,,,,,
支付的各项税费,"93,531.85","207,364.12","159,365.41","325,819.04","83,333.45","16,470.66",,"6,136.20","15,648.56","6,408.15","26,737.88",,"14,370.85","6,879.78","123,113.16"
收到其他与筹资活动有关的现金,"2,202.54",,290.39,,"140,471.03",,,,,,,,,,
支付其他与经营活动有关的现金,"10,971,972.46","11,366,005.40","3,886,562.79","20,563,343.91","4,019,923.04","2,239,396.05","4,465,680.33","2,252,370.43","7,482,377.96","3,836,101.27","31,016,020.97","29,973,099.39","1,980,781.63","1,988,176.21","2,029,343.06"
筹资活动现金流入小计,"2,202.54",,290.39,,"140,471.03",,,,,,,,,,
经营活动现金流出小计,"12,639,128.64","13,953,411.44","5,007,198.13","23,240,036.32","4,394,208.71","5,193,740.62","6,144,232.82","5,599,935.94","8,246,654.91","6,968,313.63","32,388,970.53","34,275,953.79","3,689,916.37","5,695,454.16","5,208,086.10"
偿还债务支付的现金,"160,000.00","160,000.00",,,,,,"163,093.79",,,,,,,
经营活动产生的现金流量净额,"-305,671.14","221,519.10","-326,288.64","-12,303,184.72","212,407.13","448,455.07","-873,498.99","-189,632.43","49,714.79","-242,665.29","-28,646,623.43","-28,791,058.98","125,275.64","-124,287.87","39,795.98"
分配股利、利润或偿还利息支付的现金,,,,,,,,"401,914.21",,,,,,,
收回投资收到的现金,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"5,730.70",,746.00,,"3,046.50",,,,,"2,695,412.01",,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,
筹资活动现金流出小计,"165,730.70","160,000.00",746.00,,"3,046.50",,,"565,008.00",,"2,695,412.01",,,,,
处置固定资产、无形资产和其他长期资产收回的现金净额,,"4,800.00","5,100.00","5,260.00",,"582,740.00","11,200.00","41,600.00","2,000.00","2,226,811.71",,"7,500.00","58,100.00","61,742.00",400.00
筹资活动产生的现金流量净额,"-163,528.16","-160,000.00",-455.61,,"137,424.53",,,"-565,008.00",,"-2,695,412.01",,,,,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-9,074.39",,"-4,724.31",,-461.37,,"-1,228.99",,"-2,969.75",,,,"-2,874.55","5,672.38"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,,"4,800.00","5,100.00","5,260.00",,"582,740.00","11,200.00","41,600.00","2,000.00","2,226,811.71",,"7,500.00","58,100.00","61,742.00",400.00
五、现金及现金等价物净增加额,"-514,805.30","2,939.71","-323,744.25","-12,328,549.03","349,831.66","1,027,133.70","-862,298.99","-718,219.42","51,714.79","-773,070.46","-28,646,623.43","-28,783,558.98","183,375.64","-65,420.42","45,868.36"
购建固定资产、无形资产和其他长期资产支付的现金,"45,606.00","54,305.00","2,100.00","25,900.00",,"3,600.00",,"3,950.00",,"58,835.12",,,,,
期初现金及现金等价物余额,"46,858,338.38","46,858,338.38","46,861,278.09","44,621,007.28","34,885,442.73","32,292,458.25","36,049,519.48","33,319,591.95","35,083,051.93","32,601,372.53","34,277,322.78","31,828,302.07","5,675,151.32","3,044,743.09","3,041,191.93"
投资支付的现金,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"46,343,533.08","46,861,278.09","46,537,533.84","32,292,458.25","35,235,274.39","33,319,591.95","35,187,220.49","32,601,372.53","35,134,766.72","31,828,302.07","5,630,699.35","3,044,743.09","5,858,526.96","2,979,322.67","3,087,060.29"
