科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"153,266,261.33","230,626,595.27","67,504,124.45","372,891,891.10","101,767,156.18","237,338,225.15","404,938,788.82","617,960,652.25","235,942,995.31","426,345,413.66","648,674,946.38","1,245,198,774.60","363,020,414.35","1,286,646,171.47","2,468,326,102.10","3,931,721,216.14","1,199,861,196.12","3,303,285,250.32","5,777,292,803.80","9,101,764,288.45","3,032,715,996.88","8,310,215,258.90","13,984,735,761.40","19,482,290,171.73","3,928,803,620.81","8,685,012,226.20","13,241,460,955.46","18,497,766,559.54","4,209,920,538.26","11,014,696,213.71","19,004,474,373.66","26,746,418,937.61","6,192,542,919.30","15,120,826,588.91","24,457,083,436.30","33,791,031,433.68","7,558,327,406.60","18,256,254,478.71"
二、营业利润,"32,982,581.52","37,059,947.77","7,690,219.28","55,881,576.63","10,908,406.72","27,224,268.23","44,110,716.17","56,568,162.29","7,696,818.65","-21,559,675.53","-28,760,368.69","10,812,041.67","23,115,000.47","110,918,824.97","226,394,443.91","314,487,873.22","74,358,919.92","227,544,433.70","407,291,532.21","619,938,074.77","141,393,974.11","306,518,198.47","534,073,934.04","636,839,284.35","91,730,883.68","225,807,556.04","297,035,013.59","446,112,203.54","86,596,307.66","371,953,582.27","617,722,589.79","680,484,768.85","176,003,690.88","577,083,054.00","1,052,498,411.43","956,597,980.13","377,425,593.13","917,795,609.78"
减:营业成本,"102,263,251.20","165,880,247.42","51,779,939.15","274,185,509.25","78,092,863.96","181,355,249.86","312,844,541.33","478,160,088.69","200,858,775.19","380,422,044.60","580,124,335.29","1,073,625,048.02","286,238,873.34","1,015,162,334.30","1,967,056,859.14","3,143,691,041.62","971,002,543.23","2,713,691,945.32","4,795,697,356.53","7,614,408,656.80","2,607,568,532.83","7,310,354,878.05","12,322,705,443.28","17,145,041,223.62","3,459,719,862.10","7,675,695,876.97","11,643,577,754.01","16,122,209,800.72","3,713,614,310.72","9,704,004,972.46","16,911,052,954.44","23,676,459,571.98","5,450,489,058.35","13,292,427,992.72","21,376,745,511.35","29,140,167,934.95","6,413,103,569.89","15,470,021,746.97"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"188,562.83","209,259.10","70,544.99","354,349.07","79,282.15","142,925.15","228,616.69","510,642.43","748,302.75","828,035.18","1,013,816.51","4,562,212.57","1,930,572.73","4,078,458.38","5,573,900.33","14,289,223.70","3,687,274.20","9,161,043.59","12,701,285.02","16,142,208.33","2,916,258.26","7,103,306.63","12,383,414.02","25,416,674.35","11,349,388.95","22,816,219.25","33,243,383.30","42,066,481.75","5,928,015.69","14,084,628.82","20,450,844.88","54,868,930.78","19,198,781.84","43,363,025.54","74,000,791.26","94,079,532.18","19,217,955.21","48,667,347.75"
营业外收入,"500,300.00","3,702,388.00",,"1,199,358.15","420,342.14","430,342.14","2,154,638.99","4,620,976.49","29,000.00","1,068,000.00","1,312,810.61","14,943,439.90","1,117,900.00","1,899,333.80","5,112,972.51","66,487,315.92","29,266,556.59","36,016,750.14","42,281,423.04","70,135,981.94","34,156,370.75","62,746,333.61","88,195,141.08","147,446,055.50","12,482,943.99","86,977,606.36","99,398,630.75","112,144,687.43","60,031,754.74","74,403,814.26","91,028,031.27","150,912,911.64","47,894,155.75","174,850,007.68","185,705,388.87","272,790,951.46","2,401,630.03","4,385,169.66"
销售费用,"4,920,225.78","7,007,915.85","992,545.51","6,902,696.64","2,097,229.01","5,160,211.05","8,296,663.01","12,404,827.25","4,044,068.37","7,869,815.65","11,618,518.11","17,508,763.67","5,952,746.95","15,680,468.22","31,915,834.82","52,757,817.99","17,968,239.91","38,756,397.92","72,926,549.39","117,504,488.11","27,545,421.06","73,293,335.67","99,186,398.03","140,682,010.01","29,229,398.64","62,954,566.54","94,005,580.22","136,295,234.25","36,543,326.24","77,032,320.20","117,953,437.76","174,038,439.82","36,664,375.94","89,320,345.71","143,934,302.74","270,337,184.17","46,831,915.11","104,713,031.49"
减:营业外支出,"21,796.50","667,262.35",,"405,485.73",,"10,996.65","17,839.90","27,444.40","20,255.48","46,655.68","47,195.70","225,211.27","136,177.60","560,525.55","1,430,470.06","2,858,348.19",,"27,261.64","734,266.47","8,278,282.11","360,877.01","2,179,852.20","2,196,194.03","3,177,807.93","140,422.02","1,003,690.52","1,916,696.79","28,322,816.57","398,442.53","5,823,354.03","6,354,756.50","9,384,457.65","1,362,558.08","6,779,186.66","10,890,759.02","25,903,020.18","6,086,273.83","7,706,452.42"
管理费用,"9,892,311.73","15,216,305.82","4,866,819.56","25,803,518.67","8,275,891.55","18,366,106.16","31,921,709.14","59,109,118.40","18,856,232.74","41,744,413.95","55,139,536.57","93,460,439.88","25,382,050.07","81,212,703.54","143,856,681.33","273,054,435.44","90,481,154.63","223,912,025.86","343,086,574.52","515,243,247.10","183,924,767.25","410,004,053.32","710,449,759.86","1,139,550,591.01","243,228,019.54","533,235,001.80","841,425,989.94","1,270,520,817.61","306,628,360.95","692,369,438.24","1,086,789,331.88","1,734,632,842.46","405,340,740.61","944,670,352.67","1,501,445,996.38","2,130,193,283.32","500,426,286.25","1,180,301,390.64"
其中:非流动资产处置净损失,,,,,,,,,,,,"27,211.20","111,177.60","511,984.55","567,765.31","1,615,460.08",,"27,261.64",,"1,003,702.06","360,877.01","2,179,852.20","2,192,104.61","3,125,964.93","109,743.04","1,003,690.52","1,912,294.11","5,597,678.58","371,691.38","2,044,921.93","2,462,182.32","4,623,159.76","1,362,558.08","6,513,160.31","10,363,822.25",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"3,144,869.85","4,792,627.46","2,104,055.96","9,749,356.34","2,313,482.79","5,062,638.26","7,509,716.04","11,223,587.68","3,738,797.61","13,475,838.15","25,974,166.93","40,861,985.68","20,401,170.79","50,918,724.28","84,872,728.52","118,648,978.92","40,875,743.00","80,645,560.94","133,803,670.81","179,109,365.59","69,326,853.38","175,089,040.67","272,403,434.08","342,616,071.97","90,587,012.62","146,133,360.32","312,571,577.19","425,938,159.78","58,815,033.12","129,449,090.91","197,724,863.29","332,414,711.52","91,341,187.43","125,145,775.05","236,433,612.14","426,649,060.83","135,392,951.20","554,482,962.22"
