科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"159,179,448.95","90,711,822.51","177,552,366.73","365,563,234.07","187,835,839.49","530,890,314.11","555,126,961.50","303,174,157.91","337,545,968.83","424,296,004.43","542,823,217.10","582,659,217.48","836,286,896.34","829,653,461.23","764,294,936.47","1,084,230,743.59","983,907,156.15","797,904,447.65","1,458,566,064.81","1,323,278,697.54","4,197,056,743.20","2,673,833,753.08","1,095,431,807.82","1,540,692,894.78","2,778,297,994.55","2,461,174,009.81"
短期借款,"370,000,000.00","415,200,000.00","353,000,000.00","1,000,000,000.00","898,000,000.00","645,000,000.00","745,000,000.00","828,000,000.00","911,290,000.00","1,090,000,000.00","1,815,000,000.00","1,803,000,000.00","1,773,000,000.00","2,351,000,000.00","2,488,000,000.00","2,568,000,000.00","2,500,000,000.00","3,376,500,000.00","2,326,500,000.00","2,954,560,000.00","3,560,332,594.93","4,528,882,945.20","4,451,895,376.94","4,791,331,622.87","4,714,920,476.49","4,680,258,801.67"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,800,000.00",,,,,,,,,,"24,600,000.00",,,,,,,,,,,,,,,"40,000,000.00"
应付票据,"1,360,000.00",,,"25,000,000.00","55,000,000.00","40,000,000.00","30,000,000.00","86,290,000.00","60,000,000.00","139,762,638.50","162,822,638.50","189,134,707.80","290,484,758.90","380,619,107.65","404,132,597.05","395,474,131.70","279,554,085.65","154,936,026.30","78,474,421.85","49,834,689.00","66,553,389.80","103,990,845.53","184,128,368.43",,"748,964,490.82",
应收账款,"1,675,149.25",,,,,,,,,,,,,,,,,,,,,,,,,"28,400,354.50"
应付账款,"24,944,717.14","55,813,323.37","58,778,157.41","92,874,156.53","149,039,084.60","143,655,723.74","105,888,177.33","138,828,684.21","273,166,134.45","142,361,521.96","239,844,026.03","340,351,715.19","512,755,181.66","445,202,198.83","765,459,486.36","857,921,977.96","1,108,865,622.16","1,070,850,861.95","1,146,226,447.82","1,299,602,777.09","1,520,293,959.80","1,577,359,573.42","1,616,626,942.78",,"2,712,629,027.56",
预付款项,"49,703,963.26","105,987,063.37","27,469,181.50","25,524,057.94","26,479,128.45","45,914,503.57","21,125,054.66","54,992,960.60","7,221,111.28","13,497,753.89","11,102,288.61","21,731,841.54","8,384,759.28","65,969,570.13","44,936,002.05","38,893,568.35","45,785,816.53","61,176,338.78","85,458,765.51","111,953,052.19","84,134,246.76","118,219,727.08","143,400,941.44","168,994,079.11","92,706,098.26","203,778,572.73"
预收款项,"2,956,039.00","125,707.00","1,560,446.70","6,964,250.30","3,778,216.60","2,848,104.60","3,219,723.50","6,629,782.60","4,666,173.49","2,462,395.17","7,005,233.24","10,976,272.51","4,294,321.53","4,928,404.69","4,916,792.16","16,952,456.68","13,739,101.72","12,041,956.54","26,089,271.54","17,810,958.83","12,180,269.30","38,722,366.09","38,013,538.33","31,083,138.59","39,279,495.30","50,195,808.53"
其他应收款,"4,408,573.97","3,459,922.17","222,245.35","101,073.25","63,023.27","622,830.28","15,363.60","194,714.87","3,470.00","893,054.47","23,500.00","162,419.45","219,552.99","1,126,389.54","1,240,137.69","5,752,610.59","257,687.10","2,149,520.48","3,100,551.98","8,815,611.67","8,321,411.45","10,043,587.22","9,458,807.95","10,585,707.36","9,938,590.56","103,299,918.10"
应付职工薪酬,"3,824,600.70","7,967,296.34","12,117,908.73","14,596,690.83","19,494,567.84","20,404,614.55","19,578,279.22","27,599,614.50","27,464,770.31","29,036,810.20","31,569,658.28","30,695,937.28","31,985,272.35","45,117,730.37","56,906,277.88","69,268,383.69","87,088,859.55","91,109,892.86","121,961,739.50","137,495,326.97","175,856,101.40","175,864,588.75","201,022,234.14","200,949,365.42","235,838,864.23","271,449,937.42"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"102,485.22","89,904.11","6,612,623.63","190,165.37","312,411.05","1,130,651.12","585,298.84","1,663,290.64","1,070,788.93","1,424,530.57","1,742,841.62","2,102,968.32","1,812,251.28","1,015,774.30","2,992,349.55","5,858,875.23","5,668,005.01","2,909,019.45","2,921,510.45","6,465,964.02","5,187,615.37","3,805,340.84","4,925,294.87","5,357,664.89","8,364,384.42","13,184,444.37"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,"1,803,770.39","1,827,504.22","1,780,036.58","2,537,213.42","3,510,108.79","3,510,108.79","3,568,289.14","3,438,256.95","3,483,224.77","3,483,224.78","3,438,256.96","3,527,724.09","3,525,692.76","17,832,125.88","27,134,898.56","47,919,988.23","39,585,016.05","59,878,334.28","108,656,939.68","104,112,616.91",,"104,896,248.80","176,512,487.02"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"6,589,506.95",,,"4,200,000.00",,,,,,,,,,,,,,,"800,498,248.79",,,,"512,055,460.47",,,
存货,"193,502,723.62","427,993,259.84","506,117,311.44","835,514,033.94","1,021,416,110.17","1,008,009,259.06","1,068,061,764.60","1,141,725,385.51","1,035,377,266.11","905,153,110.91","1,241,109,645.68","1,166,525,314.76","1,156,000,823.98","1,391,033,228.26","1,547,337,364.32","1,876,657,844.87","2,618,047,837.56","3,033,461,648.74","3,275,525,795.26","3,399,279,828.45","4,189,892,626.34","5,017,704,874.35","5,032,000,370.30","6,058,554,048.38","5,812,728,203.17","6,502,315,235.89"
其他应付款,"543,266.91","4,143,198.18","12,219,909.77","9,824,196.03","11,339,581.24","14,303,195.93","18,322,155.43","24,220,284.29","23,758,744.58","32,339,526.41","36,631,585.66","41,213,399.77","56,849,258.15","52,351,697.65","80,315,681.46","82,894,532.18","594,294,622.16","609,060,460.87","121,917,475.20","301,142,026.94","439,647,795.21","395,235,959.67","813,175,071.27","408,866,071.33","588,692,944.77","347,078,462.38"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"66,216,500.00","215,166,089.05","140,654,254.86","224,414,917.35","280,500,000.00","399,700,000.00","307,700,000.00","344,890,000.00","301,890,000.00","229,890,000.00","243,390,000.00","213,750,656.98","257,717,811.46","214,433,567.79","219,418,084.22","586,908,236.76","293,880,157.97","395,327,527.27","401,495,434.54","285,784,179.39","445,147,488.66","492,997,139.74","497,032,481.49","1,941,406,888.54","2,120,119,414.02"
其他流动资产,"870,000.00","3,900,000.00","4,200,000.00","4,500,000.00","4,372,087.50",,,"75,000,000.00","130,495,098.25","38,361,736.58","11,024,452.56","25,399,373.28","512,888,600.53","400,424,428.69","218,815,919.36","122,219,178.02","70,172,850.09","65,441,843.82","754,153,008.01","691,564,489.84","262,748,717.75","1,875,964,540.24","1,733,019,466.06","1,331,900,107.39","1,087,027,291.96","609,242,306.59"
其他流动负债,,,,,,,,,,,,,,,,,,"498,875,000.00","499,250,000.00","1,298,158,333.33","2,197,300,000.00","3,097,000,000.00","2,298,716,666.67","1,998,246,666.67","2,597,558,888.88","2,612,621,073.06"
流动资产合计,"411,139,859.05","632,052,067.89","715,561,105.02","1,231,202,399.20","1,240,166,188.88","1,585,436,907.02","1,644,329,144.36","1,575,087,218.89","1,510,642,914.47","1,382,201,660.28","1,830,683,103.95","1,796,478,166.51","2,513,780,633.12","2,688,207,077.85","2,576,624,359.89","3,127,753,945.42","3,718,171,347.43","3,960,133,799.47","5,576,804,185.57","5,534,891,679.69","8,742,153,745.50","9,695,766,481.97","8,013,311,393.57","9,110,726,837.02","9,780,698,178.50","9,948,210,397.62"
流动负债合计,"410,320,615.92","549,555,929.00","659,455,135.29","1,296,107,484.31","1,363,206,282.90","1,149,622,326.52","1,324,830,847.74","1,424,441,765.03","1,649,816,720.55","1,742,845,711.95","2,527,944,240.28","2,664,348,225.64","2,888,414,925.63","3,541,390,981.91","4,020,684,476.34","4,219,314,134.42","5,193,950,658.89","6,137,298,274.50","5,567,086,630.65","6,506,150,526.77","8,323,014,239.48","10,474,666,047.84","10,717,668,710.55","11,321,195,579.94","13,587,655,461.01","14,592,952,057.16"
可供出售金融资产,,,,,,,,,,,,,,,"143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00","143,000,000.00"
长期借款,"74,530,100.00","210,283,500.00","453,544,630.95","719,267,233.76","614,425,502.29","672,792,000.00","626,348,000.00","599,348,000.00","520,218,000.00","653,218,000.00","646,458,000.00","605,958,000.00","546,838,000.00","471,159,836.18","563,159,836.18","518,159,836.18","995,347,024.91","1,124,204,140.73","1,242,084,151.28","1,293,422,354.35","1,534,298,545.23","1,737,550,597.40","1,546,356,561.74","1,552,795,730.47","1,069,491,442.98","1,090,727,155.27"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,"996,095,499.65","992,321,042.54","993,017,553.17","1,390,681,838.10","1,391,639,515.80","1,392,616,204.72","1,394,392,893.64","1,394,579,894.38","2,386,856,507.31","1,390,389,288.93","2,170,943,188.00"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,"127,667,240.46","95,905,816.35","89,268,517.19","82,509,004.21","75,625,027.17","68,614,294.11","61,474,471.21","54,203,181.42","46,777,951.84","39,256,474.00","90,253,589.67","74,513,944.09","67,523,805.04","39,645,731.22","27,294,987.17"
长期股权投资,"29,764,182.88","31,248,930.22","23,507,625.88","29,756,436.68","28,756,942.20","33,416,815.30","33,048,632.45","48,360,405.29","47,683,971.44","49,776,644.75","47,655,080.85","47,158,609.22","46,787,560.07","45,567,475.85","47,124,909.21","48,262,873.81","47,326,456.11","109,577,692.15","110,769,702.64","112,071,677.49","114,422,167.02","121,320,747.52","125,254,518.60","126,112,958.91","133,479,361.78","139,440,135.48"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"316,705,935.29","508,433,970.96","849,202,042.02","1,138,674,591.35","1,296,407,250.94","1,324,380,831.46","1,323,042,585.80","1,370,255,617.74","1,489,584,505.69","1,614,125,866.60","2,077,824,393.68","2,402,608,961.36","2,976,295,118.51","3,262,441,891.47","3,956,298,299.85","4,893,956,411.09","6,499,990,714.75","7,116,794,373.88","8,234,405,707.96","9,080,876,976.85","10,596,958,535.19","11,344,590,930.67","12,279,774,298.83","12,681,602,099.20","13,544,605,357.90","13,941,681,281.18"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"32,978,045.95","125,120,293.96","222,954,909.17","282,744,696.35","309,767,845.04","395,580,524.40","451,339,269.81","547,566,715.53","626,885,089.03","809,791,269.07","661,224,819.50","762,389,804.97","758,852,917.38","1,041,624,100.08","1,415,562,642.08","1,309,463,124.99","850,969,194.09","1,258,875,239.34","1,036,004,458.74","1,364,169,356.76","1,498,189,007.92","2,039,087,814.64","1,985,665,795.52","2,738,416,782.01","3,680,299,039.52","4,122,255,689.82"
其他非流动负债,,,,,"80,000.00","80,199.99","84,020.00","99,333.37",,,,,,,,,,,,,,,,,,
工程物资,"15,847,379.93","36,033,070.58","9,881,810.96","5,542,725.55","3,657,624.67",,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"74,530,100.00","210,283,500.00","453,544,630.95","719,267,233.76","614,505,502.29","672,872,199.99","626,432,020.00","599,447,333.37","521,262,013.44","660,820,279.90","656,799,629.25","744,058,683.46","657,112,540.06","573,760,298.29","657,878,123.58","1,604,675,540.88","2,075,924,218.93","2,197,632,191.97","2,706,571,414.12","2,753,358,140.36","2,985,011,163.92","3,241,016,994.59","3,035,556,512.27","4,032,406,793.31","2,546,572,248.77","3,358,842,220.19"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"484,850,715.92","759,839,429.00","1,112,999,766.24","2,015,374,718.07","1,977,711,785.19","1,822,494,526.51","1,951,262,867.74","2,023,889,098.40","2,171,078,733.99","2,403,665,991.85","3,184,743,869.53","3,408,406,909.10","3,545,527,465.69","4,115,151,280.20","4,678,562,599.92","5,823,989,675.30","7,269,874,877.82","8,334,930,466.47","8,273,658,044.77","9,259,508,667.13","11,308,025,403.40","13,715,683,042.43","13,753,225,222.82","15,353,602,373.25","16,134,227,709.78","17,951,794,277.35"
