科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"145,556,309.78","139,186,774.26","303,718,434.92","214,719,680.23","369,671,159.33","562,800,361.63","125,342,168.83","248,634,893.33","337,839,949.75","483,573,303.59","79,509,815.31","241,259,663.66","339,158,609.04","429,257,259.31","272,172,143.83","634,083,975.33","1,012,869,010.70","1,678,385,760.00","479,780,686.80","1,184,934,563.50","2,421,593,166.76","3,885,220,051.24","1,037,930,930.16","2,240,063,640.51","3,557,924,058.93","4,993,936,923.60","1,446,150,680.85","2,723,235,265.87","4,213,123,759.73","5,646,969,959.25","1,128,377,698.93"
二、营业利润,"-735,710.36","31,114,360.22","59,737,693.77","29,761,399.26","47,449,911.83","65,451,951.89","18,678,006.38","13,736,132.75","14,843,458.24","-5,705,862.78","-31,300,522.37","-44,755,311.68","-62,648,910.93","-163,321,217.67","-13,009,426.60","-25,422,207.94","-7,079,265.32","19,246,797.36","11,914,438.54","13,997,108.54","64,522,999.29","56,534,912.09","15,975,437.88","30,402,906.17","62,568,547.80","49,376,276.75","11,737,515.23","39,948,759.20","80,588,319.26","54,173,476.10","26,850,359.20"
减:营业成本,"123,638,642.65","85,678,595.99","194,687,499.37","147,648,236.60","258,377,617.04","403,831,775.82","84,269,536.59","191,200,525.72","262,688,567.89","387,306,969.15","90,761,642.93","233,811,802.81","327,297,425.64","454,908,754.33","246,129,437.97","556,480,120.01","859,732,808.54","1,394,991,725.37","417,878,810.67","1,064,662,660.60","2,171,424,524.92","3,419,755,399.26","912,564,841.99","1,940,636,312.85","3,060,820,317.99","4,250,701,146.34","1,275,241,509.14","2,347,284,196.05","3,608,970,238.75","4,790,576,711.54","933,168,370.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,280,628.01","1,229,806.43","1,474,221.73","692,208.72","1,961,844.37","2,538,956.79",,,326.60,"147,718.74","5,552.23","328,319.84","548,375.16","1,145,948.55","851,370.45","1,819,961.24","3,223,178.33","5,077,494.91","1,304,507.97","4,070,220.03","8,542,999.54","13,449,104.35","1,621,534.44","3,227,722.87","6,467,751.79","12,209,284.09","6,709,549.76","12,663,290.66","18,994,876.64","28,617,283.11","5,382,859.68"
营业外收入,"1,589,379.00","864,081.79","2,745,831.85","2,662,400.00","2,664,047.86","2,470,200.17","2,026,100.00","2,035,595.80","2,326,221.29","14,399,417.16","1,176,326.66","4,395,575.37","4,675,304.02","6,748,003.00","4,218,001.88","5,116,510.49","7,989,223.15","10,309,930.18","3,640,746.09","4,303,456.25","7,478,790.45","21,194,954.54","1,295,859.40","7,218,334.88","47,416,860.89","142,312,038.04","7,465,978.69","7,862,462.99","11,470,671.90","48,584,804.35","4,271,494.62"
销售费用,"4,399,097.64","2,278,089.66","4,729,284.30","3,850,247.55","5,834,572.34","9,062,337.24","2,339,661.55","5,565,897.49","8,339,218.09","10,479,232.86","3,163,172.92","5,629,306.55","8,758,026.66","11,922,359.91","7,158,079.66","14,677,570.83","22,043,160.35","27,463,983.34","6,562,867.65","12,438,098.74","22,058,509.09","33,292,596.25","10,747,485.81","21,487,339.70","36,258,009.81","50,885,462.77","10,483,589.94","25,474,489.45","41,606,873.51","57,283,145.38","11,227,564.34"
减:营业外支出,"35,607.08","6,304.52","821,005.50",247.65,"1,817.99","156,925.32","52,725.00","67,059.00","216,484.79","208,601.43","20,000.00","20,000.00","926,105.03","926,105.03","221,941.74","258,670.80","323,831.35","513,293.08","15,724.39","46,854.91","170,453.57","3,126,003.80","699,669.46","862,090.66","6,296,539.72","17,024,810.03","326,905.41","1,331,101.36","3,410,577.45","8,085,504.49","631,393.25"
管理费用,"14,755,113.78","14,837,221.43","33,196,582.63","25,354,440.48","41,275,218.07","60,984,105.26","23,386,355.94","39,524,350.54","53,027,952.80","79,767,290.66","19,723,940.77","40,280,441.75","62,597,630.02","84,804,746.62","40,637,094.05","91,050,860.47","134,440,061.07","177,747,265.88","37,394,207.19","77,354,238.08","148,059,881.06","255,101,114.52","81,945,805.78","202,339,716.30","303,318,005.07","423,515,237.63","112,223,608.29","229,529,529.33","351,347,335.92","512,645,189.99","111,475,590.44"
其中:非流动资产处置净损失,,,,,,"124,445.52",,,,"149,425.79",,,"906,105.03","906,105.03","-11,013.96",,"5,483.04","60,256.48",20.50,"8,422.76","88,071.95","289,216.26","683,795.20","740,162.82","1,297,885.98","5,295,248.35","291,216.56","1,028,229.09","2,487,709.53",,
