科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2015-12-31
货币资金,"792,291.96","927,812.12","840,894.09","809,001.69","868,552.09","680,231.83","975,016.18","915,550.13","846,002.99","770,861.20","751,549.56","4,636.12"
短期借款,"183,594,000.00","183,594,000.00","183,594,000.00","183,594,000.00","183,594,000.00","183,594,000.00","183,594,000.00","183,594,000.00","183,594,000.00","183,594,000.00","183,594,000.00",
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,,,,,,,,,,,,
应付票据,,,,,,,,,,,,
应收账款,"330,556.05","329,660.69","315,950.92","106,466.93","931,566.93","911,566.93","911,566.93","878,953.12","878,953.12","874,128.18","874,128.18",
应付账款,"36,571,885.21","36,571,885.21","36,571,885.21","36,571,865.21","36,571,865.21","36,571,865.21","36,571,865.21","36,571,865.21","36,571,865.21","36,571,865.21","36,571,865.21",
预付款项,,,,,,,,,,,,
预收款项,"146,394,146.30","158,735,731.15","161,868,480.00","10,553,232.09","10,553,233.17","189,561,741.47","10,553,232.09","10,553,232.09","10,553,232.09","10,553,232.09","10,553,232.09",
其他应收款,"622,965.45","3,760,085.68","4,190,605.58","4,980,566.98","4,442,823.55","2,891,134.00","3,432,792.49","2,637,222.80","2,658,371.63","2,393,569.37","2,403,569.37","68,335,818.47"
应付职工薪酬,"-65,370.43","-40,683.74","-25,442.58","-2,857.02","8,801.33","25,692.27","32,158.59","34,050.04","42,145.84","31,903.23","31,903.23",
应收关联公司款,,,,,,,,,,,,
应交税费,"-245,703.85","-246,270.96","63,985.24","-5,534,987.56","-5,378,632.67","-246,904.75","-4,005,662.52","-3,699,662.65","-3,699,662.65","-3,699,617.72","-3,699,617.72","749,823.92"
应收利息,,,,,,,,,,,,
应付利息,,,,"163,656,831.68","166,666,924.53",,"182,141,258.23","194,482,843.08","197,615,591.93","209,957,176.78","213,089,925.63",
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,
存货,"583,759.25","583,759.25","583,759.25","555,781.75","555,781.75","555,781.75","463,922.85","172,663.54","172,663.54","172,663.54","172,663.54",
其他应付款,"48,460,179.80","51,574,961.66","52,396,553.98","52,776,313.36","59,503,209.58","50,159,941.22","55,901,500.87","55,136,456.48","55,347,134.88","55,289,206.10","55,423,134.19","68,481,562.51"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,"630,250,621.66","653,715,242.91","660,614,736.81","684,079,358.06","690,978,851.96","714,443,473.21","721,342,967.11","744,807,588.36","751,707,082.26","775,171,703.51","782,071,197.41",
其他流动资产,,,,,,,,,,,,
其他流动负债,"139,191,755.38","139,191,755.38","139,191,755.38",,,,,,,,,
