科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"927,283,035.28","1,940,278,309.85","3,664,458,150.55","1,120,486,836.36","2,260,093,814.75","3,875,279,408.22","5,426,255,717.75","1,318,226,688.07","2,641,497,966.46","3,734,777,325.48","4,949,886,523.50","1,726,594,245.00","3,486,002,912.05","5,403,685,444.02","7,008,525,787.53","2,029,570,770.08","3,982,177,476.42","6,072,320,885.89","8,055,593,735.84","2,201,258,046.19","4,565,761,508.53","6,532,925,366.62","8,852,058,531.24","1,938,210,577.61","3,409,831,725.67","5,615,761,240.85","7,812,147,259.62","1,651,362,972.59","3,326,737,052.36","4,979,623,200.33","6,562,499,638.24","1,286,964,669.91","2,568,305,222.44","3,585,762,587.94","4,779,256,772.37","1,196,248,971.60","2,333,020,766.76","3,723,802,982.91","5,404,181,016.22","1,811,991,272.00","3,365,844,658.87","5,439,801,583.90","7,467,475,834.96","2,262,499,202.22"
二、营业利润,"132,525,607.95","310,052,472.29","610,962,640.03","209,247,834.91","540,046,120.76","991,293,683.99","1,613,369,949.50","440,585,767.59","649,813,315.81","776,488,098.16","1,095,429,732.98","403,273,389.51","877,771,518.54","1,341,201,270.51","1,728,588,335.96","462,444,594.99","813,191,271.72","1,385,368,580.24","1,833,347,735.11","673,618,505.55","1,184,690,622.19","1,399,595,883.26","1,815,102,048.94","157,345,668.73","165,005,950.10","21,922,853.33","51,766,091.51","-184,014,258.01","-625,767,243.24","-1,029,722,906.22","-1,878,428,548.01","-490,751,509.39","-912,789,780.09","-1,297,448,493.33","-2,408,753,349.04","23,060,478.16","106,153,845.28","190,861,122.24","201,076,282.25","318,512,745.20","477,235,430.68","674,518,556.70","658,040,879.09","559,022,398.19"
减:营业成本,"661,543,113.71","1,354,515,351.80","2,510,420,242.67","746,094,514.84","1,406,050,340.22","2,381,098,959.56","3,043,839,638.56","711,326,110.74","1,647,556,712.44","2,431,779,396.80","3,189,954,453.11","1,132,894,977.30","2,190,120,753.48","3,411,103,347.74","4,414,975,541.96","1,332,679,860.25","2,674,660,926.99","3,930,195,054.47","5,207,893,503.28","1,270,199,465.31","2,773,997,502.95","4,218,426,234.77","5,759,859,157.09","1,534,347,730.59","2,697,475,475.51","4,645,869,838.85","6,420,835,566.84","1,498,834,245.34","3,236,070,116.75","4,907,976,903.01","6,718,484,460.06","1,484,810,028.99","2,962,131,276.11","3,981,250,944.96","5,251,786,901.18","847,829,179.57","1,587,820,590.27","2,463,764,203.56","3,480,270,432.76","1,043,804,189.52","2,016,697,829.48","3,308,285,714.57","4,702,518,157.04","1,169,509,050.84"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"13,998,674.58","27,820,956.55","54,157,213.04","16,014,588.60","32,274,377.09","52,991,747.96","79,685,576.78","23,851,874.29","43,937,540.72","60,054,201.79","77,075,710.47","27,430,920.16","55,898,845.15","82,798,626.87","102,229,091.68","33,040,630.26","73,556,362.26","101,181,947.54","130,936,903.50","39,498,436.57","84,412,291.30","113,812,183.09","132,699,725.15","32,545,737.73","59,308,141.71","91,808,637.73","127,460,408.43","30,405,217.58","61,228,939.21","90,302,343.40","121,537,180.67","29,795,278.90","60,651,854.63","89,758,809.84","121,145,825.04","30,982,238.57","64,527,194.24","104,515,660.16","188,191,656.56","64,583,845.85","122,761,894.24","229,939,356.04","400,232,064.78","80,432,728.11"
营业外收入,"8,000,491.31","28,250,432.82","28,697,459.05","115,920.33","216,944.67","486,161.01","29,802,434.01","2,293,131.76","3,635,096.34","4,703,265.06","68,220,786.01","189,056.16","920,319.78","3,450,211.85","12,488,871.07","122,776.20","4,494,493.43","4,896,426.47","27,017,405.83","44,304,964.54","45,542,500.33","51,782,928.79","58,469,171.56","1,537,945.56","42,858,753.98","44,723,302.65","83,762,742.27","338,345.30","1,219,236.02","2,372,139.87","3,156,268.15","1,717,638.63","1,914,435.65","11,746,755.99","25,369,477.88","11,815,365.43","14,465,738.78","263,603,214.51","251,178,343.51","17,979,921.06","19,218,985.03","23,088,318.85","6,438,036.06","1,379,447.80"
销售费用,"12,148,383.00","22,361,141.87","45,680,720.48","11,078,212.03","25,498,428.89","39,512,100.56","61,044,993.51","17,333,563.91","32,793,563.22","47,954,948.61","65,602,165.93","18,105,953.86","40,645,612.99","64,504,747.25","90,052,498.75","20,330,083.05","40,531,879.32","61,891,620.80","81,009,243.30","19,243,592.40","43,049,566.96","59,276,810.79","84,338,667.82","18,296,687.91","38,580,797.04","61,485,599.30","81,341,268.52","18,431,584.58","50,318,872.15","52,982,407.05","74,907,412.37","17,365,542.53","36,727,008.75","46,947,302.57","60,699,654.64","18,897,985.54","34,277,719.64","47,248,281.59","60,494,012.63","9,111,633.79","17,403,450.46","28,301,139.98","35,277,756.91","9,032,064.27"
减:营业外支出,"438,374.69","446,650.47","2,213,944.50","3,022,774.00","12,113,044.18","12,800,695.99","30,033,916.43","2,571,275.05","4,267,923.07","5,891,147.83","11,061,744.38","6,116,287.12","7,066,157.07","10,356,882.58","25,421,089.51","397,400.00","948,103.72","1,754,151.37","23,246,018.37","913,419.40","3,237,343.02","3,329,343.02","34,167,840.17","1,011,000.00","1,516,192.42","2,477,192.42","6,928,984.95","631,098.60","1,000,666.54","33,477,427.94","98,475,441.72","1,729,168.70","2,154,193.89","3,122,765.41","13,368,730.87","9,199.29","219,374.30","45,222,772.19","60,115,244.78",,"89,794,488.25","119,402,081.18","40,778,709.11","264,907.49"
管理费用,"56,187,124.45","126,332,614.93","222,497,464.65","84,501,553.00","140,289,278.72","227,189,753.51","344,267,060.42","65,182,030.75","150,802,732.14","243,366,573.03","278,962,416.34","84,833,757.53","175,492,358.47","276,859,414.56","370,018,537.28","110,444,283.46","205,266,948.37","309,633,670.05","412,590,773.96","89,614,870.43","218,952,656.35","322,735,295.47","472,970,529.96","123,296,220.94","223,583,483.96","418,549,487.37","572,678,171.46","136,443,609.93","294,068,975.88","440,226,634.30","572,230,300.98","126,261,783.61","198,965,016.34","284,461,150.22","429,861,661.58","106,062,062.57","245,404,859.59","432,513,389.23","548,667,534.16","110,979,181.37","213,699,251.62","377,878,094.31","597,202,762.95","159,120,524.35"
其中:非流动资产处置净损失,,,"1,532,785.65",,,,"18,078,729.63",,,,"2,021,142.95",,,"2,992,142.01","14,378,054.20",,,"24,893.16","20,330,237.75",,"2,048,365.45",,"30,216,658.02",,"272,306.53","272,306.53","2,928,436.88",,,"32,055,913.03","94,512,697.49",,"52,333.19","388,017.48","9,968,690.67",,,"73,254.18","45,292,384.32",,,,,
