科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"309,337,208.58","487,730,167.13","624,772,165.69","302,632,362.69","616,606,499.83","177,976,263.62","633,469,042.18","1,035,720,142.84","1,774,439,598.49","324,601,519.70","765,056,080.67","1,178,023,772.79","1,768,478,866.99","648,495,892.08","1,308,204,359.49","2,045,171,785.39","3,088,035,957.18","950,142,135.88","2,739,527,252.59","4,855,446,152.32","6,921,865,325.77","1,161,781,256.88","2,716,459,854.56"
二、营业利润,"84,761,883.07","98,428,539.04","127,358,545.13","63,434,157.14","126,456,816.19","31,324,655.10","66,905,697.53","85,756,918.46","136,821,937.30","32,070,307.18","83,690,628.62","119,637,528.31","213,557,646.27","78,964,614.73","168,145,522.66","241,391,651.38","337,870,542.08","65,358,759.48","299,732,587.48","377,098,195.74","302,643,758.61","204,863,864.85","239,117,374.40"
减:营业成本,"185,719,183.69","336,713,251.70","435,870,836.67","215,204,320.17","432,006,066.01","132,822,179.11","536,632,602.93","901,465,894.62","1,576,218,481.79","273,930,236.57","647,241,110.38","999,830,438.41","1,479,470,589.90","538,095,319.92","1,077,917,755.51","1,707,569,789.45","2,596,096,530.05","860,749,099.93","2,519,313,064.72","4,499,713,480.10","6,424,317,190.56","1,071,441,234.40","2,546,517,495.14"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,036,501.53","7,987,943.08","8,222,211.65","1,385,082.39","3,936,668.26","1,044,441.93","1,983,119.95","2,888,850.64","4,015,854.04","926,806.40","2,648,860.74","4,708,296.59","7,703,930.68","2,799,852.70","4,991,625.12","7,142,264.20","15,702,370.78","2,608,029.82","7,538,948.74","13,112,269.40","19,890,915.30","2,924,131.17","6,218,020.35"
营业外收入,"2,375,008.32","15,746,021.96","14,126,219.43","3,686,716.65","12,410,776.31","4,709,644.58","8,525,006.49","11,258,171.85","12,113,217.63","1,456,986.98","1,683,450.85","1,948,107.97","2,260,510.38","784,320.09","1,671,956.81","1,847,751.24","2,021,280.74","2,762,968.90","6,757,044.16","9,983,901.84","3,058,627.85","183,272.90","1,448,255.78"
销售费用,"1,387,276.77","1,290,848.80","925,011.19","208,526.88","1,394,648.92","1,295,591.21","3,143,817.56","5,294,090.44","8,256,307.03","2,290,844.99","5,244,145.69","8,277,763.03","13,307,911.81","3,703,123.52","8,314,781.51","12,241,978.30","17,389,404.98","3,829,482.70","8,131,931.63","12,597,683.18","18,981,872.47","4,841,623.25","9,570,768.97"
减:营业外支出,"63,564.51","43,270.49","1,381,126.35","133,120.76","1,498,086.76",,,"100,000.00","100,000.00",,"14,040.00","35,943.12","134,022.89","1,003,729.61","1,018,160.75","1,044,813.66","1,163,887.43","23,260.72","152,706.03","619,053.82","928,335.82","234,091.06","290,814.44"
管理费用,"17,805,452.78","22,363,616.84","29,210,700.79","11,494,624.05","30,985,734.44","7,924,700.05","16,786,342.37","27,081,082.04","39,815,386.77","9,384,839.52","19,795,309.42","30,120,717.19","45,199,281.09","16,999,373.59","37,996,077.75","57,115,567.53","75,946,741.32","14,712,239.02","32,715,918.48","50,929,799.74","76,571,179.89","16,611,877.82","34,889,079.30"
其中:非流动资产处置净损失,"62,128.97",,"341,123.11",,,,,,,,,,"11,653.72",,,,"15,643.37",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"14,693,178.90","21,814,614.86","23,682,942.15","11,252,104.40","22,076,543.42","5,076,696.22","9,497,918.46","14,750,813.72","20,005,802.79","4,465,700.68","3,753,820.89","8,167,503.32","7,578,930.22","6,232,890.57","10,828,251.04","17,341,752.31","31,607,580.60","8,232,598.10","21,301,682.32","33,536,157.07","50,276,488.17","11,565,158.39","25,967,104.14"
三、利润总额,"87,073,326.88","114,131,290.51","140,103,638.21","66,987,753.03","137,369,505.74","36,034,299.68","75,430,704.02","96,915,090.31","148,835,154.93","33,527,294.16","85,360,039.47","121,549,693.16","215,684,133.76","78,745,205.21","168,799,318.72","242,194,588.96","338,727,935.39","68,098,467.66","306,336,925.61","386,463,043.76","304,774,050.64","204,813,046.69","240,274,815.74"
资产减值损失,"-27,955.73","-118,647.19","101,918.11","409,547.66","506,022.59",,"31,543.38","-5,507.08","1,817,730.08","-335,098.64","814,321.93","5,413,642.94","-207,305.98","1,700,717.05","2,693,153.86","5,051,590.18","3,330,957.26","-2,645,161.13","2,778,793.36","3,974,186.97","8,397,946.56","4,101,806.93","9,685,961.76"
减:所得税,"13,018,819.45","16,814,887.42","20,656,216.51","9,701,922.85","20,288,675.07","5,558,687.94","12,396,231.69","17,370,535.51","22,446,058.02","5,858,802.34","16,069,928.19","25,102,513.81","45,886,858.36","19,133,966.10","39,849,070.70","55,477,766.01","77,285,136.46","15,371,037.75","57,854,418.86","83,252,545.67","66,978,624.30","34,730,522.95","43,322,911.98"
加:公允价值变动净收益,,,,,,,,,"-96,550.00","96,550.00","96,550.00","96,550.00","96,550.00",,,,"-14,430.00","58,430.00","1,375,897.87","-15,088,050.32","14,430.00",,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"1,038,312.43","750,000.00","600,000.00","756,000.00","756,000.00","1,512,000.00","1,512,000.00","1,512,000.00","12,608,451.31","-1,964,433.00","-1,964,433.00","-1,964,433.00","-1,964,433.00",,"2,682,807.96","2,682,807.96","8,351,160.31","2,644,482.04","150,609,776.27","150,603,670.20","-13,250,215.08","154,338,179.39","155,145,428.42"
四、净利润,"74,054,507.43","97,316,403.09","119,447,421.70","57,285,830.18","117,080,830.67","30,475,611.74","63,034,472.33","79,544,554.80","126,389,096.91","27,668,491.82","69,290,111.28","96,447,179.35","169,797,275.40","59,611,239.11","128,950,248.02","186,716,822.95","261,442,798.93","52,727,429.91","248,482,506.75","303,210,498.09","237,795,426.34","170,082,523.74","196,951,903.76"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"74,054,507.43","97,316,403.09","119,447,421.70","57,285,830.18","117,080,830.67","30,475,611.74","63,034,472.33","79,544,554.80","126,389,096.91","27,668,491.82","69,290,111.28","96,454,508.41","162,439,937.45","50,574,726.93","109,447,752.02","159,718,371.14","222,171,062.69","47,664,261.53","236,409,800.39","279,976,571.91","210,078,594.96","166,622,360.82","188,704,119.09"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,"-7,329.06","7,357,337.95","9,036,512.18","19,502,496.00","26,998,451.81","39,271,736.24","5,063,168.38","12,072,706.36","23,233,926.18","27,716,831.38","3,460,162.92","8,247,784.67"
