科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
资产减值损失,"8,378,918.63","714,700.00","3,257,522.62","3,411,909.65","3,589,244.33","2,379,900.11","562,856.14","2,658,992.61","14,320,143.74","3,461,538.74","1,613,534.14","4,707,891.30","5,437,596.45","3,723,877.09","1,489,080.69","-17,226,437.23","-14,573,087.40","4,771,082.82","-471,158.35","2,852,335.81","8,374,552.95","-6,307,668.51","-6,268,903.91","-2,696,235.85","-5,273,379.09","1,951,017.39","-1,657,459.55","-992,921.65","7,984,903.92",,"1,421,059.40","9,485,675.34","8,765,082.02","5,723,146.45","10,756,872.73","15,225,447.33","-2,749,105.50","24,897,177.63","23,336,287.78","24,489,668.83","22,337,305.07"
减:所得税,"28,068,381.43","52,328,700.00","30,298,882.46","37,240,823.20","53,123,904.57","26,253,135.15","35,554,600.40","44,642,032.72","62,615,053.32","31,365,418.34","44,423,725.20","55,956,721.42","71,457,746.16","36,772,685.12","49,955,572.52","61,198,221.30","73,354,586.24","28,139,394.81","34,019,962.06","47,182,973.97","61,567,171.09","32,781,899.89","37,529,875.29","40,321,251.73","61,448,366.47","44,223,584.64","50,375,590.33","57,945,497.07","93,026,759.53","52,513,703.77","68,860,464.19","73,980,749.89","113,231,103.50","60,289,018.52","68,531,370.46","73,703,025.22","104,883,354.91","38,788,513.04","45,336,111.81","46,077,522.46","77,646,325.98"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"253,470.00","239,500.00",,"492,411.64","953,959.64","3,494,357.79","6,280,908.52","9,368,182.49","10,159,966.51","4,885,246.10","8,382,072.93","11,131,956.52","13,648,848.52","5,928,965.94","6,816,739.36","6,975,172.26","8,144,894.26","5,613,630.71","6,708,876.22","6,778,778.77","9,690,425.16","5,342,732.89","7,604,300.31","9,525,447.50","13,814,590.08","7,294,502.78","9,290,737.17","12,724,998.82","21,177,001.70","9,318,701.58","13,418,054.73","23,229,843.17","28,967,632.28","6,713,530.24","3,499,521.69","4,357,292.56","8,529,629.67","7,798,150.84","10,604,373.06","12,147,064.37","12,293,270.32"
四、净利润,"135,794,943.32","253,852,600.00","169,125,612.97","208,463,277.12","295,590,461.77","148,857,295.26","205,919,308.65","261,616,128.80","355,718,498.45","176,648,773.67","249,867,065.98","314,588,653.40","403,552,185.86","207,530,458.50","285,955,756.69","350,435,706.14","407,178,845.43","160,300,377.77","177,203,837.10","248,702,299.44","332,697,197.95","188,823,252.33","212,075,466.74","227,919,021.07","334,421,364.28","252,904,313.96","285,597,544.58","330,688,232.89","515,705,025.77","308,044,221.90","370,420,555.47","431,654,329.22","591,259,564.89","343,682,201.76","386,567,204.68","415,566,112.38","509,297,287.06","222,310,281.38","253,650,352.93","260,921,547.87","405,482,422.96"
其中:对联营企业和合营企业的投资权益,,,,,"953,959.64","3,494,357.79",,"9,368,182.49","10,159,966.51","4,885,247.10","8,382,072.93","11,131,956.52","13,648,848.52","5,928,965.94","6,816,739.36","6,975,172.26","8,144,894.26","5,613,630.71","6,708,876.22","6,778,778.77","9,690,425.16","5,342,732.89","7,604,300.31","9,525,447.50","13,814,590.08","7,294,502.78",,"12,724,998.82","21,060,618.14","9,318,701.58","13,418,054.73","23,229,843.17","28,967,632.28","6,713,530.24","3,309,165.52","4,166,936.39","8,339,273.50","7,798,150.84","10,604,373.06","12,147,064.37","12,293,270.32"
归属于母公司所有者的净利润,"135,794,943.32","253,852,600.00","169,125,612.97","208,463,277.12","295,590,461.77","148,857,295.26","205,919,308.65","261,616,128.80","355,718,498.45","176,648,773.67","249,867,065.98","314,626,531.47","403,937,264.42","207,722,781.85","286,477,996.82","350,691,232.97","408,385,708.67","160,618,437.56","178,071,291.62","250,404,978.14","335,524,984.00","189,527,295.42","213,584,234.65","230,188,950.17","337,729,389.50","253,580,497.01","285,779,263.60","330,506,505.58","512,330,157.93","304,133,119.48","366,558,239.34","427,463,956.14","586,271,654.29","341,469,369.40","384,325,592.43","413,638,694.73","508,535,727.77","220,182,385.18","251,960,057.04","259,305,251.60","395,429,092.40"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,"-37,878.07","-385,078.56","-192,323.35","-522,240.13","-255,526.83","-1,206,863.24","-318,059.79","-867,454.52","-1,702,678.70","-2,827,786.05","-704,043.09","-1,508,767.91","-2,269,929.10","-3,308,025.22","-676,183.05","-181,719.02","181,727.31","3,374,867.84","3,911,102.42","3,862,316.13","4,190,373.08","4,987,910.60","2,212,832.36","2,241,612.25","1,927,417.65","761,559.29","2,127,896.20","1,690,295.89","1,616,296.27","10,053,330.56"
