科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"51,995,737.53","126,534,804.58","217,120,449.08","287,674,219.81","66,982,660.68","169,526,134.74","289,513,462.87","391,440,622.77","86,569,866.75","192,544,223.04","319,354,731.73","415,761,939.06","86,252,333.46","202,414,175.56","344,186,062.72","447,740,560.91","101,622,045.72","218,861,847.40","367,402,864.60","493,157,962.38","111,004,975.74","236,924,461.51","386,438,510.51","504,030,630.81","110,252,250.70","238,027,072.85","382,250,577.76","499,084,199.62","112,391,343.08","237,199,099.61","392,389,797.20","1,787,076,585.60","141,326,903.23","323,255,384.45"
二、营业利润,"22,579,453.71","68,065,446.72","127,187,013.95","149,460,329.68","30,854,789.32","87,964,781.77","144,682,764.67","181,677,038.16","42,316,414.34","84,981,558.39","131,781,851.81","162,829,081.33","28,329,779.85","78,584,516.49","142,749,183.19","283,877,038.13","94,147,622.15","255,607,894.66","370,776,397.15","352,210,702.80","77,143,573.83","159,045,685.21","244,960,628.63","315,314,919.16","87,381,830.88","190,333,233.19","303,233,167.64","341,883,704.60","89,110,807.54","210,842,576.90","325,623,723.10","457,466,197.49","102,873,289.02","204,997,919.03"
减:营业成本,"12,299,260.87","25,880,085.52","51,665,654.86","81,537,302.52","21,038,635.00","53,278,661.90","96,818,817.88","138,501,398.75","30,481,324.52","76,390,515.56","136,651,354.13","166,979,019.53","29,621,296.57","83,702,992.56","134,377,752.80","196,208,728.19","38,574,470.04","81,898,607.18","137,354,845.07","200,986,535.33","42,726,606.13","94,099,794.67","152,120,683.33","204,266,468.66","41,890,171.03","94,866,406.78","144,260,356.26","195,469,827.76","43,446,249.45","92,186,157.21","152,509,500.79","1,299,955,820.85","68,600,736.76","159,124,434.45"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,743,218.53","4,231,407.78","7,072,286.60","9,332,637.33","2,209,101.25","5,580,913.64","9,238,634.78","11,978,626.11","2,345,136.33","5,260,859.38","8,736,804.11","14,860,845.98","2,829,569.44","7,139,370.05","12,123,959.20","14,748,390.15","2,749,570.70","6,130,072.63","10,257,674.65","13,331,933.97","2,969,190.62","6,410,276.78","10,677,438.27","13,691,411.42","3,036,290.83","6,390,317.38","5,065,478.95","9,661,574.12","1,903,124.64","2,020,245.89","6,624,999.31","89,560,423.59","3,340,816.98","7,637,671.12"
营业外收入,,,"48,762.44","219,807.06",,,"3,650,001.90","3,651,001.90","2,634,661.88","2,634,661.88","2,636,201.88","2,694,275.99","10,284,495.30","10,340,306.48","10,338,106.48","15,023,642.34","91,628.32","125,177.32","374,440.04","5,237,483.46","35,180.00","86,950.00","3,901,378.06","4,342,448.58","250,231.22","3,205,923.73","3,538,454.70","5,318,416.12","579,001.20","904,592.55","1,548,091.31","3,140,322.38","462,051.99","1,099,140.10"
销售费用,"418,767.52","620,871.78","817,713.33","1,349,881.60","563,146.75","1,038,520.81","1,438,349.53","1,703,361.99","230,749.30","414,629.30","772,691.91","940,217.19","468,228.99","799,777.36","1,238,827.74","2,642,038.15","1,426,080.14","4,508,397.56","7,990,398.09","11,519,274.53","2,632,020.84","3,942,244.95","6,165,863.94","8,555,014.67","1,209,187.85","3,660,098.26","7,314,506.77","10,520,304.35","1,889,728.51","3,706,166.78","7,868,110.11","15,703,018.15","1,166,310.60","2,336,817.58"
减:营业外支出,"1,531.23","55,795.49","117,535.51","512,682.19",,"58,556.09","66,272.79","6,867,451.57","113,156.43","123,836.43","127,148.60","702,605.60","36,752.92","37,172.77","58,011.23","21,323,687.36","30,000.00","250,967.81","264,777.44","2,058,188.63",,,"131,060.54","414,529.73","71,123.63","668,587.55","753,951.39","2,975,589.19","232,543.95","572,157.41","756,259.78","493,141.74","1,353,524.91","1,050,127.67"
管理费用,"17,093,780.78","23,644,025.64","37,365,220.60","58,146,496.28","12,465,743.45","30,711,394.94","42,302,506.08","63,646,254.63","12,640,356.21","29,631,358.39","43,350,279.44","77,561,435.87","24,704,501.37","42,544,194.34","62,212,986.55","81,504,532.06","14,957,584.51","36,722,505.46","52,130,393.90","74,123,997.37","13,352,828.53","31,823,624.80","48,628,264.26","69,851,384.05","12,793,715.70","31,113,308.35","49,210,152.13","61,473,674.49","12,711,540.91","24,952,774.10","42,938,384.57","57,514,785.06","10,988,604.65","22,435,271.83"
其中:非流动资产处置净损失,,,,"250,191.60",,,,"5,357,927.01",,"79,695.29","127,148.60","506,114.00","21,752.92","21,752.92","32,087.57","6,291,118.23",,,"13,356.04","142,943.23",,,"83,798.76","146,243.99",,"469,253.93","469,253.93","2,059,297.57","187,737.82","503,364.90","687,572.24",,,
