科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"59,602,699.11","100,443,459.33","79,236,283.57","57,833,268.94","430,614,251.32","433,283,917.03","401,849,398.03","382,948,710.74","361,447,066.65","386,489,984.84","352,472,516.88","319,685,860.98","289,045,243.86","304,505,016.49","286,760,657.22","245,464,932.25","200,015,778.30","219,246,614.29","182,441,972.38","152,431,674.00","90,388,428.67","1,357,659,948.14","1,261,332,164.96","1,224,600,035.94","1,201,564,774.50"
短期借款,,"25,000,000.00",,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","40,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"730,175.06",,,"200,000.00","191,000.00","2,226,513.64","316,380.00","590,680.00","240,000.00","646,000.00","900,000.00","2,694,850.60","1,794,950.60","244,000.00","570,800.00","1,065,197.00","939,643.32","245,350.00","681,400.00","3,320,180.00","1,820,180.00","10,416,140.00","1,962,170.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,"2,162,990.00"
应收账款,"19,336,633.48","40,583,443.71","64,314,072.56","93,711,700.83","98,853,088.57","155,445,282.25","169,867,665.24","181,369,729.06","199,014,192.00","246,081,382.46","262,291,741.35","287,301,618.70","321,438,719.72","359,960,646.14","366,859,760.22","400,902,811.22","423,020,492.71","455,803,628.97","470,097,394.45","514,260,438.49","555,867,883.02","569,496,821.69","589,066,550.45","622,427,364.12","647,971,572.57"
应付账款,"2,817,407.66","1,105,939.16","6,031,662.36","4,228,889.48","5,243,896.45","7,860,412.95","10,729,668.88","4,718,956.58","4,132,657.98","10,578,062.83","11,524,913.69","11,116,222.67","12,537,660.14","18,105,411.20","16,562,146.76","16,601,875.92","16,470,801.84","21,764,234.24","21,834,625.97","19,243,791.13","15,476,564.83","25,412,427.04","27,104,114.55","50,840,596.03","52,239,013.89"
预付款项,"537,301.00","2,167,069.16","4,907,356.57","3,526,643.67","6,499,128.75","17,219,704.67","23,618,654.87","21,055,649.98","25,870,829.39","30,044,393.31","30,847,619.25","28,895,318.58","29,837,225.32","9,952,397.69","10,070,062.56","20,572,722.30","13,338,980.98","9,884,033.32","12,856,468.45","12,568,354.31","18,592,660.38","12,289,304.90","24,532,472.53","79,737,008.78","72,050,315.78"
预收款项,"5,362,972.81","5,508,287.88","8,261,016.67","2,824,592.98","6,760,792.08","4,664,813.66","3,752,094.88","1,988,110.79","2,556,936.90","2,234,472.13","3,026,744.15","1,852,050.08","3,874,835.55","1,658,492.26","6,820,201.80","3,219,202.94","5,892,153.96","4,657,941.86","4,671,452.44","5,181,685.17","10,580,129.17","9,152,783.32","11,191,897.81","38,746,145.78","27,700,974.79"
其他应收款,"1,327,035.60","2,799,107.37","3,339,350.72","3,584,202.48","4,586,453.32","3,745,955.12","4,754,986.88","5,656,249.96","6,502,594.02","5,947,771.60","7,748,108.97","7,881,172.15","9,271,244.24","10,100,188.98","13,486,855.07","8,534,031.51","7,757,964.91","7,502,380.18","9,811,331.83","9,633,895.95","10,503,145.90","11,308,094.94","11,355,002.96","17,655,054.86","20,534,425.00"
应付职工薪酬,,,,,,,,,,,,,,,,,,"535,453.60","478,187.61","552,169.56","658,069.07","437,967.39","432,852.63","439,952.18","493,325.84"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,964,997.83","11,228,203.64","12,223,550.55","12,095,074.58","10,447,395.87","28,333,515.78","21,820,540.52","22,335,057.70","22,638,943.68","43,559,779.50","42,157,002.90","44,216,431.32","48,155,520.17","68,272,983.51",,"67,783,599.17","72,605,331.50","92,380,964.60","84,742,257.53","91,939,106.49","94,957,566.17","110,689,841.79","101,956,720.73","106,106,597.38","108,865,488.56"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,"39,500.00",,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,"63,431,121.89",,,,,,,,,,
存货,"375,791.41","883,200.32","4,405,033.98","4,066,414.24","4,477,100.71","4,309,216.00","6,327,649.83","5,562,367.26","8,142,171.90","5,240,399.17","6,072,520.62","9,562,090.70","9,210,639.25","10,248,073.02","13,402,537.01","9,595,843.96","10,007,052.45","9,997,598.52","15,389,941.66","12,738,007.15","11,080,729.92","34,126,796.05","43,441,038.88","49,829,057.27","62,252,568.33"
其他应付款,"501,960.41","423,264.35","567,208.64","496,891.62","4,213,037.51","2,269,201.10","1,001,849.17","1,080,501.29","1,596,723.35","1,546,000.87","1,367,228.70","1,163,853.89","1,432,356.04","2,255,615.15","2,653,928.70","3,137,707.67","2,280,474.99","12,842,586.54","12,630,361.61","9,383,372.34","9,856,621.16","11,119,547.83","9,719,647.95","12,472,437.75","8,198,705.98"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,"37,946.17",,,,,,,,"91,716.29",,,,"14,348.82",,,,"565,711.53","413,033.65","356,486.68","235,843.84"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"1,257,265.60","2,553,450.84","5,056,345.53","7,215,239.31","1,637,280.17","1,759,642.90","3,508,461.55","2,502,423.46","3,784,530.15","3,511,229.96","4,685,250.79","4,104,920.13","4,408,522.14","4,390,282.55","3,642,915.79","3,058,186.69","4,607,595.00","6,055,592.57","6,976,872.16","5,975,595.21","6,080,709.29","9,910,850.61","24,223,851.93","5,980,644.24","6,331,148.22"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"82,436,726.20","149,429,730.73","161,988,617.99","169,937,469.47","546,667,302.84","616,001,664.14","610,117,816.40","601,321,644.10","605,077,764.11","677,905,841.34","664,357,757.86","658,076,981.24","664,111,594.53","701,943,171.76","696,017,738.47","688,372,527.93","659,318,664.35","709,569,393.67","698,513,624.25","707,853,315.11","693,194,957.18","1,998,677,707.86","1,956,184,295.36","2,011,001,791.89","2,012,902,818.24"
流动负债合计,"12,647,338.71","43,305,195.03","27,083,438.22","19,645,448.66","26,665,121.91","43,127,943.49","37,304,153.45","30,122,626.36","30,925,261.91","57,918,315.33","58,075,889.44","58,348,557.96","66,000,371.90","90,292,502.12","89,467,399.15","90,742,385.70","97,248,762.29","132,181,180.84","124,356,885.16","126,300,124.69","131,528,950.40","156,812,567.37","150,405,233.67","228,605,729.12","239,660,499.06"
可供出售金融资产,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","27,383,735.00","28,179,117.76","28,179,117.76","28,179,117.76","28,179,117.76","28,179,117.76","49,179,117.76","49,179,117.76","49,179,117.76"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,"19,172,240.95","17,393,060.61","16,197,037.23","14,835,599.58","13,386,325.95"
专项应付款,,,"500,000.00",,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,"122,233.00",,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"8,199,637.76","12,467,862.30","14,248,784.67","13,404,814.10","20,691,178.18","13,777,188.93","14,283,317.89","15,466,186.57","15,713,028.66","16,319,042.11","28,928,093.41","29,870,596.94","29,992,798.33","45,696,096.80","45,406,689.65","47,952,199.69","49,657,865.81","54,869,769.80","53,060,434.23","68,921,007.97","67,481,527.87","74,754,936.50","73,419,907.62","72,060,973.96","70,822,838.89"
递延所得税负债,,,,,,,,,,,,,,,,,,"1,521,000.00","1,482,000.00","1,443,000.00","1,404,000.00","1,365,000.00","1,287,000.00","1,248,000.00","1,209,000.00"
在建工程,,,,,,,,,,,"121,617.12",,,,"13,855,758.00","15,132,598.00","15,761,845.00","16,059,200.00","16,293,943.23","598,750.16","879,865.53","2,270,147.11","5,956,118.22","18,238,500.20","24,185,471.27"
其他非流动负债,"800,000.00",,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"922,233.00",,"500,000.00",,,,,,,,,,,,,"1,445,000.00","722,500.00","1,521,000.00","1,482,000.00","8,953,000.00","8,914,000.00","8,862,275.00","8,473,200.00","8,123,125.00","7,773,050.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,
