科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"1,970,986,526.59","2,369,412,281.06","2,729,379,811.69","635,439,708.77","1,452,106,823.37","2,290,509,241.57","3,266,405,614.91","763,442,567.11","1,691,764,290.19","2,676,713,950.24","3,775,367,869.95","871,179,805.24","1,935,305,831.01","2,940,865,383.71","3,968,736,585.71","847,685,059.31","1,914,301,091.82","3,124,915,939.01","3,999,575,359.35","1,027,328,176.38","2,232,059,507.15","3,312,263,396.16","4,136,582,015.11","882,722,428.87","1,979,475,001.71","3,091,727,763.18","4,488,098,717.55","970,037,341.08","2,154,120,557.41","3,490,711,997.67","4,453,660,598.12","876,980,127.43","2,009,969,948.17","3,112,645,184.13","4,471,555,580.67"
二、营业利润,"1,012,437,619.72","791,781,010.10","1,078,754,197.74","254,867,672.81","607,707,163.56","963,253,459.61","1,202,135,854.58","328,134,525.46","767,763,639.54","1,088,647,039.78","1,467,721,748.24","372,646,643.55","817,087,071.90","1,248,397,383.52","1,724,034,174.70","380,911,636.08","910,225,617.76","1,456,209,342.12","1,745,276,870.77","290,212,517.04","827,580,088.83","1,358,770,318.17","1,254,436,209.97","318,516,169.50","817,734,344.56","1,267,671,558.13","1,369,439,409.05","302,379,321.49","697,574,117.72","1,160,308,320.47","873,341,938.89","219,270,070.29","1,068,940,642.69","1,520,422,294.97","2,215,114,573.72"
减:营业成本,"935,362,454.99","1,099,693,451.91","1,325,245,193.72","306,200,197.53","643,969,768.37","1,010,078,970.91","1,578,604,004.82","388,010,194.35","819,936,720.07","1,359,844,007.24","2,009,482,252.22","471,675,804.42","1,027,343,848.93","1,501,076,112.23","2,082,425,898.82","461,686,952.01","964,613,934.38","1,583,473,137.65","1,989,181,345.97","577,718,444.65","1,120,901,467.73","1,565,665,229.50","2,268,870,487.21","508,941,904.47","1,026,653,936.85","1,529,805,506.12","2,453,053,001.73","521,737,846.74","1,124,551,279.99","1,848,875,439.22","2,779,645,236.10","512,341,274.52","1,084,707,632.66","1,633,754,719.36","2,409,940,093.44"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"11,185,990.36","11,771,808.99","15,778,433.17","3,695,251.93","8,873,726.13","13,003,552.09","25,504,632.97","6,602,057.98","13,748,372.15","22,002,247.03","37,083,575.94","7,462,038.64","17,707,487.34","25,429,537.78","37,355,995.59","6,932,464.96","16,211,930.74","29,422,341.55","31,531,212.48","11,274,619.34","23,371,509.42","30,635,641.70","42,307,768.01","4,726,553.35","13,352,808.34","24,501,224.89","47,396,408.09","7,649,208.68","16,465,771.49","20,897,159.76","108,850,911.06","11,565,890.13","51,089,000.82","63,038,686.31","94,044,953.55"
营业外收入,"77,913,997.27","111,227,802.42","116,181,683.74","4,440,763.95","54,811,590.44","61,066,018.60","149,374,456.70","6,200,489.42","41,404,283.41","101,627,079.02","176,083,411.50","8,736,483.43","55,163,777.22","61,607,983.30","160,625,862.19","10,023,415.43","27,835,097.85","128,952,136.18","224,621,528.59","10,039,782.24","74,862,788.77","99,579,458.05","193,151,944.58","11,730,133.45","72,305,285.03","112,650,342.94","210,865,532.18","12,528,647.29","83,390,325.62","132,254,086.65","256,861,535.42","352,018,099.54","84,894,213.32","131,829,616.55","42,769,397.53"
销售费用,"21,438,519.96","34,158,596.10","38,922,697.27","9,174,945.19","19,272,075.05","30,747,270.97","43,996,877.27","10,709,113.44","22,198,355.72","34,461,089.18","50,810,608.98","12,603,634.33","26,131,888.01","41,544,070.32","55,741,630.77","12,652,379.68","26,303,314.62","40,564,387.18","58,293,135.12","13,964,754.77","31,332,073.67","53,782,439.03","142,669,658.93","15,751,051.69","52,960,151.82","86,412,046.74","187,324,742.87","17,866,836.83","46,015,737.68","70,998,046.29","158,884,075.11","19,103,531.62","42,861,400.49","71,779,052.28","156,623,084.83"
减:营业外支出,"25,017,973.80","35,870,174.14","19,900,049.44","173,356.11","9,097,579.05","9,439,195.67","16,462,385.77","1,667,920.31","2,755,568.98","5,150,131.16","9,848,391.68","11,029,059.87","11,211,758.68","11,559,024.83","15,042,040.23","2,829,246.07","4,273,257.41","6,721,172.79","24,984,568.94","2,966,654.93","3,926,274.70","5,401,251.64","13,176,646.94","887,932.95","2,233,755.88","3,423,194.39","14,106,700.41","359,668.92","923,634.83","2,328,046.08","17,452,493.17","2,371,740.66","4,480,383.21","6,076,936.30","16,792,107.32"
管理费用,"174,613,629.08","232,767,235.73","276,118,671.68","58,771,059.74","131,416,188.01","212,312,266.90","351,845,308.53","69,208,885.91","165,900,799.68","257,855,011.27","415,752,651.58","83,302,588.40","192,016,584.60","289,625,214.32","473,325,698.03","93,462,673.22","214,064,918.08","324,519,445.26","516,211,601.45","98,027,177.43","230,120,182.84","351,703,542.11","558,457,574.45","97,482,695.59","229,191,602.89","344,182,501.37","589,264,877.77","103,642,415.20","241,698,776.57","377,927,492.08","628,630,258.37","114,784,420.62","248,744,723.19","394,641,096.30","649,230,804.64"
其中:非流动资产处置净损失,"16,959,151.90","31,279,021.04","12,980,776.81","24,737.46","2,268,790.29","2,272,027.44","8,346,283.94","1,467,358.11","2,059,438.18","2,061,781.68","5,139,986.64","5,705,623.99","10,262,518.88","10,228,290.54","12,185,305.77","2,613,875.00","3,113,165.96","3,481,856.74","3,608,991.44","274,635.83","280,496.44","282,927.71","5,231,914.03","6,386.84","147,679.26","145,569.99","4,340,376.06","8,400.00","47,705.00","79,535.44","3,498,041.31","631,628.32","632,659.78","639,570.39",
