科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,351,343.63","4,552,029.42","972,332.14","1,398,276.31","2,211,687.01","339,918.65","-5,505,359.73","-8,766,957.35","-11,812,979.15","-1,171,827.08","-2,417,405.73","-3,908,288.42","-4,976,015.30","-38,361.54","1,636,742.11","2,619,153.38","2,263,302.82","2,318,210.38","2,622,944.34","4,584,454.37","8,906,701.47","2,538,134.01","8,333,446.80","12,374,474.22","17,758,369.13","7,833,212.77","19,158,788.35","47,943,039.41","69,098,451.21","5,729,795.72","28,191,263.30","42,293,223.04","67,156,299.56","9,908,410.66","22,842,298.41","31,083,787.35","46,740,238.80","15,575,259.26","32,847,195.12","49,585,298.71","64,114,432.54","17,810,094.83"
三、利润总额,"42,037,545.60","45,420,245.56","50,096,950.32","76,631,018.73","112,482,562.09","29,142,140.92","65,978,643.71","90,355,221.40","118,239,291.19","30,748,928.61","62,789,231.70","77,878,824.75","103,752,747.81","36,514,607.08","76,864,267.89","115,706,460.74","188,000,533.68","52,124,112.05","108,410,848.67","165,151,690.68","238,582,623.13","58,827,270.61","116,613,739.95","181,823,785.83","232,137,955.76","100,876,848.05","182,365,510.01","235,101,967.21","314,664,294.90","110,342,901.98","194,084,688.07","271,859,940.16","332,863,833.93","76,404,711.34","146,575,682.93","191,337,055.15","202,127,910.53","54,004,077.82","101,231,803.56","113,501,901.65","78,159,982.02","30,265,017.79"
资产减值损失,"390,927.74","66,661.14","-262,940.70",,"-367,466.03",,"23,484.38","23,484.38","645,905.86",,"-181,226.11","-181,226.11","3,449,695.43",,"-937,680.17","-580,929.65","1,070,844.95",,"942,991.33","942,991.33","-804,394.03",,"-41,179.59","-41,179.59","2,998,147.14",,"1,615,736.67","2,796,469.83","5,794,698.75",,"4,246,036.66","10,759,816.69","66,818,972.24","-136,552.21","280,562.04","-670,948.85","5,931,374.42","-679,336.16","-820,483.25","-343,831.81","16,108,304.78","-320,170.29"
减:所得税,"6,378,951.22","6,509,195.89","7,243,400.02","11,494,652.81","16,409,645.34","4,371,321.13","9,886,360.64","13,493,839.47","17,686,031.68","4,640,143.74","9,469,720.39","11,709,842.33","15,714,566.17","5,595,672.30","11,745,894.67","18,271,013.58","29,378,254.12","8,811,258.83","19,667,958.98","27,816,546.65","41,296,606.60","9,712,633.90","17,923,153.11","28,774,171.05","36,092,924.55","15,259,620.79","24,814,844.43","34,418,595.54","54,269,976.05","19,684,456.82","28,063,761.31","45,157,376.93","54,921,726.99","10,309,581.23","21,673,187.29","31,828,573.33","27,895,789.93","7,384,366.58","13,227,034.70","17,692,635.35","7,325,460.37","5,665,443.09"
加:公允价值变动净收益,,,,,,,,,"-279,600.49",,"279,600.49","279,600.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,"-36,853.30",,,,,,,,"-230,000.00",,,,"470,136.99",,"104,547.95","104,547.95","104,547.95",,,,"-1,337,066.07",,"-779,579.36","-1,112,432.11","-1,566,323.21","-605,123.09","-1,472,589.12","-1,472,589.12","117,799.86","-742,308.97"
四、净利润,"35,658,594.38","38,911,049.67","42,853,550.30","65,136,365.92","96,072,916.75","24,770,819.79","56,092,283.07","76,861,381.93","100,553,259.51","26,108,784.87","53,319,511.31","66,168,982.42","88,038,181.64","30,918,934.78","65,118,373.22","97,435,447.16","158,622,279.56","43,312,853.22","88,742,889.69","137,335,144.03","197,286,016.53","49,114,636.71","98,690,586.84","153,049,614.78","196,045,031.21","85,617,227.26","157,550,665.58","200,683,371.67","260,394,318.85","90,658,445.16","166,020,926.76","226,702,563.23","277,942,106.94","66,095,130.11","124,902,495.64","159,508,481.82","174,232,120.60","46,619,711.24","88,004,768.86","95,809,266.30","70,834,521.65","24,599,574.70"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-793,962.92","-1,126,815.67","-1,580,706.77",,"-1,472,589.12","-1,472,589.12","-1,718,583.76",
归属于母公司所有者的净利润,"35,658,594.38","38,911,049.67","42,853,550.30","65,136,365.92","96,072,916.75","24,770,819.79","56,092,283.07","76,861,381.93","100,553,259.51","26,108,784.87","53,319,511.31","66,168,982.42","88,038,181.64","30,918,934.78","65,118,373.22","97,435,447.16","158,622,279.56","43,312,853.22","88,742,889.69","137,335,144.03","197,286,016.53","49,114,636.71","98,690,586.84","153,049,614.78","196,045,031.21","85,617,227.26","157,550,665.58","200,683,371.67","260,394,318.85","90,658,445.16","166,020,926.76","226,702,563.23","277,942,106.94","66,095,130.11","124,902,495.64","159,508,481.82","174,232,120.60","46,619,711.24","88,060,040.25","95,884,936.49","72,319,435.13","24,704,167.60"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-55,271.39","-75,670.19","-1,484,913.48","-104,592.90"
