科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"5,515,507,551.31","6,090,560,144.37","5,338,284,448.98","7,069,591,619.67","4,402,655,015.85","6,286,552,225.12","8,401,589,320.86","2,797,277,793.88","5,026,796,651.76","7,277,473,576.27","9,817,189,662.62","3,193,725,348.90","5,645,896,431.76","8,122,389,141.21","11,294,380,030.09","3,424,887,408.35","6,168,775,312.76","8,960,335,678.99","12,458,558,940.81","4,011,026,841.44","7,437,581,123.46","10,845,807,320.82","14,584,310,896.60"
二、营业利润,"953,919,815.30","1,173,123,730.26","1,083,698,514.79","1,483,067,408.20","996,607,292.91","1,414,266,366.49","1,896,152,535.46","721,467,440.12","1,275,964,718.00","1,809,571,239.65","2,405,116,610.28","869,051,142.73","1,597,481,460.60","2,211,302,856.44","2,989,140,255.87","968,165,202.00","1,788,243,952.45","2,449,085,218.46","3,401,968,571.19","1,156,567,907.59","2,139,089,523.00","2,997,520,442.91","4,210,824,221.85"
减:营业成本,"3,696,139,678.48","3,904,021,616.31","3,396,103,137.00","4,434,275,940.28","2,665,505,599.86","3,828,541,353.86","5,105,514,283.36","1,649,793,841.95","2,956,064,942.21","4,321,867,829.96","5,850,369,613.46","1,782,390,920.28","3,166,129,404.19","4,615,246,025.10","6,557,244,862.44","1,896,876,525.49","3,449,312,501.34","4,989,756,965.17","6,983,199,621.89","2,218,651,034.45","4,098,633,592.27","5,923,628,593.07","7,920,728,043.51"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,295,929.48","38,337,737.52","38,558,347.47","49,086,538.50","37,405,128.36","47,024,280.10","61,824,129.87","25,103,125.38","41,537,461.59","58,406,027.30","73,331,546.33","31,182,324.23","54,409,666.95","73,755,270.31","105,227,681.17","32,039,111.93","57,816,205.96","79,703,346.79","126,562,559.12","45,573,426.86","87,641,142.97","132,501,931.81","159,108,075.40"
营业外收入,"20,724,481.76","5,871,073.60","7,074,479.74","8,658,109.55","68,869,413.61","67,134,427.94","81,291,380.54","62,600,341.37","80,026,131.89","82,495,703.39","89,237,979.70","3,329,912.73","3,706,647.81","8,001,309.28","22,833,067.30","306,000.00","2,304,690.90","6,055,829.71","12,844,419.39","6,603,157.08","3,833,134.76","4,221,274.86","5,470,072.30"
销售费用,"584,158,626.91","680,579,360.24","538,182,409.56","722,932,356.82","448,345,634.56","647,093,386.57","898,988,137.50","283,633,315.58","504,971,818.21","735,564,425.72","1,050,482,287.92","377,767,504.26","617,603,998.88","913,607,421.88","1,227,220,684.17","403,852,877.83","644,311,757.22","1,119,704,745.84","1,559,903,903.37","491,288,331.04","976,838,229.67","1,518,599,107.90","1,956,552,214.37"
减:营业外支出,"2,043,507.46","3,405,458.84","1,078,328.80","2,089,770.74","1,025,415.35","1,411,923.40","1,824,764.09","1,470,709.79","1,547,985.58","1,755,723.57","2,128,158.62","4,729.06","119,286.86","630,637.06","670,409.22","315,857.05","1,315,857.05","1,373,145.14","1,434,246.63","268,031.72","273,384.72","1,273,384.72","1,005,353.00"
管理费用,"296,739,605.28","302,225,303.95","290,041,621.63","392,235,132.26","264,291,016.64","361,536,583.51","454,094,215.19","124,341,256.44","263,863,520.38","381,431,351.31","486,522,922.46","154,279,667.23","276,306,310.03","398,141,030.12","534,901,347.04","154,518,864.34","291,496,501.97","411,754,334.91","519,685,281.65","160,957,815.51","281,805,383.23","487,322,184.03","606,716,187.95"
其中:非流动资产处置净损失,"-483,507.46","-1,355,458.84","-1,078,328.80","-1,500,166.95","-1,025,415.35","-1,411,923.40","1,824,764.09","1,470,709.79","1,482,051.09","1,689,789.08","2,062,224.13","4,729.06","69,286.86","580,637.06","615,571.68","315,857.05","315,857.05","372,912.14","384,063.63","268,031.72","268,031.72","268,031.72",
