科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,204,812,250.94","1,508,746,108.87","1,489,421,759.62","305,018,003.18","517,850,492.23","858,609,692.10","1,294,672,858.29","419,290,578.74","636,747,332.05","1,082,202,721.52","2,156,818,321.98","876,404,496.60","1,419,155,502.00","2,805,600,809.52","3,168,371,546.09"
取得子公司及其他营业单位支付的现金净额,,,,,,,"5,989,838.44",,,,,,"-738,546.66","48,300,000.00","52,385,066.08"
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"15,970,542.88","19,584,771.83","18,497,990.39","4,600,593.04","16,713,253.22","26,822,994.03","20,280,141.98","9,305,300.31","15,055,755.72","61,330,817.28","32,631,040.74","29,728,291.49","34,072,021.93","40,524,644.76","143,425,071.43"
投资活动现金流出小计,"3,699,089.31","7,968,255.42","61,611,637.08","16,968,775.58","297,004,160.51","542,259,370.16","638,397,208.69","13,541,030.59","24,230,295.27","58,591,597.12","261,431,401.85","118,310,907.27","566,393,279.40","920,876,289.61","1,244,009,014.59"
经营活动现金流入小计,"1,220,782,793.82","1,528,330,880.70","1,507,919,750.01","309,618,596.22","534,563,745.45","885,432,686.13","1,314,953,000.27","428,595,879.05","651,803,087.77","1,143,533,538.80","2,189,449,362.72","906,132,788.09","1,453,227,523.93","2,846,125,454.28","3,311,796,617.52"
投资活动产生的现金流量净额,"-3,664,109.31","-7,894,744.69","-59,380,740.78","-16,968,075.58","-176,351,705.03","-275,805,346.18","-371,755,973.71","-13,531,030.59","-24,213,915.27","-58,575,217.12","-181,009,657.98","-34,300,681.49","-52,831,725.09","-228,056,467.19","-422,944,534.46"
购买商品、接受劳务支付的现金,"1,044,470,597.55","1,374,942,944.98","1,340,075,976.71","384,428,329.51","557,598,606.13","809,623,551.24","1,107,875,805.68","474,010,933.05","643,838,148.08","1,158,548,010.06","2,117,723,805.51","880,121,036.56","1,472,691,802.48","2,321,462,518.22","3,006,229,386.80"
吸收投资收到的现金,"490,751.89","450,000.00",,"360,242,500.00","360,242,500.00","368,642,500.00","409,450,000.00","4,700,000.00","4,945,000.00","504,945,000.00","509,364,996.80","20,000,000.00","37,759,520.00","38,874,719.30","40,038,545.00"
支付给职工以及为职工支付的现金,"60,769,937.87","66,431,395.35","86,190,905.22","21,773,567.34","42,683,443.95","66,376,605.61","89,519,523.55","29,271,683.14","61,332,585.42","96,874,680.67","133,962,229.71","41,980,063.24","84,605,458.86","140,030,949.79","199,599,118.17"
取得借款收到的现金,"121,500,000.00","245,135,574.45","392,350,519.06","197,771,469.05","243,771,469.05","358,109,108.20","485,409,108.20","217,966,177.50","263,972,470.31","638,537,070.31","851,167,778.59","675,000,000.00","715,000,000.00","1,581,000,000.00","1,892,102,148.75"
支付的各项税费,"65,407,311.93","62,083,004.14","73,024,793.64","27,283,110.28","38,690,500.62","55,931,534.19","80,294,756.99","21,377,029.67","47,450,477.47","82,132,854.66","87,973,163.86","32,929,835.48","64,975,648.13","95,595,031.47","113,330,283.46"
收到其他与筹资活动有关的现金,,,,"7,757,500.00","7,757,500.00","7,757,500.00",,,,,,,,,
支付其他与经营活动有关的现金,"33,769,906.34","48,595,427.99","66,636,734.77","16,480,942.28","38,419,000.39","81,637,554.23","41,942,396.33","29,429,238.82","42,005,290.48","105,537,441.27","140,267,927.61","29,129,205.70","54,385,222.81","159,173,245.49","271,650,161.26"
筹资活动现金流入小计,"121,990,751.89","245,585,574.45","392,350,519.06","565,771,469.05","611,771,469.05","734,509,108.20","894,859,108.20","222,666,177.50","268,917,470.31","1,143,482,070.31","1,360,532,775.39","695,000,000.00","752,759,520.00","1,619,874,719.30","1,932,140,693.75"
经营活动现金流出小计,"1,204,417,753.69","1,552,052,772.46","1,565,928,410.34","449,965,949.41","677,391,551.09","1,013,569,245.27","1,319,632,482.55","554,088,884.68","794,626,501.45","1,443,092,986.66","2,479,927,126.69","984,160,140.98","1,676,658,132.28","2,716,261,744.97","3,590,808,949.69"
偿还债务支付的现金,"104,300,000.00","251,483,870.05","176,077,080.40","139,144,937.49","270,144,175.15","361,737,872.44","427,702,088.29","141,375,707.05","185,073,615.53","288,152,073.80","547,064,699.92","522,500,000.00","595,500,000.00","1,204,650,562.37","1,265,315,136.19"
经营活动产生的现金流量净额,"16,365,040.13","-23,721,891.76","-58,008,660.33","-140,347,353.19","-142,827,805.64","-128,136,559.14","-4,679,482.28","-125,493,005.63","-142,823,413.68","-299,559,447.86","-290,477,763.97","-78,027,352.89","-223,430,608.35","129,863,709.31","-279,012,332.17"
分配股利、利润或偿还利息支付的现金,"10,612,000.69","13,483,274.42","16,930,864.04","7,697,900.41","16,931,926.44","18,456,995.99","32,113,201.77","5,004,008.62","23,513,888.42","20,374,584.24","37,928,217.11","14,908,898.79","31,037,603.80","71,505,611.55","92,194,706.70"
收回投资收到的现金,,,,,"120,000,000.00","264,000,000.00","264,000,000.00",,,,"80,000,000.00","83,950,000.00","510,500,000.00","688,836,536.23","801,043,430.00"
支付其他与筹资活动有关的现金,,,,"1,248,180.21","3,350,208.51","3,350,208.51","33,757,500.00",,,"11,160,003.20","11,640,000.00","1,993,055.56","2,370,550.84","2,370,550.84","116,764.00"
取得投资收益收到的现金,,,,,"649,205.48","2,444,273.98","2,444,273.98",,,,"372,821.92","40,225.78","3,040,781.14","3,961,998.02","5,827,025.21"
筹资活动现金流出小计,"114,912,000.69","264,967,144.47","193,007,944.44","148,091,018.11","290,426,310.10","383,545,076.94","493,572,790.06","146,379,715.67","208,587,503.95","319,686,661.24","596,632,917.03","539,401,954.35","628,908,154.64","1,278,526,724.76","1,357,626,606.89"
处置固定资产、无形资产和其他长期资产收回的现金净额,"34,980.00","73,510.73","2,230,896.30",700.00,"3,250.00","9,750.00","196,961.00","10,000.00","16,380.00","16,380.00","48,921.95","20,000.00","20,773.17","21,288.17","20,448.56"
筹资活动产生的现金流量净额,"7,078,751.20","-19,381,570.02","199,342,574.62","417,680,450.94","321,345,158.95","350,964,031.26","401,286,318.14","76,286,461.83","60,329,966.36","823,795,409.07","763,899,858.36","155,598,045.65","123,851,365.36","341,347,994.54","574,514,086.86"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,435.49,-0.42,0.05,,,,0.17,,,,396.30,,"-44,609.83","-167,768.87","-151,160.11"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"14,173,576.36"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"34,980.00","73,510.73","2,230,896.30",700.00,"120,652,455.48","266,454,023.98","266,641,234.98","10,000.00","16,380.00","16,380.00","80,421,743.87","84,010,225.78","513,561,554.31","692,819,822.42","821,064,480.13"
五、现金及现金等价物净增加额,"19,780,117.51","-50,998,206.89","81,953,173.56","260,365,022.17","2,165,648.28","-52,977,874.06","24,850,862.32","-62,737,574.39","-106,707,362.59","465,660,744.09","292,412,832.71","43,270,011.27","-152,455,577.91","242,987,467.79","-127,593,939.88"
购建固定资产、无形资产和其他长期资产支付的现金,"3,699,089.31","5,968,255.42","59,611,637.08","16,968,775.58","33,004,160.51","278,259,370.16","368,407,370.25","13,541,030.59","24,230,295.27","41,455,597.12","62,995,401.85","5,120,907.27","15,541,826.06","21,586,289.61","45,680,518.51"
期初现金及现金等价物余额,"93,695,064.28","113,475,181.79","62,476,974.90","144,430,148.46","144,430,148.46","145,126,077.91","144,430,148.46","169,281,010.78","169,281,010.78","169,281,010.78","169,281,010.78","475,969,132.15","461,693,843.49","510,654,211.88","461,693,843.49"
投资支付的现金,,"2,000,000.00","2,000,000.00",,"264,000,000.00","264,000,000.00","264,000,000.00",,,"17,136,000.00","198,436,000.00","94,790,000.00","551,590,000.00","850,990,000.00","1,145,943,430.00"
期末现金及现金等价物余额,"113,475,181.79","62,476,974.90","144,430,148.46","404,795,170.63","146,595,796.74","92,148,203.85","169,281,010.78","106,543,436.39","62,573,648.19","634,941,754.87","461,693,843.49","519,239,143.42","309,238,265.58","753,641,679.67","334,099,903.61"
