科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"361,524,701.95","378,716,831.93","408,718,484.24","70,782,490.19","197,820,763.06","280,012,626.59","380,829,113.22","86,277,501.52","189,219,267.74","287,133,076.16","363,356,436.26","72,326,108.87","167,077,372.71","245,689,720.14","381,980,363.54","76,302,837.58","168,563,229.84","239,559,326.18","325,912,511.03","54,297,112.82"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","8,596,022.41","25,153,442.30","26,864,980.76","26,864,980.76","26,864,980.76",
收到的税费返还,"51,243,611.68","39,189,474.42","36,194,631.33","8,457,055.76","18,075,400.47","34,941,235.78","43,549,692.31","7,501,591.20","17,559,462.47","28,638,236.09","41,849,295.58","8,281,922.61","17,929,222.07","28,119,125.11","34,401,461.60","5,168,872.73","15,240,652.55","21,731,940.38","24,006,175.77","2,382,701.26"
支付其他与投资活动有关的现金,,"733,315.20",,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,653,269.20","3,946,143.03","3,871,043.87","6,022,366.42","6,203,634.60","6,586,121.93","1,906,386.29","152,345.09","1,961,500.37","2,387,653.32","2,329,560.30","4,870,569.52","5,007,537.02","9,027,980.32","7,738,123.35","124,831.33","5,840,743.08","10,785,496.79","17,122,828.79","1,078,798.79"
投资活动现金流出小计,"132,423,929.53","88,883,829.35","44,060,699.74","27,619,364.09","45,251,313.12","65,169,938.32","231,867,322.97","63,832,663.51","117,237,698.63","137,177,710.12","168,936,345.78","30,807,352.96","52,560,929.13","92,963,332.42","135,270,905.84","39,097,713.81","59,210,404.70","80,840,548.09","91,568,021.62","2,531,821.73"
经营活动现金流入小计,"417,421,582.83","421,852,449.38","448,784,159.44","85,261,912.37","222,099,798.13","321,539,984.30","426,285,191.82","93,931,437.81","208,740,230.58","318,158,965.57","407,535,292.14","85,478,601.00","190,014,131.80","282,836,825.57","424,119,948.49","81,596,541.64","189,644,625.47","272,076,763.35","367,041,515.59","57,758,612.87"
投资活动产生的现金流量净额,"-132,423,929.53","-88,883,829.35","-43,327,384.54","-27,619,364.09","-45,251,313.12","-65,169,938.32","-231,377,177.84","137,512,927.05","84,107,891.93","64,167,880.44","32,409,244.78","-30,807,352.96","-52,560,929.13","-75,825,443.87","-82,823,053.88","-33,926,054.19","-45,467,610.49","-56,580,075.66","-55,256,718.41","-2,531,821.73"
购买商品、接受劳务支付的现金,"256,005,811.15","285,370,853.20","264,314,805.90","59,244,582.60","142,971,296.74","220,975,067.42","291,077,937.51","69,900,547.43","127,719,016.33","209,211,059.80","289,937,574.28","56,983,234.92","118,812,054.24","174,449,852.28","235,330,054.97","46,342,685.36","105,603,277.26","151,097,878.92","200,788,549.29","32,640,125.97"
吸收投资收到的现金,,,,,"246,694,400.00","246,694,400.00","251,574,400.00",,,,,,,,,,,,,
