科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
资产减值损失,"741,058.41","-3,330,218.55","6,739,418.61","11,484,045.14","14,288,842.39","7,494,729.77","2,813,466.52","11,088,433.27","18,060,849.81","10,482,599.32","7,843,142.93","9,621,457.73","24,660,841.75","36,077,370.17","-8,343,780.81","-5,332,134.40","-24,932,237.03","-16,212,715.78","-1,210,585.35","144,611.88","5,574,686.53","29,316,376.30","2,833,810.01","4,484,860.24","-3,714,251.77","-14,229,967.66","8,453,657.09","7,560,566.46"
减:所得税,"24,616,975.13","22,392,638.01","23,563,956.09","6,290,000.85","10,569,613.13","15,283,007.46","188,616.04","4,839,347.19","4,279,057.10","1,420,695.33","-2,633,521.94","-1,360,700.85","-3,679,960.95","-5,383,252.67","1,387,937.67","963,844.80","3,931,514.28","2,563,077.79","275,085.11","116,505.25","-670,351.85","-4,151,757.41","-393,010.70","-611,049.87","699,219.34","2,605,065.31","-1,275,263.06","2,445,300.46"
加:公允价值变动净收益,,,,,,,,,,,"77,464.68","26,525.10","-122,084.69",,,,,,,,,,,,,,,"40,048.95"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"213,162.25","-2,478,002.67","70,000.00",,"147,428.88","147,428.88",,"201,240.41","201,240.41","201,240.41","435,951.33","1,236,998.58","1,543,614.46","1,581,624.96",,"459,978.08","4,459,978.08","5,242,464.39","656,470.31","1,489,402.74","1,691,256.45","2,076,474.75","812,316.52","812,316.52","812,316.52","812,316.52",,"539,047.87"
四、净利润,"98,469,792.81","104,955,232.25","132,821,337.96","35,643,338.25","56,894,474.48","83,057,183.50","1,068,824.27","27,422,967.39","24,247,990.29","6,467,586.99","-14,980,490.51","-21,987,948.44","-37,434,185.76","-69,201,051.39","-3,420,200.68","762,071.05","12,964,042.44","3,302,769.66","-1,774,182.47","-17,871,033.16","-30,548,062.87","-77,592,692.42","3,893,324.06","10,405,314.50","22,535,518.18","16,883,175.81","-7,449,524.58","26,682,801.55"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"98,469,792.81","104,955,232.25","132,821,337.96","35,643,338.25","56,894,474.48","83,057,183.50","1,068,824.27","27,422,967.39","24,247,990.29","6,467,586.99","-14,980,490.51","-21,987,948.44","-37,434,185.76","-69,201,051.39","-3,420,200.68","762,071.05","12,964,042.44","3,302,769.66","-1,774,182.47","-17,871,033.16","-30,548,062.87","-77,592,692.42","3,893,324.06","10,405,314.50","22,535,518.18","16,883,175.81","-7,449,524.58","26,682,801.55"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
