科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"68,218,495.69","122,961,618.88","108,057,802.85","135,200,699.18","126,262,618.13","261,029,394.13","323,419,901.76","272,597,254.09","248,022,879.09","258,525,616.55","224,495,418.23","233,678,944.65","240,111,406.46","233,805,474.11","218,595,308.40","176,173,776.85","179,899,146.11","192,233,045.84","110,898,234.90","228,224,454.19","158,052,809.02"
短期借款,"103,000,000.00","96,829,404.00","50,220,453.50","54,885,920.00","39,755,040.00","39,843,360.00","15,000,000.00","15,000,000.00",,,,,,,,,,"28,000,000.00","10,000,000.00","84,000,000.00","60,000,000.00"
交易性金融资产,"297,871.29","222,871.28","249,009.90","265,346.53","289,801.98","246,336.63","484,762.37","277,821.78","341,435.64","429,108.91","494,306.93","374,603.96","450,841.58","362,623.76","247,178.22","231,534.65","229,999.99","231,930.69","222,425.74","248,465.34","253,762.37"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,209,946.24","2,032,260.00","200,000.00","1,000,000.00","100,000.00",,"600,000.00",,,,"500,000.00","760,000.00",,,"200,000.00","500,000.00","624,000.00","8,152,482.53","18,002,482.53","5,988,673.36","5,149,000.03"
应付票据,"62,330,000.00","67,100,000.00","51,230,000.00","51,680,000.00","54,750,000.00","51,360,000.00","44,640,000.00","26,880,000.00","5,200,000.00",,,,,,,,,,,,
应收账款,"85,087,344.03","87,372,380.92","88,205,567.97","78,336,820.74","100,931,769.71","96,267,409.77","90,652,187.65","136,295,141.62","151,632,715.43","115,978,627.33","116,191,339.03","112,766,970.12","103,674,487.88","99,355,308.68","112,732,087.62","105,961,749.05","137,038,866.10","141,535,000.09","144,845,928.64","143,199,547.59","138,616,022.55"
应付账款,"27,936,118.03","29,404,748.24","28,864,028.95","38,400,643.26","34,823,367.63","27,333,144.98","65,662,595.74","41,597,325.63","107,432,698.98","69,427,503.91","69,602,635.11","62,256,994.17","68,801,293.23","52,584,376.28","44,139,095.41","45,609,711.66","60,267,629.49","49,018,652.87","59,954,298.68","58,656,772.75","72,640,390.40"
预付款项,"27,745,351.12","5,281,044.76","18,515,087.91","4,127,347.00","3,704,641.81","7,808,458.31","22,548,739.30","13,146,031.64","736,262.86","567,048.85","796,449.54","976,656.39","362,784.75","1,053,396.38","538,457.06","2,404,038.54","312,664.20","458,361.54","1,068,146.50","2,065,523.57","1,128,897.91"
预收款项,"22,412,157.30","26,366,897.70","33,912,304.47","32,239,865.87","40,777,364.42","34,117,796.87","32,629,163.09","32,848,575.66","29,054,404.99","27,954,119.14","26,173,425.15","28,494,107.69","31,013,447.76","26,505,445.50","24,932,887.39","26,510,581.46","29,432,205.12","28,953,535.61","27,221,389.21","35,886,969.96","32,265,587.47"
其他应收款,"7,269,307.58","12,882,062.11","13,087,106.56","13,943,073.83","10,037,614.68","7,195,026.41","11,525,664.06","14,828,097.83","18,389,217.44","4,087,901.90","4,318,962.70","2,867,009.56","7,029,342.53","11,061,603.86","8,250,447.26","5,730,233.54","10,253,302.78","7,292,568.63","8,437,532.44","10,393,695.24","7,565,431.92"
