科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"79,496,987.26","84,155,356.88","128,170,213.82","95,389,698.50","190,046,645.32","446,899,669.09","231,397,905.71","262,880,684.87","232,605,004.41","250,107,764.89","230,840,993.75","306,155,932.83","288,336,003.78","303,600,302.52","280,363,188.13","360,136,204.75","241,412,316.13","247,687,826.87","244,068,938.90"
短期借款,"95,000,000.00","115,000,000.00","115,000,000.00","50,000,000.00","75,000,000.00","55,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","55,000,000.00","55,000,000.00","55,000,000.00","88,000,000.00","128,000,000.00","158,000,000.00","194,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"18,450,000.00","1,444,000.00","11,150,000.00","79,975,000.00","32,574,937.25","53,567,500.00","51,523,843.00","15,600,000.00","36,648,300.00","59,898,128.00","44,930,000.00","6,700,000.00","8,108,900.00","21,166,105.41","29,667,232.00","49,077,672.45","95,964,093.92","68,743,024.05","118,180,143.80"
应付票据,,,,"15,000,000.00","25,000,000.00","25,770,000.00","26,950,000.00","15,410,000.00","19,700,000.00","11,500,000.00","10,000,000.00","10,000,000.00",,"1,827,933.68","16,745,177.79","27,587,301.40","18,779,955.56","19,324,877.36","41,314,833.06"
应收账款,"38,848,336.28","102,477,611.85","110,981,810.05","156,555,957.38","141,862,050.68","144,134,316.40","116,688,594.08","145,598,188.29","236,904,410.74","227,492,465.76","240,593,621.53","227,978,000.37","275,385,678.41","301,574,278.93","308,145,834.44","360,596,586.32","351,710,874.82","327,871,405.36","265,184,871.28"
应付账款,"15,873,538.37","31,161,538.63","46,970,234.98","47,213,944.02","58,815,053.41","130,774,340.71","127,924,256.67","133,502,462.57","90,464,530.62","105,578,683.27","114,375,027.80","110,888,199.70","78,534,014.68","178,050,328.10","142,886,567.33","146,636,910.14","114,060,170.55","208,298,267.91","98,974,379.83"
预付款项,"12,691,273.68","25,022,144.42","11,513,168.74","46,376,295.51","53,881,720.45","111,843,704.81","91,881,044.93","67,819,926.96","34,965,356.45","56,719,597.29","56,582,309.08","85,779,524.25","46,142,352.04","68,352,314.08","84,085,536.03","96,081,839.49","54,552,783.54","117,028,352.95","56,837,613.85"
预收款项,"116,888,077.02","124,534,823.78","75,078,209.48","266,869,604.53","219,571,318.90","258,817,280.32","181,394,102.87","118,471,905.23","80,178,710.80","142,302,827.04","138,847,264.17","164,230,344.59","146,603,470.04","171,268,107.13","143,290,895.29","244,003,270.04","213,828,149.16","223,487,439.74","218,551,507.20"
其他应收款,"3,486,350.10","10,230,916.42","9,708,787.83","8,314,191.49","7,422,069.27","8,496,846.95","4,726,188.97","9,284,677.69","7,148,455.13","13,731,272.72","9,213,216.36","9,557,795.87","2,966,468.84","13,819,787.33","14,911,130.06","18,423,869.64","14,021,716.78","18,636,408.82","12,150,563.82"
