科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"752,480,216.95","1,042,567,553.82","1,051,159,318.21","492,723,051.93","803,847,298.11","1,055,616,980.50","246,925,681.48","557,326,238.05","908,647,045.01","1,165,682,709.49","236,343,580.63","498,306,464.66","843,895,293.90","1,117,355,333.75","264,648,713.83","570,508,975.13","913,814,604.43","1,183,286,434.28","241,151,249.30","532,316,207.85","882,084,892.89","1,224,685,554.78","338,788,764.80","702,692,149.00","1,144,456,116.91","1,510,959,696.03","361,399,999.36","782,538,796.47"
二、营业利润,"235,946,258.86","247,526,296.06","249,215,790.02","107,142,431.61","182,280,514.38","179,921,020.63","37,989,361.81","101,190,355.04","208,035,233.77","232,233,328.41","26,968,226.62","87,644,275.58","166,507,458.88","164,944,649.07","33,345,043.84","94,684,237.43","162,885,613.96","177,313,259.64","50,214,379.93","119,074,667.84","188,445,083.22","202,867,609.70","99,492,509.75","326,208,199.57","490,918,750.10","514,145,768.64","215,617,034.98","342,421,444.97"
减:营业成本,"433,753,428.40","665,372,624.77","666,855,419.47","326,186,777.33","526,442,400.63","750,945,657.39","187,307,216.13","409,624,929.00","633,747,424.62","843,061,814.33","189,048,997.27","375,433,738.01","613,100,779.14","857,453,112.18","205,253,168.67","430,210,977.97","665,522,267.19","882,618,735.85","171,775,283.44","363,266,982.18","612,186,309.94","851,874,536.97","220,503,602.99","462,569,040.29","719,709,832.49","1,011,935,345.86","259,894,250.02","500,520,986.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"25,060,430.92","34,998,700.39","36,054,310.58","16,865,170.96","27,524,418.02","36,133,450.44","8,441,892.97","19,050,290.40","24,104,319.43","24,454,053.16","318,198.01","804,205.52","1,534,227.29","1,884,797.55","372,801.78","888,610.78","1,665,483.94","3,390,411.07","1,985,443.78","3,940,954.75","6,632,121.64","9,302,092.09","2,150,822.00","4,464,301.56","7,595,603.67","9,690,322.57","2,396,662.59","4,335,886.23"
营业外收入,"2,244,824.50","44,396,889.62","121,245,775.10","94,765,566.00","93,510,748.22","102,912,269.20","23,821,032.21","78,516,616.72","78,671,206.95","79,565,856.47","46,492,141.20","92,995,143.75","110,308,566.68","110,617,922.52","47,386,325.95","47,951,518.41","54,353,826.79","67,871,811.22","119,696,008.07","121,355,780.84","122,278,384.11","127,963,697.35","111,382,575.05","4,721,689.41","6,160,142.49","5,170,494.73","175,400.15","259,747.76"
销售费用,"5,429,708.67","10,659,618.03","10,962,355.98","4,914,543.48","7,151,442.15","9,845,276.50","3,544,428.64","7,385,199.72","10,683,593.38","14,700,143.81","4,315,936.92","7,424,134.15","11,851,661.97","16,007,005.66","5,502,095.76","7,395,974.01","12,078,855.98","16,758,026.86","3,788,822.61","7,778,110.48","12,920,743.56","21,376,749.72","5,551,758.51","11,605,987.36","18,404,539.53","28,263,608.11","5,368,472.02","11,219,155.46"
减:营业外支出,"9,042.94","526,327.04",,532.40,"100,532.40","100,532.40",363.32,363.32,363.32,363.32,"28,848.23","28,848.23","66,008.41","68,092.15","1,395.38","144,754.51","144,754.51","163,232.91",,"14,730.00","39,035.50","174,986.00","1,841.50","35,871.50","38,961.23","400,500.70","19,522.43","130,746.79"
管理费用,"18,532,512.68","27,629,186.51","28,466,406.01","12,205,516.97","21,204,320.66","36,760,568.95","6,693,065.69","14,879,633.70","24,256,627.30","40,726,085.20","10,657,308.52","19,358,089.67","32,285,318.63","50,843,866.94","9,556,507.82","18,552,088.79","29,055,035.96","45,943,357.80","8,023,942.58","16,528,163.31","31,911,548.63","56,498,596.72","9,115,798.73","18,757,981.49","32,756,786.09","67,229,512.16","10,756,182.19","25,787,238.22"
其中:非流动资产处置净损失,"5,664.94","48,637.71",,532.40,532.40,532.40,,,,,"28,848.23","28,848.23","28,848.23","28,848.23",,,,,,,"2,227.46","34,891.45","1,841.50","1,841.50","1,841.50",,,
