科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"1,587,651,107.11","1,431,288,453.94","1,929,029,300.50","1,572,007,098.20","1,147,362,956.02","1,950,962,277.51","1,695,414,090.58","1,814,322,653.80","1,860,578,183.31","1,956,738,014.35"
短期借款,"65,000,000.00","50,000,000.00",,,,,,,,
交易性金融资产,,,,,,,,,"72,209.16","109,073.53"
交易性金融负债,,,,,,,,,,
应收票据,"33,249,026.57","971,876.83","872,844.14","50,000.00","971,655.00","1,306,231.43","2,170,000.00","3,173,662.20","14,849,243.10","6,891,635.00"
应付票据,"184,394,314.59","76,420,000.00","3,200,000.00","6,500,000.00","4,400,000.00","2,070,000.00","12,584,784.00","3,255,200.00","42,100,383.32","6,890,177.00"
应收账款,"643,801,206.96","607,448,298.81","660,051,562.79","1,285,961,951.87","944,270,798.00","1,360,259,428.01","801,178,862.51","1,075,001,797.09","1,023,014,784.91","1,187,522,216.47"
应付账款,"1,934,753,193.64","2,033,240,882.97","2,537,859,546.44","2,571,551,486.15","2,477,229,419.51","2,930,453,373.56","2,715,003,443.35","2,812,831,987.64","2,659,291,418.52","3,391,854,549.34"
预付款项,"124,250,850.76","70,362,843.71","60,073,408.90","51,229,673.10","54,964,960.36","70,438,454.28","92,509,488.32","114,646,488.56","167,779,801.95","152,599,488.74"
预收款项,"273,134,519.28","258,706,565.83","240,526,811.54","476,386,180.84","243,293,936.37","260,483,528.92","309,946,513.41","259,904,654.89","284,715,921.83","295,044,858.93"
其他应收款,"76,361,704.11","168,017,562.71","73,397,683.83","97,884,266.87","111,673,547.92","112,453,792.97","70,041,693.67","104,164,696.48","112,426,082.35","130,255,509.07"
应付职工薪酬,"196,592,662.34","215,400,341.25","233,953,297.60","126,722,239.39","174,378,712.88","214,973,852.31","251,796,187.52","150,675,518.29","190,564,598.82","252,476,271.24"
应收关联公司款,,,,,,,,,,
应交税费,"25,537,917.25","34,729,708.21","36,430,615.67","19,995,233.38","11,049,303.57","45,092,639.86","38,956,867.75","31,461,532.28","31,654,904.24","52,554,204.67"
应收利息,"246,247.08","13,437.75","166,575.34",,"64,643.84","63,513.92","714,789.56","2,691,763.54","4,986,256.31","6,675,460.98"
应付利息,,,,,,,,,,
应收股利,,,,,"20,000,000.00","3,333,281.09",,,,
应付股利,,,,,,,"132,581,130.00",,"132,783,358.29","202,228.29"
存货,"1,399,150,788.48","1,308,768,527.32","1,464,179,820.95","1,394,700,208.42","1,262,125,387.57","1,532,564,742.44","1,512,550,560.26","1,513,807,952.79","1,430,732,327.91","2,046,092,968.69"
其他应付款,"161,425,381.76","193,878,088.06","230,538,122.49","258,485,592.85","245,900,650.90","261,526,106.55","270,461,490.08","327,562,373.63","305,734,862.36","297,532,021.71"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,"34,000,000.00",,"120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00",,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"129,549,738.02","383,077,171.81","31,671,984.28","128,999,056.65","786,284,337.36","614,033,964.33","974,629,765.89","659,722,471.41","993,058,362.67","875,151,535.73"
其他流动负债,,,,"102,268,126.24","112,315,449.52","157,076,908.74","108,411,050.48","107,247,900.04","110,527,950.75","107,250,987.88"
