科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"60,301,767.18","40,414,648.61","63,378,406.07","38,180,243.35","24,653,554.20","72,067,463.22","188,642,293.84","177,853,880.88","177,680,647.29","225,918,871.78","182,476,601.56","124,131,177.16","105,794,946.85","193,314,130.77","2,197,234,069.05","1,510,273,463.89","1,104,385,401.43","1,082,608,874.88","890,718,048.64","703,445,258.06","664,073,522.64"
短期借款,,,"5,000,000.00",,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,"54,554,394.51","114,022,092.19","200,222,979.05","243,705,626.99"
应付票据,,,,,,,,,,,,,,,,,,,,,
应收账款,"31,162,543.46","55,238,422.76","72,336,449.58","92,218,893.89","102,762,281.26","96,536,709.03","105,824,396.69","119,528,922.14","118,234,997.09","115,938,484.20","124,391,459.03","142,442,266.95","145,513,408.76","123,800,091.38","140,681,688.42","153,360,150.98","192,941,188.93","178,813,399.02","208,747,353.60","245,888,071.88","267,084,909.77"
应付账款,,,"1,103,414.53","590,532.10","419,016.33","1,169,452.69","749,012.69","749,012.69","838,692.69","3,916,238.84","2,897,712.69","3,912,248.58","2,914,601.31","2,869,548.31","4,554,586.31","1,840,305.59","7,330,237.09","3,441,270.83","1,939,064.52","1,733,255.83","1,902,470.83"
预付款项,"795,205.04","512,806.11","1,613,042.09","883,206.34","214,586.18","644,444.38","53,554,695.88","937,885.00","399,815.15","281,173.36","492,394.75","442,180.68","1,351,484.31","649,508.07","1,149,089.05","516,655,227.92","283,147,260.27","3,341,879.13","95,663,080.70","4,170,995.34","4,395,215.99"
预收款项,"3,868,704.75","1,814,793.64","1,666,922.71","1,468,886.05","1,893,804.99","4,268,903.25","3,631,888.29","3,184,495.66","3,518,661.38","3,510,131.17","2,920,025.57","1,675,185.58","2,120,254.24","5,466,465.58","3,791,205.22","2,253,485.21","2,167,942.92","7,427,866.47","4,838,143.46","5,829,854.27","6,874,297.90"
