科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"742,653,162.28","687,846,680.11","564,298,905.47",,"241,327,819.49","269,698,544.02","438,308,155.13","45,629,104.66","153,466,107.13","224,301,275.51","333,481,400.31","102,607,572.94","235,082,081.31","352,939,365.06"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,"2,719,759.84","2,405,041.42","1,278,575.65",,"856,777.97","1,247,359.71","1,329,219.53","131,328.27","985,441.35","1,109,800.35","1,517,534.44","655,070.28","655,070.28","752,522.21"
支付其他与投资活动有关的现金,,,"4,568,283.55",,"10,976,330.42","10,976,330.42","11,783,457.35",,,"10,745,283.02","10,000,000.00",,,
收到其他与经营活动有关的现金,"37,215,384.26","14,589,063.03","29,379,217.62",,"1,860,574.91","5,379,630.11","4,151,320.70","11,148,556.00","12,844,244.00","15,723,997.00","19,938,956.92","88,594.64","995,281.87","405,594.77"
投资活动现金流出小计,"43,925,563.51","48,149,746.22","114,259,103.39",,"41,744,088.52","83,350,398.55","151,648,127.30","16,114,354.97","85,043,952.75","136,557,992.66","188,580,218.87","23,402,609.19","41,623,780.47","108,493,457.27"
经营活动现金流入小计,"782,588,306.38","704,840,784.56","594,956,698.74",,"244,045,172.37","276,325,533.84","443,788,695.36","56,908,988.93","167,295,792.48","241,135,072.86","354,937,891.67","103,351,237.86","236,732,433.46","354,097,482.04"
投资活动产生的现金流量净额,"-36,549,574.01","-43,878,694.81","137,763,780.97","-32,532,000.00","-40,059,836.09","-81,235,960.06","-99,020,924.19","1,044,204.75","26,438,739.70","-12,785,342.63","51,072,289.97","-16,944,228.96","-16,746,422.55","-6,903,589.47"
购买商品、接受劳务支付的现金,"533,731,936.49","495,027,932.65","390,581,699.99",,"173,555,777.27","249,441,952.61","316,943,813.98","36,901,916.46","104,571,219.77","170,471,542.18","247,388,507.25","86,118,276.95","191,621,048.54","277,186,148.62"
吸收投资收到的现金,,,,,"182,820,000.00","182,820,000.00","151,066,591.58",,,,,,,
支付给职工以及为职工支付的现金,"80,710,681.84","80,757,795.71","72,199,749.63",,"37,652,623.48","57,944,398.70","68,708,374.13","17,593,561.60","31,492,948.12","45,382,480.94","58,749,420.33","19,949,476.11","35,324,422.76","53,225,215.47"
取得借款收到的现金,"173,000,000.00","227,050,000.00","129,000,000.00",,"90,253,496.00","195,253,496.00","205,253,496.00","45,000,000.00","80,000,000.00","120,000,000.00","135,000,000.00","40,000,000.00","40,000,000.00","90,000,000.00"
支付的各项税费,"85,289,011.07","70,046,203.63","47,154,132.17",,"22,155,211.38","30,165,106.97","42,229,195.07","6,846,989.94","35,419,624.91","43,035,342.93","51,440,074.79","13,221,128.91","20,871,267.75","29,020,133.15"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"22,170,278.87","23,150,054.03","16,243,192.34",,"7,273,933.67","16,049,420.21","19,556,905.11","4,047,420.07","5,929,142.54","11,047,860.63","17,562,830.08","4,820,273.57","6,191,008.99","9,911,715.00"
筹资活动现金流入小计,"173,000,000.00","227,050,000.00","129,000,000.00",,"273,073,496.00","378,073,496.00","356,320,087.58","45,000,000.00","80,000,000.00","120,000,000.00","135,000,000.00","40,000,000.00","40,000,000.00","90,000,000.00"
经营活动现金流出小计,"721,901,908.27","668,981,986.02","526,178,774.13",,"240,637,545.80","353,600,878.49","447,438,288.29","65,389,888.07","177,412,935.34","269,937,226.68","375,140,832.45","124,109,155.54","254,007,748.04","369,343,212.24"
偿还债务支付的现金,"178,800,000.00","227,900,000.00","283,350,000.00",,"93,253,496.00","178,253,496.00","203,253,496.00","65,000,000.00","96,000,000.00","161,000,000.00","196,000,000.00","30,000,000.00","30,000,000.00","70,000,000.00"
经营活动产生的现金流量净额,"60,686,398.11","35,858,798.54","68,777,924.61","1,402,900.00","3,407,626.57","-77,275,344.65","-3,649,592.93","-8,480,899.14","-10,117,142.86","-28,802,153.82","-20,202,940.78","-20,757,917.68","-17,275,314.58","-15,245,730.20"
分配股利、利润或偿还利息支付的现金,"35,583,697.30","23,059,828.30","13,986,966.61",,"4,075,913.91","5,869,139.62","7,505,537.19","1,498,921.21","13,957,679.57","15,224,081.33","16,338,376.13","915,735.44","5,461,127.11","6,461,959.40"
收回投资收到的现金,,"1,365,560.84",,,,,,"16,000,000.00","60,000,000.00","70,038,750.00","114,000,000.00","5,468,750.00","21,468,750.00","95,521,850.00"
支付其他与筹资活动有关的现金,,"1,377,358.48","1,553,773.58",,"25,559,490.50","31,753,408.42",,,,,"3,754,716.99",,"943,396.22","2,075,471.68"
取得投资收益收到的现金,,,"1,400,000.00",,"1,425,853.28","1,425,853.28","1,587,409.40","918,093.11","1,048,235.54","3,068,506.22","5,822,324.01","858,641.16","3,118,274.02","5,601,925.56"
筹资活动现金流出小计,"214,383,697.30","252,337,186.78","298,890,740.19",,"122,888,900.41","215,876,044.04","210,759,033.19","66,498,921.21","109,957,679.57","176,224,081.33","216,093,093.12","30,915,735.44","36,404,523.33","78,537,431.08"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,323,055.82","2,482,000.86","104,966.81",,,"93,800.37","245,383.43",,,,,,,
筹资活动产生的现金流量净额,"-41,383,697.30","-25,287,186.78","-169,890,740.19","5,861,500.00","150,184,595.59","162,197,451.96","145,561,054.39","-21,498,921.21","-29,957,679.57","-56,224,081.33","-81,093,093.12","9,084,264.56","3,595,476.67","11,462,568.92"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,227.46","-88,507.71","70,787.38","84,700.00","48,199.34","68,746.36","97,081.65","-6,735.33","24,948.51","39,548.96","206,143.05","-84,398.80","-102,725.34","-234,680.11"
收到其他与投资活动有关的现金,"6,052,933.68","423,489.71","250,517,917.55",,"258,399.15","594,784.84","50,794,410.28","240,466.61","50,434,456.91","50,665,393.81","119,830,184.83","130,989.07","290,333.90","466,092.24"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"7,375,989.50","4,271,051.41","252,022,884.36",,"1,684,252.43","2,114,438.49","52,627,203.11","17,158,559.72","111,482,692.45","123,772,650.03","239,652,508.84","6,458,380.23","24,877,357.92","101,589,867.80"
五、现金及现金等价物净增加额,"-17,248,100.66","-33,395,590.76","36,721,752.77","-25,182,900.00","113,580,585.41","3,754,893.61","42,987,618.92","-28,942,350.93","-13,611,134.22","-97,772,028.82","-50,017,600.88","-28,702,280.88","-30,528,985.80","-10,921,430.86"
购建固定资产、无形资产和其他长期资产支付的现金,"25,925,563.51","38,149,746.22","109,690,819.84",,"30,767,758.10","72,374,068.13","79,864,669.95","16,114,354.97","22,043,952.75","32,812,709.64","39,618,968.87","18,402,609.19","18,123,780.47","19,493,457.27"
期初现金及现金等价物余额,"107,875,699.45","90,627,598.79","57,232,008.03",,"93,953,760.80","93,953,760.80","93,953,760.80","136,941,379.72","136,941,379.72","136,941,379.72","136,941,379.72","86,923,778.84","86,923,778.84","86,923,778.84"
投资支付的现金,"18,000,000.00","10,000,000.00",,,,,"60,000,000.00",,"63,000,000.00","93,000,000.00","138,961,250.00","5,000,000.00","23,500,000.00","89,000,000.00"
期末现金及现金等价物余额,"90,627,598.79","57,232,008.03","93,953,760.80","68,770,900.00","207,534,346.21","97,708,654.41","136,941,379.72","107,999,028.79","123,330,245.50","39,169,350.90","86,923,778.84","58,221,497.96","56,394,793.04","76,002,347.98"
