科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"156,848,823.39","261,728,556.11","545,508,058.99","2,227,547,268.72","454,826,502.57","392,884,095.11"
短期借款,,,,,,
交易性金融资产,,,,,,
交易性金融负债,"657,000.00",,,,,
应收票据,,,,,,
应付票据,,,,,,
应收账款,"72,159,073.66","96,864,488.08","136,480,383.01","188,487,232.93","216,853,638.31","202,263,235.30"
应付账款,"25,910,072.04","43,347,130.28","55,265,575.40","76,499,988.97","113,452,164.36","101,864,980.74"
预付款项,"589,276.10","2,645,329.69","2,220,176.96","13,196,486.71","4,672,763.38","5,210,428.64"
预收款项,"2,797,039.10","5,118,861.23","13,512,663.09","14,440,694.57","5,965,623.61","8,620,365.81"
其他应收款,"5,757,682.67","4,475,709.19","1,984,317.10","2,516,656.71","4,446,125.05","4,357,093.28"
应付职工薪酬,"14,911,277.07","18,792,675.74","30,643,300.11","6,718,983.80","12,803,559.34","9,415,374.53"
应收关联公司款,,,,,,
应交税费,"1,137,515.00","10,324,356.96","1,218,887.98","1,808,635.31","3,913,500.32","2,152,428.86"
应收利息,,,,,,
应付利息,,,,,,
应收股利,,,,,,
应付股利,"54,880,000.00",,,,,
存货,"57,370,523.31","73,328,154.99","89,111,979.95","87,112,505.63","140,063,287.75","189,963,802.46"
其他应付款,"2,756,265.67","2,400,760.66","1,076,237.55","6,149,918.80","1,296,584.87","2,619,322.13"
其中:消耗性生物资产,,,,,,
应付关联公司款,,,,,,
一年内到期的非流动资产,,,,,,
一年内到期的非流动负债,,,,,,
其他流动资产,"2,683,774.13","4,223,232.22","33,718,158.82","21,300,473.56","1,766,666,753.97","1,946,189,963.11"
其他流动负债,"500,000.00","180,000.00","1,200,000.00","1,200,000.00",,
流动资产合计,"295,409,153.26","443,265,470.28","809,023,074.83","2,540,160,624.26","2,587,529,071.03","2,740,868,617.90"
流动负债合计,"103,549,168.88","80,163,784.87","102,916,664.13","106,818,221.45","137,431,432.50","124,672,472.07"
可供出售金融资产,,,,,,
长期借款,,,,,,
持有至到期投资,,,,,,
应付债券,,,,,,
长期应收款,,,,,,
长期应付款,,,,,,
长期股权投资,,,,,,
专项应付款,,,,,,
投资性房地产,,,,,,
预计负债,,,,,,
固定资产,"13,337,136.35","13,804,208.18","14,441,744.80","16,158,077.81","16,660,010.34","17,342,915.76"
递延所得税负债,,,,,,
在建工程,"5,073,077.34","24,449,731.55","45,361,992.60","47,622,233.49","62,576,177.93","68,796,633.37"
其他非流动负债,,,,,,
工程物资,,,,,,
非流动负债合计,"980,000.00",,,,,
固定资产清理,,,,,,
负债合计,"104,529,168.88","80,163,784.87","102,916,664.13","106,818,221.45","137,431,432.50","124,672,472.07"
生产性生物资产,,,,,,
实收资本(或股本),"56,000,000.00","56,000,000.00","56,000,000.00","74,670,000.00","74,670,000.00","149,340,000.00"
油气资产,,,,,,
资本公积,"24,809,233.89","24,809,233.89","24,809,233.89","1,595,686,469.20","1,599,372,479.46","1,524,702,479.46"
无形资产,"39,061,011.41","37,976,465.89","36,942,710.05","36,684,271.09","36,425,832.13","36,181,404.15"
盈余公积,"28,000,000.00","28,000,000.00","28,000,000.00","28,000,000.00","37,335,000.00","37,335,000.00"
开发支出,,,,,,
减:库存股,,,,,,
商誉,,,,,,
未分配利润,"141,690,549.71","333,311,015.91","695,634,307.48","836,833,680.04","856,987,625.00","1,029,453,041.93"
长期待摊费用,"1,576,050.47","878,044.89","325,560.74","182,436.14","93,643.30","212,752.43"
少数股东权益,,,,,,
递延所得税资产,"572,523.65","978,601.74","815,669.70","1,098,069.31","1,247,820.03","1,253,394.43"
外币报表折算价差,,,,,,
其他非流动资产,,"969,820.00","512,150.00","163,650.00","1,322,630.00","900,200.00"
非正常经营项目收益调整,,,,,,
非流动资产合计,"59,619,799.22","79,056,872.25","98,399,827.89","101,908,737.84","118,326,113.73","124,687,300.14"
所有者权益(或股东权益)合计,"250,499,783.60","442,158,557.66","804,506,238.59","2,535,251,140.65","2,568,423,752.26","2,740,883,445.97"
资产总计,"355,028,952.48","522,322,342.53","907,422,902.72","2,642,069,362.10","2,705,855,184.76","2,865,555,918.04"
负债和所有者(或股东权益)合计,"355,028,952.48","522,322,342.53","907,422,902.72","2,642,069,362.10","2,705,855,184.76","2,865,555,918.04"
