科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
资产减值损失,"1,678,052.65","4,845,448.11","10,713,534.76","8,250,638.64","10,149,127.94","14,835,985.98","2,231,061.14","11,647,207.90","17,174,367.16","26,061,495.49","4,037,489.24","14,521,966.61","19,412,951.85","26,755,135.80","3,538,554.41","13,065,768.44","7,513,363.52","29,988,361.61","2,794,001.16","14,034,357.58","21,707,918.23","1,703,011,606.12","-14,920,628.95"
减:所得税,"5,998,179.90","6,470,825.71","5,253,555.57","6,633,910.68","11,319,436.24","9,444,950.43","816,019.20","3,407,942.40","5,640,246.77","7,015,083.99","910,183.43","3,200,858.69","5,456,515.70","6,951,624.45","944,737.69","3,007,754.75","6,088,165.98","15,405,680.74","2,288,829.12","3,335,413.83","6,975,523.50","2,776,132.01","1,226,763.76"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,"561,875.00",,"4,587,082.58","4,984,681.06","4,993,470.52","577,513.90"
四、净利润,"36,089,308.45","40,292,318.74","47,166,750.15","18,544,899.87","32,505,939.19","40,312,034.44","4,183,654.74","21,911,823.26","33,759,257.92","42,909,462.78","5,485,920.09","19,987,246.85","34,195,296.75","42,654,992.26","5,759,824.22","16,456,726.42","34,995,142.07","70,714,620.48","15,214,665.43","45,974,845.34","67,129,652.11","-1,750,962,173.20","5,937,136.16"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"36,089,308.45","40,292,318.74","47,166,750.15","18,544,899.87","32,505,939.19","40,312,034.44","4,183,654.74","21,911,823.26","33,759,257.92","42,909,462.78","5,485,920.09","19,987,246.85","34,195,296.75","42,654,992.26","5,759,824.22","16,456,726.42","35,047,082.86","71,150,593.91","15,106,510.27","44,611,552.85","63,744,012.18","-1,757,527,023.60","6,761,394.98"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,"-51,940.79","-435,973.43","108,155.16","1,363,292.49","3,385,639.93","6,564,850.40","-824,258.82"
