科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"204,766,177.66","267,915,085.71","301,768,898.58","180,930,091.73","292,124,749.95","367,775,284.48","107,510,626.96","234,720,254.83","324,014,700.22"
二、营业利润,"47,956,513.22","76,018,212.50","93,547,700.42","57,400,642.48","100,906,710.24","112,185,136.50","33,506,138.74","68,096,944.13","99,936,745.78"
减:营业成本,"114,752,310.56","142,276,560.61","153,719,667.60","85,198,283.18","129,332,179.41","168,124,058.99","49,442,334.80","115,531,377.13","154,589,820.89"
加:补贴收入,,,,,,,,,
营业税金及附加,"2,272,851.32","2,630,831.26","3,168,089.61","1,621,773.33","2,593,773.56","4,216,522.96","1,221,120.29","2,485,887.72","3,694,266.92"
营业外收入,"1,859,455.62","2,935,395.59","32,574,750.95","437,776.85","1,056,810.86","7,461,091.06","727,557.86","917,868.74","1,065,476.63"
销售费用,"12,048,619.58","14,701,896.47","15,539,958.57","11,285,335.16","15,257,792.98","18,611,882.75","4,331,263.61","9,533,715.16","14,848,045.13"
减:营业外支出,"56,500.00","16,912.13","28,054.18","30,678.53","30,678.53","108,571.34",,"100,000.00","347,645.29"
管理费用,"27,576,759.56","33,044,711.76","38,779,390.19","23,893,921.78","42,225,674.24","63,384,538.32","15,952,692.58","33,013,624.69","44,357,831.11"
其中:非流动资产处置净损失,,,,,688.53,"13,364.16",,,"221,404.29"
堪探费用,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,
财务费用,"-628,262.50","-1,264,681.29","-2,923,035.83","-1,659,902.32","-1,952,173.60","-2,732,106.86","-599,694.34","-1,224,216.49","-1,513,982.74"
三、利润总额,"49,759,468.84","78,936,695.96","126,094,397.19","57,807,740.80","101,932,842.57","119,537,656.22","34,233,696.60","68,914,812.87","100,654,577.12"
资产减值损失,"787,385.92","507,554.40","-62,871.98","3,190,038.12","3,760,793.12","3,985,251.82","3,656,771.28","7,694,209.60","8,805,378.81"
减:所得税,"7,642,949.46","11,715,072.01","19,305,582.03","9,283,607.80","16,004,208.83","17,830,240.07","5,141,423.91","10,624,888.71","15,215,362.41"
加:公允价值变动净收益,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,
投资收益,,,,,,,,,
四、净利润,"42,116,519.38","67,221,623.95","106,788,815.16","48,524,133.00","85,928,633.74","101,707,416.15","29,092,272.69","58,289,924.16","85,439,214.71"
其中:对联营企业和合营企业的投资权益,,,,,,,,,
归属于母公司所有者的净利润,"42,116,519.38","67,221,623.95","106,788,815.16","48,524,133.00","85,928,633.74","101,707,416.15","29,092,272.69","58,289,924.16","85,439,214.71"
影响营业利润的其他科目,,,,,,,,,
少数股东损益,,,,,,,,,
