科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
销售商品、提供劳务收到的现金,"57,498,094.68","134,748,900.62","217,141,715.42","266,964,638.12","55,690,073.16","113,537,334.67","250,265,757.89","332,693,813.26","38,879,259.48","170,943,336.21","243,956,686.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,7.42,"114,807.42","149,493.26","2,096,541.00","2,831.58","2,831.58",,"1,340,907.55",,"2,105,661.36","2,105,661.36"
支付其他与投资活动有关的现金,,"514,900.00",,"2,016,019.26",,,,"1,415,004.07",,,"1,088,400.00"
收到其他与经营活动有关的现金,"6,863,608.35","19,710,329.42","36,266,383.98","16,428,143.40","6,484,160.35","26,169,332.05","35,980,002.92","9,943,177.99","14,312,142.18","33,205,293.43","52,894,894.01"
投资活动现金流出小计,"27,700.00","6,237,288.43","9,050,798.43","21,005,334.43","3,023,250.38","12,585,779.22","31,192,700.38","36,404,041.75","5,203,154.08","9,196,270.33","10,141,161.76"
经营活动现金流入小计,"64,361,710.45","154,574,037.46","253,557,592.66","285,489,322.52","62,177,065.09","139,709,498.30","286,245,760.81","343,977,898.80","53,191,401.66","206,254,291.00","298,957,242.25"
投资活动产生的现金流量净额,"72,465,228.47","97,836,126.87","94,787,544.23","87,975,159.45","21,767,441.48","12,284,912.64","-2,631,343.52","-9,520,548.18","26,446,845.92","4,685,106.74","15,015,138.24"
购买商品、接受劳务支付的现金,"29,436,140.35","74,947,972.35","115,394,067.25","156,092,059.55","11,648,830.68","23,385,591.08","155,592,468.24","143,036,499.27","3,775,699.13","76,348,755.12","95,357,162.74"
吸收投资收到的现金,,,,,,,,,,,"50,000,000.00"
支付给职工以及为职工支付的现金,"15,650,285.42","25,312,920.30","35,838,482.68","47,862,560.93","15,187,287.98","25,995,043.81","29,290,863.63","60,935,021.98","15,084,683.90","34,129,781.82","42,625,449.70"
取得借款收到的现金,"206,900,000.00","213,400,000.00","276,400,000.00","384,400,000.00","41,000,000.00","53,500,000.00","131,500,000.00","263,800,000.00","58,000,000.00","110,000,000.00","108,000,000.00"
支付的各项税费,"4,451,606.63","12,220,272.14","22,256,754.51","32,733,667.03","7,759,351.18","20,792,495.28","20,014,419.15","48,186,636.65","10,704,919.74","27,286,543.59","42,038,816.33"
收到其他与筹资活动有关的现金,"80,540,120.97","89,279,189.92","89,260,000.00",,"11,933,773.96","14,075,037.69","64,080,169.02","4,000,000.00","2,499.66",,"106,937.60"
支付其他与经营活动有关的现金,"29,914,127.04","57,154,821.79","89,125,948.58","72,171,690.25","62,412,328.79","102,889,083.68","103,247,518.92","96,447,657.11","31,160,185.63","47,821,133.75","93,477,062.51"
筹资活动现金流入小计,"287,440,120.97","302,679,189.92","365,660,000.00","384,400,000.00","52,933,773.96","67,575,037.69","195,580,169.02","267,800,000.00","58,002,499.66","110,000,000.00","158,106,937.60"
