科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"159,910,014.04","196,856,176.27","259,257,165.85","154,869,188.32","269,408,234.86","397,449,064.47","155,612,178.82","248,890,099.03","383,812,684.33","556,708,201.60","190,650,278.91","380,447,277.38","496,062,801.30","637,407,750.76","164,527,605.35","342,493,950.04","503,957,848.07","745,137,750.23","380,297,649.13","705,346,160.79","1,101,341,633.87","1,777,193,614.46","624,503,832.42","978,386,399.74","1,364,185,598.91","1,945,338,747.35","482,141,439.08","931,585,256.49","1,534,616,298.66"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"34,560,000.00","786,424,208.75",,,"67,505,545.94","55,293,364.10",,,,,,,
收到的税费返还,,"164,194.89","4,144,473.42","1,360,526.09","4,330,912.35","8,125,355.46","1,560,079.36","3,315,431.23","7,590,281.58","14,232,127.08",,"1,732,869.16","3,650,314.05","6,821,440.23","611,374.62","2,747,751.41","8,332,595.52","7,934,213.76","2,078,383.63","6,020,924.07","9,885,534.12","60,686,678.07","8,333,100.83","23,195,411.23","39,825,563.79","54,295,803.80","18,139,755.13","36,551,306.59","51,286,107.60"
支付其他与投资活动有关的现金,,,"798,997.91",,,,,,,,,"318,000,000.00",,"72,287.41","1,037.00","484,000,000.00","741,568,824.30",992.00,"121,812,644.38","341,634,770.76","759,321,924.68","66,265,361.94","202,059,952.19","1,001,168,016.22","1,529,157,278.52",,"724,052,300.00","1,622,910,000.00","2,340,410,000.00"
收到其他与经营活动有关的现金,"10,389,201.23","40,815,306.09","818,916.71","1,213,354.07","4,878,005.39","2,182,177.45","2,656,693.95","3,244,686.00","3,942,052.36","7,741,421.40","2,847,947.65","3,946,260.31","9,007,394.06","15,280,163.58","3,445,501.75","9,079,937.88","10,481,069.61","20,289,459.97","41,065,883.62","84,357,262.48","161,185,563.31","20,215,989.69","59,461,596.22","134,217,206.78","179,548,240.60","31,170,747.49","11,834,121.82","25,728,496.01","690,283,843.60"
投资活动现金流出小计,"7,760,438.48","29,140,391.57","106,853,533.94","35,817,440.67","48,863,557.14","58,317,135.01","6,315,998.39","23,805,471.95","42,325,099.33","73,523,719.49","185,951,762.82","361,867,739.63","578,782,132.24","897,861,703.93","340,745,176.49","538,550,206.73","852,629,117.32","1,822,354,493.69","158,650,222.18","403,136,393.73","920,888,761.58","1,134,307,215.20","237,912,189.66","1,054,601,286.92","1,621,119,994.52","1,718,100,524.29","763,330,907.33","1,691,724,523.77","3,527,583,514.51"
经营活动现金流入小计,"170,299,215.27","237,835,677.25","264,220,555.98","157,443,068.48","278,617,152.60","407,756,597.38","159,828,952.13","255,450,216.26","395,345,018.27","578,681,750.08","193,498,226.56","386,126,406.85","508,720,509.41","659,509,354.57","168,584,481.72","354,321,639.33","522,771,513.20","773,361,423.96","423,441,916.38","795,724,347.34","1,272,412,731.30","1,858,096,282.22","692,298,529.47","1,135,799,017.75","1,583,559,403.30","2,030,805,298.64","512,115,316.03","993,865,059.09","2,276,186,249.86"
投资活动产生的现金流量净额,"-6,445,139.98","-29,140,391.57","-61,506,972.50","-35,817,440.67","-48,863,557.14","-58,228,737.41","-6,315,998.39","-23,805,471.95","-42,025,099.33","-73,202,753.68","-185,951,762.82","-172,432,894.51","-163,226,967.54","-271,751,737.15","-65,114,540.59","-46,672,542.12","-136,467,080.38","-764,737,260.18","24,849,626.51","6,338,724.79","-353,299,585.87","-289,329,509.05","172,137,178.23","-103,071,627.49","-178,443,891.01","-3,222,766.13","55,848,976.87","-51,435,534.88","-1,162,533,348.62"
购买商品、接受劳务支付的现金,"109,938,608.20","115,431,457.35","168,973,551.43","98,781,269.23","191,521,973.34","271,188,947.97","71,794,515.51","128,442,113.84","212,640,891.14","314,020,154.36","92,874,377.30","173,859,669.92","234,051,304.78","333,612,676.06","100,000,207.02","167,803,362.27","263,411,885.35","386,870,796.28","280,939,192.38","549,530,630.93","894,255,837.12","1,126,882,068.97","313,522,016.30","548,179,433.80","763,698,012.77","945,705,819.65","242,436,350.08","479,517,749.20","875,509,101.69"
吸收投资收到的现金,"8,000,000.00","20,000,000.00","35,150,000.00",,,"651,666,400.00",,,,,"2,167,381.97","2,012,824.74","2,012,824.74","1,819,485.90","1,866,600.30","19,353,700.00","21,485,494.32","21,125,988.00",,"807,809,970.48","809,822,970.48","801,709,448.48","582,178.11","582,178.11","582,178.11","582,178.11","2,850,608.02","37,686,227.68","1,517,336,205.23"
支付给职工以及为职工支付的现金,"11,769,166.34","16,185,641.92","29,236,935.30","22,381,752.79","36,343,262.19","48,788,646.02","13,476,407.95","29,047,750.54","50,492,993.55","74,182,656.73","19,869,165.13","38,058,869.17","63,416,926.51","92,531,360.10","27,085,239.52","49,489,476.16","74,806,258.74","115,763,775.93","83,138,177.35","148,223,706.49","227,927,152.74","288,137,392.39","92,163,399.18","155,785,442.73","227,053,294.83","308,930,496.04","95,749,373.77","182,497,727.03","323,128,466.15"
