科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
收回投资收到的现金,,"8,500,000.00",,,,,,"30,000,000.00","131,990,000.00",,"1,025,970,000.00","209,010,793.83","209,010,793.83","579,673,007.19","773,527,957.05","236,000,000.00","470,000,000.00","574,462,006.33","782,486,640.08","59,000,000.00","59,000,000.00","409,387,603.50","522,547,570.90",,,"6,181,653.66",,"50,000,000.00","105,000,000.00","105,000,000.00",,,"266,700.00","11,032,653.58","266,700.00",
支付其他与筹资活动有关的现金,,,,"100,000.00","1,053,100.00","6,811,100.00","6,811,100.00",,"217,625.99","217,625.99","217,625.99",,"108,391.26","108,391.26","108,391.26",,,,,,,,,,,"14,737,267.85","44,921,558.28","28,682,759.41","56,168,161.62","83,824,743.11","111,170,270.20","27,038,368.48","53,758,835.98","78,595,121.86","100,328,260.03","20,472,068.39"
取得投资收益收到的现金,,"305,000.00","106,667.00","106,667.00",,,"1,264,886.91","4,343,083.79","6,796,376.22",,"19,990,527.39","3,329,827.29","3,883,101.27","15,761,135.83","19,736,208.07","3,604,553.83","6,008,283.70","9,988,284.46","17,233,575.83","3,250,253.62","5,615,569.10","11,600,683.59","11,270,920.50","1,131,134.81","1,816,450.46","1,900,306.06","2,320,686.27","374,209.95","3,186,602.73","4,348,082.18","8,346,184.95","2,369,058.90","2,867,689.04","4,355,360.27","3,416,292.70",
筹资活动现金流出小计,"73,947,684.88","142,592,645.40","74,160,077.50","164,685,952.25","22,055,511.38","145,410,041.75","145,464,144.29",,"59,199,499.73","59,199,499.73","59,217,625.99",,"108,935,411.62","108,935,411.62","108,935,411.62",,"56,896,867.46","68,441,862.71","68,172,979.64",,,"59,394,358.88","106,914,375.39",,"11,853,547.53","133,355,253.51","185,404,640.74","63,275,869.34","90,761,271.55","118,417,853.04","150,763,380.13","27,114,493.48","61,297,675.95","86,606,113.29","110,023,462.45","68,033,428.14"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,"180,000.00",,,,"34,000.00","29,417.60","29,417.60","29,417.60","29,747.60",,,,,,"1,000,000.00","12,124,151.20","1,156,436.00","90,000.00","439,032.00","1,600,536.80","1,552,763.16",,"50,000.00","4,500,000.00","4,500,000.00",,,"7,582,000.00","7,852,687.91","70,000.00"
筹资活动产生的现金流量净额,"52,444,675.12","46,240,214.60","-19,160,077.50","-79,685,952.25","9,944,488.62","1,228,671,208.25","1,228,617,105.71",,"-59,199,499.73","-59,199,499.73","-59,217,625.99",,"-108,935,411.62","-108,935,411.62","-108,935,411.62",,"-56,896,867.46","-68,441,862.71","-63,172,979.64",,,"-59,394,358.88","-59,110,227.39",,"78,146,452.47","227,673,755.49","976,274,346.60","-63,275,869.34","-90,761,271.55","-118,417,853.04","-150,763,380.13","12,885,506.52","-21,297,675.95","143,087,243.15","1,626,807,290.61","41,966,571.86"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,-178.73,"576,614.42",-193.59,"-1,006.34",-182.91,-627.67,"-1,017.04",-277.50,-277.58,-278.48,-279.53,-0.07,0.46,0.84,-23.40,-227.76,"-1,322.44",-908.37,"698,355.48","7,434.02","1,637.39","-144,126.10","-521,891.60","14,698.35","48,597.13","111,864.26","164,776.08","-15,473.49","75,482.02","136,934.98","505,995.08","-118,387.04","-269,993.32","-407,365.75","356,321.17","-101,325.26"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"130,722,400.00",,"277,548,200.00","389,090,504.00","625,975,904.00","120,000,000.00","170,000,000.00","242,749,563.54","325,115,400.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"8,805,000.00","106,667.00","106,667.00",,,"1,444,886.91","34,343,083.79","138,786,376.22",,"1,045,994,527.39","212,370,038.72","212,923,312.70","595,463,560.62","793,293,912.72","239,604,553.83","476,008,283.70","584,450,290.79","799,720,215.91","62,250,253.62","65,615,569.10","433,112,438.29","534,974,927.40","1,221,134.81","2,255,482.46","9,682,496.52","134,595,849.43","50,374,209.95","385,784,802.73","502,938,586.18","638,822,088.95","122,369,058.90","173,134,389.04","265,719,577.39","336,651,080.61","70,000.00"
五、现金及现金等价物净增加额,"9,394,539.94","42,317,436.67","40,321,630.37","-2,805,057.93","-12,900,749.55","1,206,213,481.83","834,741,130.11","-548,518,217.22","-595,350,470.91","-373,757,858.03","-472,853,783.39","23,500,152.02","-79,074,262.67","-100,867,434.20","-56,457,041.23","-65,933,533.28","-43,482,140.01","-85,330,104.46","145,836,414.02","71,971,452.27","-202,518,502.86","-134,032,657.93","-203,323,753.19","-54,476,544.02","-95,327,355.43","-138,330,914.44","-58,636,462.22","-146,897,417.69","18,453,005.36","-74,712,464.60","-21,897,431.64","-24,375,295.69","-43,567,031.06","200,707,493.99","1,647,637,694.71","-239,465,814.20"
购建固定资产、无形资产和其他长期资产支付的现金,"26,858,085.49","40,280,243.92","10,125,240.24","66,297,292.31","50,720,777.56","61,570,342.96","168,417,955.62","160,112,037.34","205,784,246.34","254,291,006.02","319,251,270.91","13,704,762.62","18,736,154.85","39,970,240.74","75,868,778.08","35,739,908.26","40,875,146.89","66,004,604.67","178,068,741.21","11,205,829.12","92,505,791.32","203,718,009.02","430,133,792.34","27,003,304.81","187,248,474.86","340,420,472.66","517,498,891.35","58,607,531.03","111,320,245.81","153,681,756.03","237,759,606.28","37,713,850.45","126,836,682.73","235,330,964.09","513,902,348.79","228,883,361.19"
期初现金及现金等价物余额,"1,398,004.97","10,792,544.91","53,109,981.58","53,109,981.58","50,304,923.65","50,304,923.65","50,304,923.65","885,046,053.76","885,046,053.76","1,198,046,053.76","885,046,053.76","412,192,270.37","412,192,270.37","412,192,270.37","412,192,270.37","355,735,250.63","355,735,229.14","355,735,229.14","355,735,229.14","501,571,643.16","501,571,643.16","501,571,643.16","501,571,643.16","312,168,696.58","312,168,696.58","312,168,696.58","298,247,889.97","239,611,427.75","239,611,427.75","239,611,427.75","239,611,427.75","217,713,996.11","217,713,996.11","217,713,996.11","217,713,996.11","1,865,351,690.82"
投资支付的现金,,"5,000,000.00",,,,,"313,000,000.00","402,970,000.00","452,970,000.00",,"1,119,277,720.00","162,807,720.00","184,807,720.00","579,807,720.00","779,706,877.13","271,977,694.24","475,977,694.24","617,146,594.24","553,547,570.90",,"245,000,000.00","371,000,000.00","365,000,000.00",,,,"119,000,039.56",,,,"11,000,000.00",,"50,000,000.00","90,000,000.00","90,000,000.00","30,600,000.00"
期末现金及现金等价物余额,"10,792,544.91","53,109,981.58","93,431,611.95","50,304,923.65","37,404,174.10","1,256,518,405.48","885,046,053.76","336,527,836.54","289,695,582.85","824,288,195.73","412,192,270.37","435,692,422.39","333,118,007.70","311,324,836.17","355,735,229.14","289,801,717.35","312,253,089.13","270,405,124.68","501,571,643.16","573,543,095.43","299,053,140.30","367,538,985.23","298,247,889.97","257,692,152.56","216,841,341.15","173,837,782.14","239,611,427.75","92,714,010.06","258,064,433.11","164,898,963.15","217,713,996.11","193,338,700.42","174,146,965.05","418,421,490.10","1,865,351,690.82","1,625,885,876.62"
