科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"92,733,611.08","105,147,999.15","99,213,441.58","62,874,988.02","61,857,462.71","228,339,947.46","97,960,208.10","121,258,564.03","170,482,013.28","129,407,147.75","104,928,343.62","123,896,234.03","154,940,744.68","134,955,092.58","62,812,640.94","62,909,546.77","180,242,913.06","227,251,193.19"
短期借款,"80,900,000.00","110,199,880.42","236,043,766.08","188,275,919.22","234,707,816.75","182,387,249.68","142,140,087.72","160,093,182.43","225,914,311.20","253,530,303.60","267,015,183.70","298,774,060.71","136,040,801.07","251,849,384.57","339,565,960.96","244,989,194.43","349,167,163.75","447,286,152.98"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"11,363,196.67","33,141,340.79","46,914,037.69","40,368,127.98","66,475,471.56","46,725,740.41","39,670,076.80","47,040,012.55","58,378,300.16","99,242,301.33","80,945,912.46","103,240,852.73","80,363,789.97","121,292,270.68","167,871,666.34","164,458,867.67","204,269,812.97","167,004,626.74"
应付票据,"73,713,998.79","104,216,037.86","101,925,792.08","154,855,113.71","92,649,407.07","151,027,159.40","159,335,281.37","167,491,500.98","112,635,101.89","110,696,817.19","151,442,282.40","186,075,564.18","127,755,094.72","88,690,775.01","74,598,360.36","163,952,538.53","181,245,538.86","182,390,242.47"
应收账款,"91,692,856.70","139,076,255.89","172,113,407.70","210,034,494.87","209,956,943.66","245,415,418.46","265,909,988.27","282,722,327.53","244,239,458.10","252,851,621.79","280,365,909.35","289,668,971.35","251,897,854.22","285,977,422.17","337,897,240.42","326,077,827.59","324,204,092.23","360,082,371.77"
应付账款,"160,527,532.11","146,388,063.90","200,790,894.72","188,973,767.04","222,838,679.71","213,727,860.27","162,673,554.92","188,235,364.30","154,133,377.73","162,129,109.11","189,071,260.19","158,043,002.04","191,446,615.51","210,296,879.70","276,733,484.71","244,871,650.99","262,020,210.70","298,375,023.56"
预付款项,"6,443,168.36","7,518,530.54","6,288,670.18","13,669,816.83","10,349,730.61","12,964,049.82","20,173,620.77","10,974,561.65","6,969,485.48","10,949,698.09","5,502,214.99","7,661,298.74","9,567,806.82","18,590,728.22","14,045,266.87","15,881,030.51","27,303,091.31","32,492,439.43"
预收款项,"90,957,299.14","72,175,585.29","76,696,124.58","101,505,026.98","84,715,850.52","75,731,676.08","81,329,481.85","68,505,700.17","60,207,947.45","80,189,510.78","94,279,371.23","112,298,263.01","173,532,301.36","171,994,328.90","165,113,766.81","184,785,759.32","173,023,463.18","170,428,997.85"
其他应收款,"8,606,386.00","5,968,261.95","5,455,299.12","10,303,451.62","7,294,595.41","10,428,702.83","7,572,268.67","8,795,146.53","6,026,974.28","11,961,939.57","9,309,119.98","12,364,271.64","6,078,029.43","8,093,069.18","7,209,207.47","9,462,381.69","6,173,239.46","13,201,671.36"
应付职工薪酬,"36,663,638.49","39,457,022.71","45,299,374.90","33,772,740.84","42,543,454.95","28,212,482.52","29,798,140.46","42,666,703.23","45,667,528.53","31,258,726.87","34,006,049.13","46,543,932.42","58,018,736.65","55,153,147.19","57,153,611.94","73,092,584.76","102,999,324.93","54,640,765.53"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"-1,931,110.48","8,927,905.41","2,443,402.76","14,082,841.81","4,012,171.05","9,352,953.91","20,743,273.10","13,473,636.87","16,115,027.78","12,741,514.01","21,931,416.06","14,846,915.87","24,897,725.45","24,015,203.46","19,466,240.51","19,643,037.49","17,706,941.77","13,094,344.22"
应收利息,,,,,,,,,,,,,,,,,,
应付利息,"353,712.36","339,433.27","1,603,372.09","1,408,569.42","1,052,185.61","649,143.41","622,036.09","982,191.44","647,869.81","888,423.06","534,436.09","549,519.16","383,955.67","457,313.97","862,460.84","459,494.81","729,825.00","1,230,340.88"
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"1,403,272.09","603,272.09","603,272.09","603,272.09","603,272.10","603,272.10","603,272.10","603,272.10","15,507,326.11","603,272.11","603,272.11","603,272.11"
存货,"262,268,226.34","234,914,202.32","288,925,184.02","358,533,181.69","353,687,379.90","401,334,652.18","361,554,024.87","373,918,424.72","337,105,995.84","356,024,651.45","369,592,283.77","388,103,456.80","455,836,751.45","513,791,768.89","587,375,224.67","620,190,544.81","622,707,725.12","721,257,774.18"
其他应付款,"4,175,905.70","11,054,338.64","3,639,060.15","2,440,549.52","4,800,333.48","2,006,127.52","3,801,294.68","2,552,431.70","3,664,459.92","4,025,584.98","5,202,602.87","3,020,431.83","4,041,539.74","7,129,790.02","6,448,477.69","6,720,658.08","5,981,204.41","7,394,848.88"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,"1,138,000.64",,,"608,115.13","368,956.27","623,316.05","1,128,933.30","2,063,605.03","1,740,047.60","1,385,814.27","1,426,151.35","1,997,452.10","1,698,607.38","25,273,038.99","37,074,280.69"
一年内到期的非流动负债,"29,420,284.55","12,343,400.24","9,916,270.01","23,246,329.11","17,113,230.94","12,278,660.66","3,529,992.64","3,550,813.99","3,749,404.64","3,550,813.99","8,728,854.84","8,728,854.88","8,905,423.76","8,883,655.78","8,811,538.52","8,732,146.02","32,682,234.06","80,350,255.77"
其他流动资产,,,,,"10,777,381.10","11,858,413.71","5,559,013.02","2,221,457.70","9,282,266.44","4,622,855.81","8,700,166.10","4,516,688.16","7,707,864.81","8,794,027.41","9,722,922.25","43,689,308.78","14,260,702.17","29,956,895.75"
其他流动负债,"2,825,000.00","7,298,333.33","3,113,055.50","829,166.63",,,,,,,,,"106,905,638.90","62,392,838.90",,,,
流动资产合计,"473,107,445.15","525,766,590.64","618,910,040.29","696,922,061.65","720,398,964.95","957,066,924.87","799,007,315.63","847,299,450.98","833,107,809.63","866,189,149.09","861,407,555.30","931,191,821.05","967,778,655.65","1,092,920,530.48","1,188,931,621.06","1,244,368,115.20","1,404,434,615.31","1,588,321,253.11"
流动负债合计,"477,606,260.66","512,400,001.07","681,471,112.87","709,390,024.28","704,433,130.08","675,373,313.45","605,376,414.92","648,154,797.20","623,338,301.04","659,614,075.68","772,814,728.61","829,483,816.20","832,531,104.93","881,466,589.60","964,261,228.45","947,850,336.54","1,126,159,178.77","1,255,794,244.25"
可供出售金融资产,,,,,,,,,,,,,,,,,,
长期借款,"54,566,471.71","39,672,568.94","9,901,680.34","152,829,020.61","157,936,092.12","69,136,839.47","9,707,479.76","9,667,331.28","8,436,160.44","7,641,276.65","79,813,829.42","77,698,882.77","69,750,113.15","100,301,989.23","98,026,987.34","95,784,406.46","86,296,545.21","123,512,222.65"
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,"1,167,028.50","30,158,983.69","9,914,064.11","6,280,118.04"
长期应付款,,,,,,,,,,,,,,,,"28,651,034.51","9,418,360.94","7,643,282.75"
长期股权投资,,,,,,,,,,,"180,078,923.25","179,211,587.76","180,447,133.03","181,279,860.29","182,708,939.57","185,384,990.15","218,842,454.64","219,754,479.63"
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,
预计负债,"11,294,134.16","12,482,209.25","14,918,843.53","17,040,677.73","16,984,976.76","17,335,562.35","18,227,794.47","18,608,814.73","16,378,081.51","18,314,124.28","19,535,146.87","18,196,718.09","20,636,257.98","22,800,731.82","25,618,899.00","29,153,437.50","30,292,394.15","29,512,000.44"
固定资产,"129,341,739.89","122,322,483.79","139,805,852.49","360,377,033.46","349,619,379.93","344,464,770.48","340,224,579.32","337,373,353.88","345,637,643.16","351,565,476.22","395,649,397.44","379,805,881.06","403,815,176.79","399,860,708.75","400,307,017.87","394,644,462.69","399,988,171.01","428,960,209.08"
递延所得税负债,,,,,,,,,,,,"20,162.52","18,404.57","17,382.09","16,359.62","15,337.14","8,588.80","7,928.12"
在建工程,"57,332,635.09","94,263,428.29","179,538,622.78","9,863,803.42","23,417,453.44","33,470,126.28","52,732,707.80","61,670,229.97","68,607,784.87","75,639,623.13","38,245,268.52","56,457,093.77","43,187,787.94","55,136,136.36","59,741,332.38","69,665,392.09","98,666,806.46","95,312,921.33"
其他非流动负债,,"4,838,055.55","1,987,500.00","1,700,000.00",,"3,226,849.79",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,"65,860,605.87","56,992,833.74","26,808,023.87","171,569,698.34","178,431,434.32","89,699,251.61","30,916,108.37","31,106,797.88","32,267,517.37","33,152,312.61","106,289,524.23","102,766,614.25","112,681,096.06","142,883,147.98","141,203,300.24","174,751,215.91","144,953,842.38","176,372,856.92"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"543,466,866.53","569,392,834.81","708,279,136.74","880,959,722.62","882,864,564.40","765,072,565.06","636,292,523.29","679,261,595.08","655,605,818.41","692,766,388.29","879,104,252.84","932,250,430.45","945,212,200.99","1,024,349,737.58","1,105,464,528.69","1,122,601,552.45","1,271,113,021.15","1,432,167,101.17"
生产性生物资产,,,,,,,,,,,,,,,,,,
实收资本(或股本),"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","432,000,000.00","432,000,000.00","432,000,000.00","432,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,
资本公积,"17,614,569.42","17,614,569.42","17,614,569.42","17,614,569.42","17,614,569.42","348,214,569.42","348,214,569.42","228,214,569.42","228,214,569.42","228,214,569.42","228,214,569.42","228,214,569.42","228,214,569.42","228,214,569.42","36,214,569.42","36,214,569.42","36,214,569.42","36,214,569.42"
无形资产,"51,499,674.29","51,361,908.70","60,097,895.44","154,445,770.64","153,123,003.37","151,903,819.27","150,578,518.68","149,429,400.97","148,641,137.44","147,364,576.60","146,508,704.61","145,626,236.58","144,730,767.30","175,307,183.77","173,563,745.40","173,116,225.48","172,447,190.69","170,710,924.66"
