科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"52,328,510.30","57,981,206.35","38,957,139.77","50,974,945.96","578,204,727.56","559,063,395.80","560,872,502.06","459,489,964.34","432,932,166.33","317,538,334.98","287,533,258.19","227,030,816.41","300,168,013.23","269,370,315.97","211,919,050.21","234,545,044.83","278,749,437.20","217,348,030.83","188,586,469.11","186,477,027.07","235,742,196.92","217,603,102.31","256,901,252.59","238,906,695.18","120,356,841.77","156,691,412.65","99,242,148.06","117,355,065.43","131,132,235.56","83,851,149.04","133,105,493.83","78,976,205.92","128,388,308.55"
短期借款,"81,367,600.75","85,593,970.86","108,500,000.00","226,907,778.40","65,392,360.00","90,224,711.88","86,228,803.37","80,125,789.28","36,214,067.36",,,"9,636,353.10","54,287,723.36","54,017,984.89","66,372,496.51","103,908,178.46","127,279,489.43","99,411,592.39","57,516,932.27","85,399,528.82","149,225,791.15","125,950,510.53","118,561,598.33","77,620,832.00",,,,,,"11,830,000.00","5,000,000.00","26,030,000.00","33,420,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"10,644,980.30","22,213,347.70","48,902,848.07","46,124,466.81","46,907,924.06","82,406,445.00","90,324,278.45","92,787,032.99","75,796,656.16","100,366,241.34","114,985,023.78","77,477,285.28","83,180,353.87","98,905,931.21","133,921,275.32","97,737,665.97","132,788,550.89","128,181,791.90","147,515,418.64","143,294,490.02","165,656,999.77","181,487,465.49","122,825,974.29","78,246,713.95","206,112,091.84","159,399,185.72","247,878,511.72","148,191,437.39","192,745,123.82","182,734,992.35","278,384,168.76","235,852,351.15","176,015,873.36"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"42,591,926.12","42,617,863.80","61,695,407.14","87,931,180.94","130,830,048.46","132,068,315.73","121,724,491.54","160,897,818.45","165,257,628.12","185,527,724.79","145,525,591.64","189,243,144.23","188,100,747.49","169,404,072.63","174,623,864.94","199,694,761.03","213,749,604.37","245,490,986.36","249,632,640.40","274,589,963.58","297,320,573.48","298,441,512.90","242,028,712.89","294,729,515.74","286,459,741.10","296,114,320.92","273,588,070.93","298,536,967.99","336,454,614.01","365,345,989.13","335,906,758.92","226,158,293.59","252,690,863.67"
应付账款,"5,490,305.83","14,048,847.87","16,987,633.77","22,509,799.01","14,242,173.52","14,410,596.24","19,017,049.18","18,640,913.26","15,964,352.08","28,645,894.12","24,352,632.10","39,077,283.82","40,249,566.71","50,704,878.67","84,303,450.53","54,319,434.68","66,851,375.33","49,201,962.93","52,126,441.90","46,178,184.21","63,713,345.62","68,746,517.82","66,373,217.61","84,915,682.13","65,229,620.59","74,133,124.03","73,345,729.13","79,920,332.29","80,877,342.66","61,688,909.31","71,668,861.21","54,801,167.62","77,653,357.87"
预付款项,"51,459,279.19","20,683,359.90","34,989,794.83","62,268,348.11","64,159,962.32","86,521,135.85","148,294,978.04","176,580,451.01","176,508,102.50","229,765,322.70","180,753,958.43","199,664,117.33","162,702,694.09","173,945,921.09","84,857,594.06","77,357,402.39","68,785,722.30","71,469,435.44","30,820,716.90","28,989,843.37","38,478,775.41","28,566,486.42","16,715,755.50","33,924,849.44","27,982,041.84","41,788,448.06","34,498,582.55","42,734,314.56","39,769,410.71","78,246,752.98","40,792,846.03","42,082,942.81","54,070,003.73"
预收款项,"18,104,456.64","10,897,512.16","18,863,889.45","10,386,295.13","11,384,061.67","9,817,322.09","13,482,981.75","10,365,709.65","13,634,267.00","17,592,491.51","6,112,886.50","5,654,237.88","11,860,917.48","15,624,035.96","6,486,184.42","6,167,169.66","9,010,804.28","11,938,281.00","7,474,041.28","15,256,222.21","6,406,270.69","6,547,889.00","5,529,826.85","10,658,110.63","6,014,973.20","19,853,421.54","8,827,052.27","22,240,709.39","15,461,153.71","22,616,448.26","9,673,116.03","8,827,831.62","10,687,918.35"
其他应收款,"792,400.00","497,787.15","1,096,655.22","842,525.98","2,863,892.01","3,172,650.93","2,898,453.69","4,867,196.31","4,272,077.50","4,080,566.23","6,434,486.16","6,527,413.62","3,973,732.61","2,962,064.02","4,739,498.50","4,505,379.64","2,171,109.06","2,075,547.05","2,259,217.29","5,335,913.05","4,276,698.32","5,955,703.55","3,718,528.06","2,890,136.69","1,051,238.80","1,246,618.58","1,055,795.88","2,966,715.25","1,152,979.84","1,140,247.31","14,782,923.03","41,091,724.37","33,870,147.32"
应付职工薪酬,"320,071.69","597,200.63","497,992.17","474,096.43","470,231.01","141,246.07","141,246.07","163,943.67","178,249.58","1,053,963.34","3,048,819.95","448,038.24","541,397.99","465,810.90","1,300,460.01","473,518.90","1,631,246.22","1,288,662.99","2,251,967.13","6,322,659.78","5,700,139.28","6,679,350.37","7,706,720.57","7,246,370.28","7,115,401.66","7,536,965.76","8,419,740.26","7,211,973.15","7,461,323.74","8,440,609.74","10,088,140.35","7,302,748.76","6,807,893.28"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,669,777.79","2,568,808.12","4,541,976.52","6,171,209.70","6,948,653.97","6,941,296.71","7,874,389.29","5,032,921.77","7,768,656.75","7,738,248.59","-3,330,972.55","-4,741,826.96","-9,190,174.49","-15,782,699.61","6,233,679.14","7,569,862.37","10,214,120.11","8,586,213.55","7,023,268.79","14,199,613.17","10,996,703.61","13,155,037.35","13,242,923.14","13,591,705.93","15,882,362.58","16,748,174.44","10,842,091.49","5,516,596.84","14,100,911.89","24,145,853.54","17,764,546.03","12,478,138.92","3,365,672.04"
应收利息,,,,,,,,,,,,,,,"5,581,394.71","6,238,867.61",,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,"331,708.31","707,134.67","1,080,007.82","1,152,552.00","836,170.95","1,053,442.22","965,300.33","910,589.13","663,308.66","1,185,138.14","2,361,294.64","2,163,801.15",,,,,,"204,709.70",,"230,512.06","419,084.93"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"26,480,989.97","45,138,133.25","46,717,176.28","107,749,516.54","89,462,668.24","89,265,854.37","78,929,208.13","98,214,784.05","88,947,444.49","75,548,665.54","96,749,559.64","137,285,757.95","105,285,006.74","113,533,304.83","145,099,378.49","151,030,974.43","138,433,489.29","131,638,454.51","104,376,129.76","178,603,996.58","132,893,272.91","117,495,033.89","124,795,168.03","140,459,047.38","124,268,235.26","123,348,627.98","115,463,534.93","187,938,592.26","143,358,104.50","138,713,710.75","137,830,660.63","98,129,342.31","167,906,155.84"
其他应付款,"557,266.41","1,909,568.36","6,685,841.72","4,246,783.02","10,112,078.80","5,879,615.71","6,016,352.48","5,814,259.01","8,224,723.25","8,621,431.83","9,444,639.76","11,439,714.80","12,580,323.23","20,172,912.36","17,759,710.74","21,513,642.48","19,004,374.75","19,215,505.78","20,140,942.56","17,202,467.51","17,871,032.31","17,518,575.19","13,284,489.36","14,094,023.11","15,930,953.36","15,858,571.58","12,243,788.20","19,913,581.15","20,293,189.41","18,021,267.86","23,665,387.90","18,514,591.80","17,039,859.62"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,"31,283,063.37","27,088,176.18","21,619,249.44","21,747,086.85","48,470,629.65","20,126,324.01","52,252,821.81","100,481,852.75","203,868,058.82","190,000,000.00","100,749,623.90","80,000,000.00","85,419,457.81","80,417,904.66","43,928,259.43","194,409,767.32","124,000,000.00","340,198,172.35","220,734,878.99"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"184,298,085.88","189,131,698.15","232,359,021.31","355,890,984.34","912,429,222.65","952,497,797.68","1,003,043,911.91","992,837,247.15","943,714,075.10","912,826,855.58","831,981,877.84","837,228,534.82","843,410,548.03","828,121,609.75","792,025,119.60","798,198,272.08","856,297,162.55","817,951,332.94","771,661,221.75","837,417,557.68","926,621,338.62","950,031,157.31","970,853,450.18","979,156,958.38","866,979,814.51","858,588,613.91","857,146,101.88","878,140,997.54","888,540,727.87","1,044,442,608.88","1,064,802,851.20","1,062,489,032.50","1,033,676,231.46"
流动负债合计,"107,509,479.11","115,615,908.00","156,077,333.63","270,695,961.69","108,549,558.97","127,414,788.70","132,760,822.14","120,143,536.64","81,984,316.02","63,652,029.39","39,628,005.76","61,513,800.88","110,661,462.59","125,910,057.84","183,535,989.17","195,104,358.55","234,827,581.07","190,695,660.86","147,498,894.26","185,469,264.83","254,576,591.32","239,783,018.40","227,060,070.50","210,290,525.23","110,173,311.39","134,130,257.35","113,678,401.35","134,803,192.82","138,193,921.41","146,947,798.41","137,860,051.52","128,184,990.78","149,393,786.09"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,"19,000,000.00","10,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,"8,250,000.00","7,250,000.00",,,,,"1,100,000.00","2,030,000.00","2,030,000.00","2,030,000.00","1,880,000.00","1,880,000.00","2,680,000.00","2,680,000.00","2,680,000.00",,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"45,515,468.63","49,318,675.77","92,464,349.73","90,873,871.17","98,337,445.38","97,979,147.94","131,109,424.11","131,849,365.49","146,428,399.98","145,697,285.52","196,331,274.72","196,989,707.08","212,532,048.52","300,855,907.27","490,422,423.77","492,550,926.93","486,041,885.12","494,589,942.76","538,515,665.27","533,401,410.75","520,381,763.50","511,313,088.26","506,233,649.53","496,999,648.67","488,458,476.42","481,588,909.53","490,854,235.18","478,628,311.97","466,294,535.13","456,796,740.95","421,862,571.42","403,110,826.25","392,998,970.63"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,408,493.50","2,408,493.50","1,176,315.00"
在建工程,"1,303,042.25","41,805,812.19","56,351,740.06","63,207,482.47","62,739,991.10","65,867,269.98","41,898,577.69","61,799,783.25","74,303,536.73","84,028,669.58","99,833,640.42","128,533,905.03","157,656,329.74","114,222,563.72","25,156,408.92","38,859,237.97","37,029,463.91","37,631,132.71","1,869,416.54","1,845,831.63","2,003,831.63","2,060,435.40","1,301,071.36","1,541,238.36","3,863,252.03","5,510,124.56","5,481,399.28","10,002,358.64","16,856,512.06","44,519,002.30","126,091,839.00","163,829,609.36","179,046,733.23"
其他非流动负债,,"359,384.99","6,972,524.95","6,788,309.95","6,604,094.95","6,419,879.95","6,235,664.95","6,051,449.95","5,867,234.95","5,683,019.95","9,428,804.95","9,244,589.95","9,060,374.95","8,876,159.95","8,562,589.96","8,163,017.75","7,684,432.64","7,205,847.53",,,,,,,,,,,,,,,
工程物资,,"8,421,585.18","1,588,698.41","1,764,409.37","1,894,829.29","2,077,601.44","841,512.96","2,944,481.91","2,970,582.77","2,970,582.77",,"251,702.62",,"2,610,448.72",,"56,301.69","539,120.36","456,517.29",,,,,,,,,"305,641.02","306,841.01","4,769,892.55","1,446,333.94","3,695,654.15","7,110,605.82","13,998,202.77"
非流动负债合计,"8,250,000.00","26,609,384.99","16,972,524.95","11,788,309.95","11,604,094.95","11,419,879.95","12,335,664.95","8,081,449.95","7,897,234.95","7,713,019.95","11,308,804.95","11,124,589.95","11,740,374.95","11,556,159.95","11,242,589.96","8,163,017.75","7,684,432.64","7,205,847.53","6,857,675.31","6,229,849.23","5,588,220.83","5,243,746.58","4,899,272.33","4,554,798.08","4,210,323.83","3,865,849.58","3,521,375.33","3,176,901.08","2,832,426.83","2,487,952.58","4,551,971.83","4,101,502.65","2,687,124.13"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,847,408.14","2,847,408.14","2,765,472.95"
负债合计,"115,759,479.11","142,225,292.99","173,049,858.58","282,484,271.64","120,153,653.92","138,834,668.65","145,096,487.09","128,224,986.59","89,881,550.97","71,365,049.34","50,936,810.71","72,638,390.83","122,401,837.54","137,466,217.79","194,778,579.13","203,267,376.30","242,512,013.71","197,901,508.39","154,356,569.57","191,699,114.06","260,164,812.15","245,026,764.98","231,959,342.83","214,845,323.31","114,383,635.22","137,996,106.93","117,199,776.68","137,980,093.90","141,026,348.24","149,435,750.99","142,412,023.35","132,286,493.43","152,080,910.22"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"86,900,000.00","100,000,000.00","100,000,000.00","100,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","135,000,000.00","202,500,000.00","202,500,000.00","202,500,000.00","202,500,000.00","202,500,000.00","202,500,000.00","202,500,000.00","202,500,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","425,812,614.00","425,812,614.00","425,812,614.00","425,812,614.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
