科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"137,589,642.66","141,298,710.45","155,295,333.71","430,640,340.38","341,217,307.91","516,162,014.19","521,346,014.68","307,273,061.74","214,762,044.85","95,794,024.15","86,918,901.89","238,794,045.15","520,855,981.34","389,131,803.39","497,381,000.29","547,418,757.08","505,439,502.74","642,021,364.53","499,789,969.53","644,989,463.05","525,699,803.84","522,910,898.22","637,803,869.43","592,018,597.79","478,224,635.22","555,285,686.36","430,423,477.68","398,373,036.79","432,912,159.67","272,665,261.73","511,418,325.36","709,432,164.90","822,113,655.98","450,410,115.81","1,503,562,367.20","1,405,414,226.96","1,155,959,509.10","680,201,479.08","1,610,431,212.91","1,460,388,701.33"
短期借款,"238,785,209.60","272,635,922.34","321,340,360.30","340,546,366.68","383,100,000.00","441,100,000.00","439,200,000.00","418,200,000.00","345,900,000.00","337,900,000.00","430,590,000.00","455,590,000.00","508,390,000.00","486,090,000.00","566,900,000.00","472,900,000.00","497,700,000.00","701,000,000.00","665,000,000.00","626,000,000.00","591,250,000.00","601,250,000.00","656,250,000.00","666,250,000.00","610,569,500.00","666,360,000.00","612,360,000.00","519,360,000.00","526,800,000.00","454,000,000.00","452,400,000.00","845,400,000.00","443,700,000.00","284,000,000.00","444,000,000.00","264,000,000.00","306,000,000.00","355,000,000.00","221,000,000.00","265,990,000.00"
交易性金融资产,"574,808.63","494,673.63","482,112.43","377,425.65","312,532.88","359,568.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"384,500.00",,,,"750,000.00","600,000.00","10,450,000.00","16,950,000.00","13,918,703.00","2,500,000.00","4,776,072.00","8,776,600.00","7,815,072.00","3,590,000.00","8,190,000.00","26,282,037.00","54,376,119.40","39,138,810.00","20,979,365.38","38,303,603.00","20,690,000.00","47,210,000.00","5,483,767.80","10,195,000.00","8,210,351.00","3,172,000.00","445,000.00","1,870,000.00","2,168,474.00","400,000.00","2,002,096.00","3,021,760.00","9,694,797.46","11,632,908.93","9,252,994.00","5,569,883.30","14,050,000.00","15,000,000.00","3,197,697.40","4,527,697.40"
应付票据,"38,750,800.00","91,373,456.70","82,509,596.70","165,569,174.55","128,419,174.55","53,950,000.00","51,400,000.00",,,,"14,290,000.00","134,290,000.00","90,000,000.00","39,290,000.00","190,000,000.00","370,851,742.07","391,779,453.88","371,835,425.83","369,567,975.36","565,493,973.39","443,076,616.00","391,442,460.00","536,753,400.00","452,643,600.00","452,188,700.00","385,320,000.00","284,500,000.00","267,700,000.00","106,500,000.00","152,000,000.00","196,800,000.00","75,800,000.00","471,000,000.00","479,860,001.00","342,000,000.00","343,860,000.00","270,090,000.00","270,900,000.00","100,000,000.00","100,000,000.00"
应收账款,"27,183,418.74","26,828,680.76","40,142,038.32","24,724,999.47","26,563,908.68","38,404,507.56","26,637,566.14","33,325,611.18","25,750,102.45","28,178,179.07","27,314,247.20","40,025,995.55","42,139,472.78","44,289,342.01","73,713,261.37","113,465,431.17","76,731,895.84","77,764,025.01","89,866,665.26","91,255,534.82","67,390,886.60","84,053,561.89","102,573,943.72","87,988,926.65","91,084,850.17","94,079,375.04","110,141,614.09","108,258,574.59","116,112,694.01","123,144,362.54","126,727,230.05","154,952,863.36","121,022,888.08","122,076,069.99","138,283,213.54","245,447,925.02","121,032,049.44","177,134,568.92","176,950,870.83","177,892,280.24"
应付账款,"49,359,229.23","48,140,590.54","49,958,243.91","48,771,329.64","66,281,689.97","60,067,166.03","43,321,090.87","50,570,825.37","49,356,543.14","57,436,633.86","74,176,128.76","89,496,518.79","77,908,203.51","96,755,281.22","98,750,985.17","112,352,952.90","106,122,164.99","91,911,975.56","81,425,301.93","80,036,112.70","92,584,497.43","100,510,789.88","127,309,901.00","103,705,698.66","136,594,415.37","200,092,007.15","76,765,236.75","55,472,929.06","73,302,099.21","64,851,179.89","61,249,694.57","64,920,021.32","226,847,204.01","228,091,740.16","209,076,925.83","200,181,538.37","65,906,964.12","62,368,872.09","54,157,396.60","33,707,963.81"
预付款项,"50,621,986.39","64,441,102.64","59,197,220.40","153,196,873.66","162,110,097.57","158,632,651.42","168,242,913.43","155,099,056.70","64,428,761.47","73,005,954.10","62,970,332.90","53,494,222.31","48,537,453.63","87,669,716.60","112,824,848.91","198,320,620.05","82,973,498.86","106,242,174.14","110,978,968.47","74,688,037.42","60,695,376.63","76,516,958.58","100,630,623.57","71,065,110.79","31,037,339.45","34,051,297.50","39,093,322.72","47,743,876.92","23,120,747.29","80,307,636.90","58,800,103.42","82,993,232.16","54,057,108.10","89,249,840.62","73,226,792.01","77,582,312.00","5,012,263.27","7,216,412.09","29,200,610.55","25,531,443.91"
预收款项,"13,785,020.95","16,517,870.82","15,606,497.23","15,230,831.20","11,173,639.73","13,935,838.06","14,734,092.42","22,868,229.72","16,170,082.94","31,755,423.21","17,223,394.90","10,897,482.77","22,005,350.61","36,175,168.87","14,996,324.91","22,756,188.69","17,208,339.14","41,510,479.56","28,748,174.53","17,851,255.32","8,288,612.81","9,159,742.54","11,033,156.35","11,191,027.69","17,799,750.10","14,078,974.42","13,092,198.44","12,143,300.75","6,101,007.26","6,930,613.20","5,975,002.61","4,476,121.49","36,721,203.82","40,205,729.92","28,904,576.38","38,201,480.65","22,713,567.75","47,959,892.49","36,276,403.49","40,001,837.18"
