科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"37,144,525.88","94,512,881.89","153,743,634.16","178,938,321.94","44,132,930.50","94,567,626.50","138,358,157.92","212,857,746.38","37,141,907.80","124,172,611.10","160,252,331.20","265,036,438.29","71,556,288.05","159,520,036.70","241,493,646.15","369,338,279.70","74,975,981.67","150,878,315.21","268,148,577.84","476,292,829.15","92,930,501.35","213,457,168.32","320,887,589.43","600,494,812.47","122,727,463.88","380,674,104.77","443,225,962.79","831,914,163.88","153,635,198.46","275,348,772.42","403,619,616.44","779,578,749.60","173,703,675.56","208,570,426.42","485,424,571.01","874,203,054.34","237,472,869.63","412,950,419.86","624,635,483.12","747,499,624.90","453,409,581.76","695,343,705.14","937,631,816.85","1,255,248,768.17"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"-26,378,370.54","12,243,958.83",,,,,,,,"25,899,000.00",,,,,,"13,650,000.00","100,781,618.74","97,666,475.88",,,"2,500,000.00",,,,,
收到的税费返还,,,,,,"5,814,852.98","5,906,886.98",,,,"1,434,798.29",,,,"20,000.00",,,,,,"2,182.61",,"3,347.74",,,,,,464.39,,"169,807.65",,,,"2,996,913.37","7,955,069.70","74,452.11","2,680,807.62","3,829,929.53","10,689,442.12","6,502,937.04","7,062,498.39","13,813,488.51","15,139,706.79"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,563.89",,,,,301.86,,,,,,,"4,000.00","24,000,000.00","24,000,383.49","24,000,000.00"
收到其他与经营活动有关的现金,"2,166,823.16","1,895,600.00","3,050,910.01","3,015,460.01","1,396,847.34","5,003,386.16","5,601,286.72","7,266,792.04",,"267,700.00","1,372,095.00","5,866,321.00","3,059,516.46","2,720,300.53","2,872,500.00","3,417,440.00","3,000.00","16,000.00","347,388.21","8,253,692.67","33,209.77","342,228.21","1,314,807.78","28,025,651.16",,"3,140,204.00","5,047,389.80","21,185,471.45","3,332,985.59","108,196.44","1,203,196.44","21,019,168.04","8,202,800.00","11,457,186.52","17,506,081.80","35,756,477.11","35,378,116.70","116,600,500.26","225,725,944.56","36,003,809.78","101,941,944.92","90,730,985.28","158,782,958.17","23,313,212.31"
投资活动现金流出小计,"8,038,135.50","8,040,645.50","8,048,944.50","8,362,236.50","11,323,896.25","13,979,364.42","16,948,764.42","22,357,555.42",,,"6,849,212.80","21,884,525.83","1,707,886.00","1,816,286.00","30,277,433.20","33,156,530.23","14,422,930.20","14,695,649.57","67,390,543.43","82,823,183.20","21,788,539.22","31,038,145.31","33,306,910.28","34,838,586.94","8,279,778.00","13,903,171.26","176,292,973.79","988,500,906.50","185,905,561.95","252,489,682.18","393,059,610.19","399,246,146.44","4,537,495.87","83,319,893.66","109,416,847.43","1,681,151,089.85","1,934,555.94","28,187,968.89","30,971,635.19","8,206,017.82","9,900,060.00","34,619,892.31","35,098,050.39","68,832,505.69"
经营活动现金流入小计,"39,311,349.04","96,408,481.89","156,794,544.17","181,953,781.95","45,529,777.84","105,385,865.64","149,866,331.62","220,124,538.42","37,141,907.80","124,440,311.10","163,059,224.49","270,902,759.29","74,615,804.51","162,240,337.23","244,386,146.15","372,755,719.70","74,978,981.67","150,894,315.21","268,495,966.05","484,546,521.82","92,965,893.73","213,799,396.53","322,205,744.95","628,520,463.63","122,727,463.88","383,814,308.77","448,273,352.59","853,099,635.33","156,968,648.44","275,456,968.86","404,992,620.53","800,597,917.64","181,906,475.56","220,027,612.94","505,927,566.18","917,914,601.15","272,925,438.44","532,231,727.74","854,191,357.21","794,192,876.80","561,854,463.72","793,137,188.81","1,110,228,263.53","1,293,701,687.27"
投资活动产生的现金流量净额,"-7,775,103.41","-7,731,982.45","-7,706,385.13","-6,127,136.29","-11,050,152.86","-13,341,616.02","-16,257,251.84","-20,932,741.09","65,407.52","197,868.27","-6,483,291.76","-21,022,114.05","-1,600,963.31","-1,573,826.55","-29,931,936.11","-32,499,167.59","-13,251,288.88","-12,850,641.46","-65,153,984.50","-79,632,602.76","-19,815,524.97","-28,840,145.12","-30,884,913.72","-30,150,871.82","-7,700,795.07","-7,021,597.35","-169,272,507.03","-181,765,121.58","41,670,568.00","138,225,947.07","71,290,783.63","115,152,857.84","-438,001.78","-74,009,389.56","-98,963,215.56","-177,334,593.88","8,065,444.06","-15,241,663.89","-17,325,330.19","16,233,660.76","-1,645,060.00","11,925,093.23","12,254,063.18","-4,035,284.04"
购买商品、接受劳务支付的现金,"60,924,131.52","67,740,238.94","129,721,934.99","157,974,614.37","67,940,694.22","106,717,481.77","153,732,444.85","211,908,904.77","46,544,601.19","98,217,530.65","152,889,181.44","178,883,908.28","91,275,517.98","173,345,856.43","245,736,315.63","363,106,444.23","87,650,689.92","139,373,256.97","252,338,150.05","381,809,105.11","120,073,464.92","211,725,431.78","305,216,784.85","468,548,002.93","143,365,030.42","392,697,805.98","447,027,397.48","703,378,517.91","158,780,904.17","276,535,318.67","382,956,475.23","600,274,949.04","197,442,431.98","243,931,368.22","473,592,535.38","678,641,201.22","329,256,039.90","458,887,544.54","625,944,145.67","596,263,503.48","469,776,426.54","669,878,946.83","913,641,235.62","975,207,673.31"
吸收投资收到的现金,,,,"143,710,000.00",,,,"5,000,000.00",,,,,,,,"25,000,000.00",,,,"7,940,000.00",,,,,"700,175.40","700,175.40","329,683,535.90","329,700,168.40",,"35,801,451.00","37,151,451.00","51,851,451.00","1,350,000.00","62,186,814.00","150,031,850.12","152,917,800.12","1,800,000.00","1,800,000.00","1,800,000.00","1,800,000.00",,"10,800,000.00","10,800,000.00","10,800,000.00"
