科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"168,305,805,000.00","202,096,799,000.00","111,327,572,000.00","176,195,381,000.00","260,379,635,000.00","62,366,600,000.00","158,241,636,000.00","246,633,141,000.00","370,417,533,000.00","87,230,744,000.00","218,140,532,000.00","341,797,646,000.00","482,836,637,000.00","104,335,935,000.00","253,492,005,000.00","393,926,420,000.00","571,515,835,000.00","126,684,839,000.00","301,933,937,000.00","479,892,326,000.00","681,047,990,000.00","163,946,070,000.00","374,940,944,000.00","566,047,373,000.00","800,028,753,000.00","193,767,299,000.00","413,733,887,000.00","611,341,731,000.00","880,577,134,000.00","214,063,498,000.00","469,694,799,000.00","670,200,687,000.00","959,765,486,000.00","234,827,342,000.00","525,254,692,000.00","770,899,430,000.00","1,054,106,503,000.00","270,160,699,000.00"
二、营业利润,"9,438,707,000.00","6,704,731,000.00","5,251,188,000.00","7,726,236,000.00","12,708,342,000.00","2,853,441,000.00","8,222,819,000.00","12,079,331,000.00","18,790,075,000.00","4,413,546,000.00","11,899,190,000.00","17,633,990,000.00","25,157,635,000.00","4,660,943,000.00","13,048,042,000.00","19,614,905,000.00","29,381,205,000.00","6,682,936,000.00","17,105,311,000.00","25,575,763,000.00","38,209,834,000.00","8,290,393,000.00","20,768,485,000.00","28,399,862,000.00","42,213,564,000.00","9,657,181,000.00","24,684,843,000.00","33,608,772,000.00","47,085,471,000.00","10,701,973,000.00","27,728,708,000.00","42,018,497,000.00","51,158,791,000.00","11,871,781,000.00","32,465,717,000.00","44,272,950,000.00","59,697,728,000.00","13,759,499,000.00"
减:营业成本,"147,184,969,000.00","179,198,017,000.00","97,718,455,000.00","155,796,758,000.00","228,738,058,000.00","55,010,751,000.00","139,309,238,000.00","218,118,306,000.00","325,649,848,000.00","76,760,604,000.00","192,075,256,000.00","301,538,052,000.00","424,703,839,000.00","91,895,413,000.00","222,916,657,000.00","347,004,673,000.00","501,835,387,000.00","111,467,313,000.00","265,660,190,000.00","425,125,698,000.00","600,219,835,000.00","145,503,721,000.00","328,609,616,000.00","501,560,173,000.00","699,364,000,000.00","171,968,449,000.00","362,987,776,000.00","541,420,342,000.00","771,038,770,000.00","191,571,233,000.00","421,577,363,000.00","606,772,827,000.00","862,788,327,000.00","213,841,452,000.00","470,557,403,000.00","697,192,101,000.00","943,539,121,000.00","246,204,771,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,363,897,000.00","7,697,534,000.00","4,268,500,000.00","6,465,854,000.00","10,049,229,000.00","2,181,256,000.00","6,163,726,000.00","9,623,979,000.00","15,122,858,000.00","3,166,798,000.00","9,007,286,000.00","13,466,089,000.00","18,959,794,000.00","3,982,407,000.00","9,355,934,000.00","14,851,420,000.00","22,056,947,000.00","4,541,057,000.00","11,129,969,000.00","17,220,935,000.00","24,739,397,000.00","5,747,907,000.00","14,032,992,000.00","19,928,187,000.00","30,891,831,000.00","6,567,940,000.00","13,021,755,000.00","18,312,538,000.00","31,961,640,000.00","6,330,277,000.00","5,754,771,000.00","5,625,024,000.00","18,297,181,000.00","2,081,985,000.00","6,505,490,000.00","8,619,814,000.00","14,068,330,000.00","1,989,254,000.00"
营业外收入,"347,650,000.00","269,996,000.00","76,350,000.00","118,992,000.00","289,562,000.00","99,061,000.00","889,246,000.00","939,619,000.00","1,371,223,000.00","65,449,000.00","365,449,000.00","614,793,000.00","930,455,000.00","176,925,000.00","453,817,000.00","616,767,000.00","950,792,000.00","172,311,000.00","287,073,000.00","533,075,000.00","875,236,000.00","184,476,000.00","557,151,000.00","748,840,000.00","1,272,406,000.00","176,042,000.00","297,588,000.00","486,390,000.00","864,704,000.00","124,015,000.00","413,938,000.00","460,360,000.00","1,225,859,000.00","150,945,000.00","659,395,000.00","964,885,000.00","1,050,155,000.00","88,693,000.00"
销售费用,"600,480,000.00","831,085,000.00","292,741,000.00","501,504,000.00","747,998,000.00","130,371,000.00","338,413,000.00","432,129,000.00","932,147,000.00","135,391,000.00","342,864,000.00","512,595,000.00","920,261,000.00","194,706,000.00","481,226,000.00","835,101,000.00","1,298,672,000.00","342,613,000.00","599,120,000.00","1,048,463,000.00","1,662,426,000.00","305,450,000.00","650,569,000.00","1,078,639,000.00","2,098,826,000.00","329,819,000.00","976,900,000.00","1,442,008,000.00","2,370,307,000.00","356,734,000.00","1,061,301,000.00","1,807,775,000.00","3,207,608,000.00","706,708,000.00","1,288,035,000.00","1,914,948,000.00","3,487,820,000.00","792,065,000.00"
减:营业外支出,"130,624,000.00","113,229,000.00","11,707,000.00","48,551,000.00","113,767,000.00","18,035,000.00","43,443,000.00","62,269,000.00","520,909,000.00","7,042,000.00","31,763,000.00","119,887,000.00","195,924,000.00","9,737,000.00","45,979,000.00","89,529,000.00","171,063,000.00","12,530,000.00","46,696,000.00","91,232,000.00","286,470,000.00","22,213,000.00","68,619,000.00","117,899,000.00","149,869,000.00","9,657,000.00","157,586,000.00","193,468,000.00","253,386,000.00","27,546,000.00","60,955,000.00","97,621,000.00","271,863,000.00","24,288,000.00","84,842,000.00","203,196,000.00","348,269,000.00","35,311,000.00"
管理费用,"3,715,816,000.00","6,120,063,000.00","3,003,370,000.00","4,773,445,000.00","6,841,764,000.00","1,960,006,000.00","3,677,783,000.00","5,943,907,000.00","9,194,581,000.00","2,519,501,000.00","4,911,274,000.00","7,965,104,000.00","11,137,939,000.00","3,070,680,000.00","6,227,164,000.00","9,665,711,000.00","13,402,257,000.00","3,663,862,000.00","7,003,547,000.00","10,744,167,000.00","14,549,210,000.00","3,630,663,000.00","7,498,386,000.00","11,186,157,000.00","15,605,773,000.00","3,971,273,000.00","7,598,499,000.00","11,710,688,000.00","17,186,333,000.00","4,328,929,000.00","8,274,790,000.00","12,767,023,000.00","17,717,529,000.00","5,199,305,000.00","9,998,115,000.00","14,051,020,000.00","20,508,774,000.00","6,245,239,000.00"
其中:非流动资产处置净损失,"45,461,000.00","35,550,000.00","4,693,000.00","4,707,000.00","56,978,000.00","696,000.00","8,140,000.00","8,503,000.00","39,469,000.00","1,070,000.00","10,536,000.00","9,007,000.00","161,961,000.00","2,042,000.00","5,804,000.00","5,350,000.00","22,670,000.00","1,849,000.00","8,282,000.00","13,514,000.00","29,750,000.00","10,743,000.00","14,166,000.00","15,017,000.00","44,296,000.00","2,086,000.00","7,931,000.00","7,233,000.00","27,164,000.00","395,000.00","9,721,000.00","9,954,000.00","52,121,000.00","2,985,000.00","17,341,000.00","19,075,000.00",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,204,498,000.00","1,399,942,000.00","785,499,000.00","988,735,000.00","829,200,000.00","111,605,000.00","360,447,000.00","503,198,000.00","954,202,000.00","402,287,000.00","456,815,000.00","980,015,000.00","2,901,529,000.00","849,660,000.00","2,132,165,000.00","3,139,126,000.00","4,125,443,000.00","598,451,000.00","1,852,719,000.00","2,889,227,000.00","5,407,200,000.00","821,588,000.00","2,391,138,000.00","3,500,130,000.00","7,429,397,000.00","1,139,873,000.00","2,946,440,000.00","3,781,311,000.00","8,425,866,000.00","1,297,715,000.00","3,143,204,000.00","4,533,178,000.00","8,114,442,000.00","1,361,073,000.00","4,539,354,000.00","5,520,723,000.00","9,939,511,000.00","1,604,571,000.00"
三、利润总额,"9,655,733,000.00","6,861,498,000.00","5,315,831,000.00","7,796,677,000.00","12,884,137,000.00","2,934,467,000.00","9,068,622,000.00","12,956,681,000.00","19,640,389,000.00","4,471,953,000.00","12,232,876,000.00","18,128,896,000.00","25,892,166,000.00","4,828,131,000.00","13,455,880,000.00","20,142,143,000.00","30,160,934,000.00","6,842,717,000.00","17,345,688,000.00","26,017,606,000.00","38,798,600,000.00","8,452,656,000.00","21,257,017,000.00","29,030,803,000.00","43,336,101,000.00","9,823,566,000.00","24,824,845,000.00","33,901,694,000.00","47,696,789,000.00","10,798,442,000.00","28,081,691,000.00","42,381,236,000.00","52,112,787,000.00","11,998,438,000.00","33,040,270,000.00","45,034,639,000.00","60,399,614,000.00","13,812,881,000.00"
资产减值损失,"444,531,000.00","409,580,000.00","109,520,000.00","93,943,000.00","606,566,000.00","87,105,000.00","501,131,000.00","513,413,000.00","1,304,457,000.00","122,598,000.00","405,477,000.00","403,967,000.00","830,465,000.00","156,290,000.00","376,965,000.00","410,034,000.00","2,612,599,000.00","83,304,000.00","1,449,773,000.00","1,272,698,000.00","1,666,428,000.00","176,878,000.00","2,040,624,000.00","1,799,108,000.00","4,524,263,000.00","326,713,000.00","1,653,599,000.00","1,547,527,000.00","3,756,309,000.00","-197,990,000.00","3,085,631,000.00","4,083,777,000.00","5,365,548,000.00","278,443,000.00","3,213,602,000.00","3,077,521,000.00","7,049,491,000.00","295,624,000.00"
减:所得税,"2,590,489,000.00","2,222,291,000.00","1,490,963,000.00","2,101,502,000.00","3,809,017,000.00","902,417,000.00","2,047,581,000.00","2,990,542,000.00","4,925,179,000.00","1,140,463,000.00","3,214,695,000.00","4,310,379,000.00","6,653,625,000.00","1,061,953,000.00","3,511,071,000.00","4,947,563,000.00","7,384,236,000.00","1,759,789,000.00","4,479,958,000.00","6,504,401,000.00","9,465,135,000.00","2,161,411,000.00","4,923,461,000.00","6,683,031,000.00","10,159,287,000.00","2,313,916,000.00","5,896,195,000.00","8,754,158,000.00","11,753,981,000.00","2,509,914,000.00","6,632,930,000.00","9,621,058,000.00","10,940,548,000.00","2,859,693,000.00","7,586,008,000.00","10,360,863,000.00","13,750,591,000.00","3,298,074,000.00"
