科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"223,719,270.31","263,665,181.22","71,599,575.60","316,456,400.96","72,737,542.02","150,898,498.95","227,162,289.92","375,563,263.24","98,167,189.51","167,939,063.71","258,894,610.84","415,087,533.93","126,782,800.19","242,766,215.32","345,843,809.17","531,650,144.15","158,801,105.79","270,297,319.08","361,762,759.27","506,380,782.66","120,066,801.89","222,946,201.74","354,766,407.94","541,521,083.36","100,575,043.97","284,746,358.56","467,065,744.28","632,532,576.62","105,465,214.75","218,857,082.86","339,693,518.67","519,930,623.86","131,165,537.32","282,623,600.13","459,185,420.56"
二、营业利润,"50,917,075.89","58,215,062.35","17,573,478.11","72,703,509.03","19,195,623.63","38,766,262.19","51,322,429.44","79,826,805.84","24,408,757.96","44,143,668.59","59,156,407.55","82,458,581.20","22,985,382.94","46,247,972.41","56,116,721.95","61,810,921.11","25,532,946.57","44,034,884.94","35,295,117.90","41,934,771.30","14,388,636.96","11,337,393.41","8,075,913.48","10,275,603.89","8,347,889.26","1,692,493.54","1,163,316.06","32,110,814.93","7,803,174.24","34,463,133.95","67,692,716.00","112,762,927.58","39,434,350.71","81,936,849.38","130,338,027.60"
减:营业成本,"148,564,503.34","149,415,673.79","37,110,596.63","171,378,269.25","31,671,729.74","69,921,446.60","107,411,233.52","192,244,050.55","43,300,918.07","66,202,829.57","108,891,574.09","179,663,134.75","57,573,112.85","104,187,276.29","151,467,106.04","256,778,495.45","74,944,174.30","118,871,456.49","165,905,424.47","235,572,586.59","57,240,014.56","118,918,188.56","213,772,951.23","333,800,685.62","55,701,631.52","185,713,407.21","305,199,750.47","388,556,027.58","57,947,012.84","87,566,161.98","108,285,550.61","160,421,456.64","46,291,061.44","89,048,762.35","151,536,361.43"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,"16,500.00","16,500.00","511,845.23","635,590.82","1,581,006.60","2,175,075.36","3,368,461.26","760,651.60","1,355,988.75","1,940,514.02","3,542,537.57","1,110,716.80","1,847,959.19","2,809,646.95","4,194,760.67","912,127.42","1,392,399.47","1,856,000.52","3,069,929.00","646,011.18","1,162,931.82","1,738,956.77","3,438,207.55","570,639.94","1,015,108.06","1,227,014.84","3,681,506.25","837,940.02","1,804,259.22","3,240,580.42"
营业外收入,"1,244,477.55","259,629.08","1,756,953.35","5,155,055.66","405,695.86","743,135.11","898,856.31","2,946,931.57","1,141,383.78","1,211,915.68","1,522,447.48","2,884,827.88","140,601.41","407,378.56","902,275.35","3,171,388.86","853,961.87","1,276,214.42","2,237,738.58","5,045,525.18","898,955.62","1,336,189.60","2,799,413.06","3,337,562.81","253,428.13","8,370,634.92","16,153,532.31","22,927,454.06","137,317.77","1,421,529.78","1,828,554.46","4,070,413.17","122,791.25","575,171.86","7,954,944.46"
销售费用,"15,257,999.44","42,684,973.97","12,582,201.19","55,493,804.26","16,813,667.38","33,234,502.11","52,897,053.33","71,667,911.96","24,567,961.21","48,267,975.37","74,394,443.39","124,812,577.19","37,265,491.56","72,833,421.51","108,364,299.54","162,482,154.41","48,802,665.39","89,073,424.10","133,078,795.51","175,335,426.36","43,274,971.65","81,271,056.28","114,266,714.19","152,931,947.06","32,668,812.77","65,465,893.56","94,311,325.11","111,336,293.72","16,727,093.73","28,174,235.58","33,621,337.56","40,921,821.76","5,775,396.36","18,225,470.49","38,132,680.48"
减:营业外支出,"39,557.03","1,180,439.07",104.80,4.94,,"6,745.49","6,745.49","7,990.94","133,507.48","134,303.98","134,419.97","462,782.41","1,001,468.35","1,014,803.92","1,126,800.23","1,231,455.95","39,352.55","156,820.68","411,826.29","447,476.52",829.38,"80,317.36","82,917.65","335,275.70","14,863.51","1,631,653.61","2,264,628.30","6,753,304.34","54,768.90","961,267.63","1,292,889.71","1,922,429.47","2,885.78","100,626.78","2,135,894.71"
管理费用,"8,242,769.70","11,798,531.30","4,376,895.30","16,008,945.12","4,648,537.69","7,573,836.30","13,346,600.28","29,636,384.23","5,876,274.78","11,197,804.57","19,022,587.77","27,496,680.39","8,833,413.58","17,192,330.77","26,429,447.85","37,124,748.01","7,596,494.87","14,562,497.23","22,940,693.02","34,758,063.99","7,702,374.31","16,736,834.58","29,140,466.39","34,848,905.38","8,720,558.94","30,962,958.73","45,456,029.12","64,956,842.11","20,378,782.89","45,711,650.75","95,029,524.63","129,574,594.20","35,823,478.55","72,630,821.51","105,250,778.29"
其中:非流动资产处置净损失,,"137,387.58",,,,,,"6,683.60",,,,"335,906.22",,,,"121,958.19",,"47,699.80",,"270,634.91",829.38,"19,834.68","19,834.68","325,393.20",,,,"732,265.64","54,441.03","893,432.95",,"1,369,458.34",,"100,371.47","2,133,368.55"
