科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"312,870,923.19","380,645,373.52","469,857,797.08","234,975,304.94","366,507,770.40","514,354,477.86","138,609,810.09","264,135,460.86","412,128,530.66","589,512,850.64","150,638,505.62","302,580,537.77","450,880,328.54","667,365,252.51","146,205,851.87","325,547,564.07","511,074,267.49","704,183,172.79","161,827,586.05","333,378,576.25","528,984,768.79","797,484,373.43","174,237,228.12","443,198,778.14","604,987,643.22","949,228,827.09","223,818,490.23","543,134,630.08","893,961,540.15"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-42,908,967.50","-42,908,967.50"
收到的税费返还,,,"2,309,022.18","230,807.80","230,807.80","230,807.80","1,188,557.58","1,915,610.52","4,714,455.72","3,714,455.72","228,821.13","228,821.13","228,821.13","563,954.22","9,333.63","69,744.23","92,738.70",,,,"206,491.46",,"409,342.18","726,482.47","1,455,939.10",,"363,290.27","816,802.85","996,200.90"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00",,,,,,,
收到其他与经营活动有关的现金,"427,600.65","822,827.67","4,423,226.70","751,100.87","1,995,612.66","10,072,289.59","549,153.28","2,226,694.01","8,142,042.23","13,647,167.55","1,531,588.47","6,151,332.30","7,086,812.77","36,561,256.66","5,102,479.81","11,908,258.25","16,707,677.49","11,956,763.83","8,628,450.57","60,897,110.42","87,318,790.46","30,031,422.78","9,477,228.29","21,543,025.16","29,118,275.71","79,697,835.11","12,230,178.53","18,914,625.19","34,313,134.30"
投资活动现金流出小计,"87,923,889.96","41,227,697.83","110,073,333.58","13,651,668.48","68,623,983.94","135,463,778.99","17,333,763.99","54,737,289.24","64,692,267.38","85,939,581.44","31,402,790.08","56,214,073.55","114,576,873.51","115,943,380.49","20,408,939.03","63,639,130.57","134,139,474.06","178,040,350.26","48,878,338.03","113,718,552.91","150,010,966.25","151,673,641.33","14,763,991.12","64,093,178.66","73,815,105.35","92,158,511.74","51,447,628.70","18,748,812.43","62,082,395.56"
经营活动现金流入小计,"313,298,523.84","381,468,201.19","476,590,045.96","235,957,213.61","368,734,190.86","524,657,575.25","140,347,520.95","268,277,765.39","424,985,028.61","606,874,473.91","152,398,915.22","308,960,691.20","458,195,962.44","704,490,463.39","151,317,665.31","337,525,566.55","527,874,683.68","716,139,936.62","170,456,036.62","394,275,686.67","616,510,050.71","827,515,796.21","184,123,798.59","465,468,285.77","635,561,858.03","1,028,926,662.20","236,411,959.03","562,866,058.12","929,270,875.35"
投资活动产生的现金流量净额,"-87,857,889.96","-41,190,497.83","-110,071,333.58","-13,531,668.48","-68,344,983.94","-135,184,778.99","-7,190,832.66","-44,194,357.91","-54,146,336.05","-75,393,650.11","-31,402,790.08","-56,146,073.55","-114,487,873.51","-115,872,124.17","-20,408,939.03","-63,615,130.57","-134,055,474.06","-177,981,888.72","-48,878,338.03","-113,697,552.91","-149,182,466.25","-104,721,321.33","-14,743,991.12","-64,073,178.66","-71,286,349.97","-77,137,107.85","-51,433,628.70","-18,720,488.33","-56,097,202.83"
购买商品、接受劳务支付的现金,"197,106,449.23","248,859,957.91","274,035,473.72","153,875,931.13","237,932,418.57","349,280,921.52","112,768,309.58","185,848,301.12","291,367,939.13","409,280,541.21","95,815,508.98","199,572,145.58","290,554,145.93","451,916,351.79","90,111,935.22","221,577,453.67","316,465,251.93","481,894,926.35","104,185,397.16","221,433,334.55","314,791,002.40","510,211,005.70","95,897,198.36","263,994,804.47","330,158,909.69","560,769,952.66","179,793,981.61","366,747,883.87","602,991,056.18"
吸收投资收到的现金,,,,,"309,500,000.00","330,000,000.00",,,,,,,,,,,,,"300,000.00","300,000.00","300,000.00","42,630,000.00",,"12,000,000.00","12,000,000.00",,"294,484,607.60","326,697,296.50","326,697,296.50"
