科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"24,917,754.56","49,600,594.29","54,048,084.37","67,908,343.86","544,004,481.98","480,060,061.96","472,686,080.02","466,020,077.34","431,972,415.85","422,458,910.81","409,927,251.08","393,329,794.30","312,183,957.51","299,320,914.10","238,014,954.19","214,006,867.05","171,560,653.25","199,447,630.64","222,718,786.68","227,846,197.47","303,274,550.81","210,376,016.38","234,261,258.58","233,342,569.32","212,054,988.46","200,994,763.11","195,423,741.32","219,262,312.88","141,995,335.71","829,138,233.70","140,497,864.65","212,985,756.98","219,036,863.05","187,956,619.02"
短期借款,"14,000,000.00","24,000,000.00","25,000,000.00","44,000,000.00","44,000,000.00","15,000,000.00",,,"10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","10,425,189.58","10,427,548.84","14,074,848.80","4,032,306.70","30,026,954.29","53,000,000.00","55,023,562.98","65,000,000.00","45,034,786.53","61,975,337.64","71,962,104.79","64,925,795.00","74,494,681.57","91,035,765.02","120,976,610.48","101,309,217.66","142,629,361.37","218,495,019.46","294,412,349.94","328,197,363.00","376,999,882.84"
交易性金融资产,"3,524,324.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"1,000,000.00","1,000,000.00",,,"1,500,000.00",,,"3,000,000.00","2,000,000.00",,,,,,,,,,,,"550,000.00","6,900,000.00","3,644,801.55",,"2,300,000.00","9,616,292.50","11,176,553.62","300,000.00","13,100,000.00","11,050,000.00","5,761,915.06","8,486,298.46"
应付票据,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00",,,,,,,"3,000,000.00","3,000,000.00",,
应收账款,"26,310,709.69","27,322,599.42","47,573,198.05","40,486,814.63","49,276,938.34","57,647,140.80","54,774,972.87","47,666,485.76","58,289,240.19","77,190,441.96","99,267,385.53","100,964,739.83","108,345,538.94","93,745,384.23","133,527,498.94","123,402,202.12","136,097,860.24","134,354,940.84","138,324,217.80","116,818,307.60","122,310,400.97","107,190,749.24","260,085,548.75","229,071,506.46","187,898,811.66","200,061,303.63","233,449,147.76","210,594,374.32","254,931,190.13","265,113,985.69","296,215,193.00","260,760,125.73","281,245,343.52","285,574,492.48"
应付账款,"13,103,530.03","7,801,331.60","7,925,507.93","7,485,691.94","3,495,321.41","8,540,765.21","7,063,499.23","7,121,591.57","12,103,460.42","13,124,498.48","15,606,934.31","9,268,255.63","18,099,677.12","22,274,751.46","18,109,824.86","13,509,396.70","12,997,789.23","24,994,842.68","21,278,906.10","22,168,987.30","39,036,869.78","29,701,097.07","76,585,087.79","71,705,447.89","78,188,802.18","79,401,190.37","83,707,007.83","66,485,336.42","63,973,814.04","66,991,924.22","72,946,490.01","59,531,775.98","74,832,905.28","76,560,359.47"
预付款项,"4,809,950.68","5,402,557.70","2,792,573.48","6,827,256.88","4,817,628.70","11,584,533.06","17,579,813.75","22,189,635.02","35,149,747.58","29,956,804.74","21,751,952.01","30,915,411.09","44,793,748.25","36,752,429.68","34,905,502.06","40,319,853.85","38,450,948.57","43,951,604.18","47,891,198.99","46,632,120.99","44,499,353.72","45,056,104.09","42,076,830.28","46,999,078.31","59,632,706.96","89,487,469.42","45,801,577.40","49,016,589.31","31,656,782.76","44,097,975.29","22,318,026.54","34,430,115.42","31,397,762.71","47,519,645.53"
预收款项,"31,046.12","1,868,701.53",,,,,,"25,987.35",,"604,540.00",,,,"621,254.94","255,090.01","315,094.04","294,400.00","7,367,013.37","880,280.14","567,024.31","1,961,426.65","5,740,685.65","13,801,194.10","17,794,726.05","20,393,971.48","14,992,734.83","7,129,086.11","5,969,459.89","4,538,029.56","4,681,876.81","4,476,560.84","6,439,035.27","4,745,167.88","5,652,629.16"
