科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"237,502,855.16","333,566,024.10","378,129,601.43","186,338,788.02","297,717,524.71","440,151,989.81","68,823,186.50","210,387,938.59","343,935,921.08","498,364,032.00","92,609,100.11","221,883,779.31","354,523,298.59","485,367,553.25","99,536,980.96","199,175,551.47","324,299,691.46","465,512,602.92","108,456,699.91","249,093,051.79","418,667,171.30","641,120,283.06","122,356,697.85","258,405,824.32","449,194,651.13","723,197,416.52","169,472,036.49","382,795,317.49","569,570,219.69","869,022,861.91","154,072,290.95","387,718,229.63","766,838,067.85","1,189,956,585.19","211,430,155.77","488,912,659.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,"23,905.33","23,905.33","23,905.33",,,,,,,,,,
收到的税费返还,"705,763.98","1,726,188.10","342,608.55","941,396.04","941,396.04","989,941.99",,"3,023,010.30","8,025,342.90","13,393,785.27","2,448,217.80","4,123,452.39","4,514,157.96","7,682,507.12",,"1,853,811.73","1,853,811.73","2,238,411.32","1,378,640.01","2,652,054.44","2,652,054.44","4,878,906.07","681,707.07","5,810,599.16","9,163,376.32","10,953,337.43","2,822,992.71","4,151,988.84","4,706,567.28","7,088,553.30","590,205.92","3,854,454.86","7,004,796.05","11,234,313.69","4,635,518.32","8,674,976.71"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"13,183,036.54","15,943,484.74","8,030,739.05","1,271,553.39","4,176,486.79","8,007,690.32","3,841,014.85","9,395,413.41","15,248,137.81","27,965,836.12","9,932,326.16","13,285,742.73","22,590,293.58","27,376,844.51","3,642,479.76","15,625,514.70","22,617,565.92","33,281,267.46","6,094,919.25","13,379,447.83","19,907,951.92","32,410,251.79","7,928,438.55","14,080,416.82","37,103,586.74","40,098,653.45","15,378,403.78","21,965,278.79","33,668,412.66","49,904,744.67","20,533,612.82","38,464,856.34","45,794,407.79","44,211,880.15","3,851,925.67","44,927,194.69"
投资活动现金流出小计,"1,886,205.53","168,372.63","1,448,474.88","15,107,688.67","15,460,473.58","17,734,035.88","833,710.00","21,718,570.70","57,109,271.31","74,081,764.75","590,466.64","60,392,568.07","63,577,234.52","70,780,985.85","9,295,561.77","10,280,838.53","27,928,671.01","49,689,264.61","49,338,401.45","64,592,943.76","85,237,895.98","89,044,611.63","48,148,848.64","5,479,055.92","64,760,473.12","94,502,128.71","14,083,569.64","17,861,388.57","26,012,635.87","48,668,791.87","22,765,150.02","33,026,060.73","86,884,049.59","110,663,561.64","21,319,963.60","22,666,278.06"
经营活动现金流入小计,"251,391,655.68","351,235,696.94","386,502,949.03","188,551,737.45","302,835,407.54","449,149,622.12","72,664,201.35","222,806,362.30","367,209,401.79","539,723,653.39","104,989,644.07","239,292,974.43","381,627,750.13","520,426,904.88","103,179,460.72","216,654,877.90","348,771,069.11","501,032,281.70","115,930,259.17","265,124,554.06","441,227,177.66","678,409,440.92","130,966,843.47","278,296,840.30","495,461,614.19","774,249,407.40","187,673,432.98","408,912,585.12","607,945,199.63","926,016,159.88","175,196,109.69","430,037,540.83","819,637,271.69","1,245,402,779.03","219,917,599.76","542,514,831.10"
投资活动产生的现金流量净额,"-1,886,205.53","-168,372.63","-1,328,457.32","-15,102,208.67","-15,454,993.58","-17,714,225.88","-782,965.00","-21,667,730.70","-57,058,431.31","-74,031,182.57","-581,354.89","-60,386,068.07","-63,570,034.52","-70,772,360.85","-9,295,561.77","-10,272,038.53","-27,919,871.01","-49,680,476.45","-49,338,401.45","-62,562,706.72","-83,099,921.44","-86,875,716.70","-34,500,848.64","8,185,844.08","-48,692,630.81","-78,430,382.14","-14,083,569.64","-10,015,497.23","-18,129,048.45","45,708,180.05","-22,697,210.02","-26,230,401.98","-77,921,315.84","-91,186,077.89","-21,315,563.60","-18,169,418.06"
购买商品、接受劳务支付的现金,"209,331,757.00","265,804,806.48","289,506,187.93","140,604,602.69","237,419,940.42","331,843,009.96","90,615,612.18","201,209,881.29","385,297,736.71","488,846,258.00","154,848,436.75","298,979,091.68","413,032,706.47","481,655,661.67","66,678,407.14","144,107,725.78","230,966,740.42","342,023,287.67","85,516,680.78","204,740,805.75","384,711,405.14","579,996,045.55","109,496,570.47","232,387,800.90","412,678,531.72","628,501,117.86","166,819,474.73","301,403,188.25","520,188,315.09","719,162,976.81","229,708,784.22","506,433,439.91","778,812,731.08","1,065,825,615.08","181,383,330.65","416,955,080.97"
吸收投资收到的现金,,"18,735,000.00",,,,"746,000,000.00",,,,,,,,,,,,,,,,,,,,"2,845,857.41",,,,"3,500,000.00",,"4,979,837.33","5,149,519.44","5,269,331.04",,
支付给职工以及为职工支付的现金,"9,565,513.09","17,025,329.96","20,820,005.43","14,906,740.28","20,666,169.03","30,048,883.40","12,986,147.36","20,716,402.87","29,287,299.83","38,232,250.28","11,278,346.45","21,036,063.05","29,046,281.14","36,619,294.09","8,830,429.51","20,660,973.61","28,159,743.63","32,490,290.87","9,565,380.10","21,981,508.81","30,858,495.99","39,676,304.92","14,659,992.62","26,222,674.34","43,650,955.04","53,624,307.28","24,074,165.81","41,804,693.00","64,680,077.55","78,814,770.83","20,214,229.18","35,455,855.90","53,225,041.18","72,317,325.25","26,103,534.24","43,676,586.93"
