科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"131,721,052.77","183,838,702.70","235,554,177.71","58,840,572.40","123,366,217.02","185,607,989.35","478,825,895.45","184,273,886.42","426,380,422.69","538,227,139.21","828,779,694.91","132,073,383.35","321,681,408.69","438,129,789.89","609,356,473.36","97,161,634.21","230,813,503.24","252,326,159.94","226,194,759.20","72,548,619.70","98,564,469.99","145,814,656.06","181,476,656.75","54,204,656.52","568,439,170.65","867,036,355.52","1,348,624,995.87","368,480,224.93"
二、营业利润,"36,676,990.35","43,826,428.27","62,304,108.59","13,816,714.34","31,888,175.58","44,396,051.33","89,456,377.12","23,717,864.13","67,400,495.54","77,718,781.03","117,680,949.88","18,997,901.26","49,573,365.88","62,725,349.86","71,621,594.93","12,282,092.54","27,135,035.17","15,952,776.08","-15,317,711.12","5,769,856.07","-6,468,735.88","-5,932,883.10","-41,592,307.95","1,619,058.76","7,106,640.02","43,767,501.70","11,887,453.16","16,122,996.52"
减:营业成本,"78,764,559.60","112,282,335.39","139,628,128.36","35,490,536.16","74,056,758.37","112,389,059.17","344,379,787.90","140,770,836.44","313,052,230.95","389,775,129.15","610,908,712.76","88,544,655.96","214,723,707.43","289,216,186.07","410,961,204.37","59,000,986.31","143,216,496.72","158,221,466.89","143,548,706.76","46,302,497.72","62,785,105.39","99,847,587.97","122,138,061.96","36,979,100.28","436,857,156.71","625,101,870.80","1,026,538,835.15","261,284,641.65"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"10,650.00","44,054.58","2,619,052.21","666,686.98","1,436,997.98","1,870,034.64","3,684,879.51","1,198,099.13","3,500,339.17","4,237,479.02","6,193,670.09","2,387,435.96","5,271,515.64","3,146,548.12","4,107,643.37","857,919.90","2,835,111.42","2,851,933.63","2,850,784.16",,"-186,603.19","252,297.70","10,873,243.87","725,454.05","2,436,809.84","3,728,935.66","3,333,934.17","952,406.87"
营业外收入,"2,380,000.00","7,055,064.64","11,169,204.10","754,704.30","9,360,531.67","10,178,571.26","17,792,875.55","413,641.31","1,115,764.70","3,759,546.54","13,277,766.46","366,500.00","4,446,561.97","4,956,739.11","18,875,540.16","1,886,515.47","11,098,547.92","12,451,340.35","23,093,975.17","919,134.99","4,947,037.02","5,899,525.79","63,756,773.27","2,350,336.61","3,885,316.31","401,937.38","6,379,977.85","1,146,333.05"
销售费用,"1,913,796.82","6,380,015.03","6,951,999.47","1,875,601.91","4,401,267.14","5,873,489.64","8,671,509.04","1,747,644.69","3,707,362.39","7,569,141.96","11,818,669.19","1,942,728.90","4,944,821.56","8,186,194.93","13,074,686.63","2,771,871.08","5,736,278.46","7,757,673.36","12,154,806.94","2,782,195.28","5,204,936.87","7,550,292.40","12,661,104.73","3,263,813.62","43,386,830.33","82,391,117.31","123,307,291.28","35,012,057.08"
减:营业外支出,"23,578.44","38,239.50",,,"50,000.00","50,000.00","219,556.28","30,000.00","30,004.06","30,004.06","30,004.06",,"1,409,924.43","1,410,525.39","74,766.69","1,885.92","223,116.52","402,666.52","671,820.48","158,583.03","476,542.10","542,687.39","613,833.65",3.78,3.78,"11,920.28","366,061.85",
管理费用,"12,592,081.29","17,068,778.67","19,505,077.00","5,931,193.00","11,563,166.03","18,501,336.01","26,421,848.38","8,904,428.35","19,065,651.41","30,038,105.62","42,181,219.11","11,108,810.44","27,407,143.58","41,967,470.61","64,606,149.65","13,102,183.11","35,126,488.41","44,325,546.96","55,889,741.79","11,752,243.13","27,209,773.44","37,063,843.25","49,549,293.15","6,014,767.81","53,917,922.60","97,427,435.85","152,624,480.61","40,867,467.14"
其中:非流动资产处置净损失,"9,144.37","35,270.08",,,,,"164,556.28",,,,,,"1,409,384.78","1,409,384.78","25,112.22",874.00,"105,204.30","105,204.30","105,204.30","158,583.03","158,723.00","158,723.00","279,676.89",3.78,3.78,"11,920.28",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,099,678.83","2,683,073.54","3,138,646.40","555,364.15","-1,358,190.50","-295,915.46","1,923,065.97","5,333,233.29","13,717,624.76","19,049,097.97","29,751,683.24","8,043,124.56","15,301,648.83","27,097,686.81","35,116,702.09","6,241,419.75","8,722,299.29","9,161,427.78","9,675,557.70","1,163,851.59","914,088.96","1,602,316.68","1,432,652.80","2,755,391.49","5,812,852.45","7,540,257.74","26,291,364.35","10,111,331.86"
三、利润总额,"39,033,411.91","50,843,253.41","73,473,312.69","14,571,418.64","41,198,707.25","54,524,622.59","107,029,696.39","24,101,505.44","68,486,256.18","81,448,323.51","130,928,712.28","19,364,401.26","52,610,003.42","66,271,563.58","90,422,368.40","14,166,722.09","38,010,466.57","28,001,449.91","7,104,443.57","6,530,408.03","-1,998,240.96","-576,044.70","21,550,631.67","3,969,391.59","10,991,952.55","44,157,518.80","17,901,369.16","17,269,329.57"
资产减值损失,"663,295.88","1,554,017.22","1,413,099.25","573,466.77","1,446,924.27","2,925,403.31","4,338,341.85","2,571,671.74","5,956,350.67","9,900,484.21","10,323,708.27","969,635.30","4,460,074.50","5,790,876.27","9,892,615.30","2,893,623.31","8,060,883.12","14,050,635.24","17,429,886.74","4,722,178.83","9,158,206.74","5,565,334.38","26,464,351.18","2,829,449.14","18,987,628.46","13,433,287.79","14,374,876.68","7,768,361.38"
减:所得税,"4,812,173.99","5,076,869.20","7,448,697.94","1,982,243.20","5,188,000.13","7,100,289.88","18,874,613.74","5,500,153.22","16,602,432.80","19,566,769.87","29,646,791.49","4,285,980.46","9,538,054.67","12,837,239.23","16,521,654.57","3,365,990.66","6,412,111.92","-388,101.03","-3,730,455.37","355,133.04","-6,304,582.50","-2,010,769.35","6,133,755.20","426,192.36","-705,539.23","19,621,410.57","3,492,598.78","4,735,999.25"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,"5,933.57","68,990.91","68,881.85","51,469.29","49,914.32","-30,108.65","19,632.20","61,079.75","78,917.63","-79,090.97",868.73,522.78,"24,122.98","-11,538.21","19,089.35","-4,700.00","37,013.77","-55,797.08","52,302.34","134,133.22","49,742.99","-17,621.37","66,669.76","940,855.05","1,579,991.50","338,773.89"
四、净利润,"34,221,237.92","45,766,384.21","66,024,614.75","12,589,175.44","36,010,707.12","47,424,332.71","88,155,082.65","18,601,352.22","51,883,823.38","61,881,553.64","101,281,920.79","15,078,420.80","43,071,948.75","53,434,324.35","73,900,713.83","10,800,731.43","31,598,354.65","28,389,550.94","10,834,898.94","6,175,274.99","4,306,341.54","1,434,724.65","15,416,876.47","3,543,199.23","11,697,491.78","24,536,108.23","14,408,770.38","12,533,330.32"
其中:对联营企业和合营企业的投资权益,,,"5,933.57",,,"51,469.29","49,914.32","-30,108.65",,"61,079.75","78,917.63","-79,090.97",,522.78,"24,122.98","-11,538.21","19,089.35","-4,700.00","37,013.77","-55,797.08","52,302.34","134,133.22","49,742.99","-17,621.37","66,669.76","940,855.05",,"338,773.89"
归属于母公司所有者的净利润,"34,221,237.92","45,766,384.21","66,024,614.75","12,589,175.44","36,010,707.12","47,424,332.71","88,165,919.15","18,627,102.86","51,927,102.44","61,953,867.12","101,374,944.34","15,110,578.98","43,070,637.45","53,457,819.22","73,875,998.12","10,815,263.39","31,622,987.16","28,414,183.45","10,859,531.45","6,175,274.99","4,306,341.54","1,434,724.65","15,431,756.33","3,691,569.91","10,900,111.97","21,171,361.25","7,189,531.82","9,222,420.53"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,"-10,836.50","-25,750.64","-43,279.06","-72,313.48","-93,023.55","-32,158.18","1,311.30","-23,494.87","24,715.71","-14,531.96","-24,632.51","-24,632.51","-24,632.51",,,,"-14,879.86","-148,370.68","797,379.81","3,364,746.98","7,219,238.56","3,310,909.79"
