科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"92,602,865.10","159,749,918.51","202,618,490.61","20,038,659.74","66,306,749.34","119,831,125.91","235,188,529.53","50,680,613.89","121,524,268.95","185,187,923.96","272,137,260.07","21,857,933.62","88,977,051.10","146,311,657.46","263,933,634.30","22,060,142.93","77,123,228.70","152,383,631.10","382,098,421.52","83,019,109.03","229,485,432.96","366,166,161.15","649,544,554.35","199,351,320.62","458,991,098.30","720,223,657.67"
取得子公司及其他营业单位支付的现金净额,"290,726.43",,,,"-669,440.72","8,520,559.28","6,120,559.28",,,"4,320,000.00",,,,,,,,,"121,793,375.04",,,,,"128,275,727.17","185,701,880.96","185,701,880.96"
收到的税费返还,"4,187,271.47","2,664,041.59","4,034,965.69","1,041,279.56","4,978,139.12","4,978,139.12","7,081,427.68",,,"7,295,133.25","12,353,897.82","884,666.97","1,780,086.82","2,477,156.52","10,607,470.30","4,684,623.22","6,457,167.06","10,472,479.89","14,539,053.52","2,150,215.03","9,906,154.28","13,492,801.43","17,462,697.71","2,222,584.33","5,109,511.30","25,156,697.82"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,"10,133,489.84","10,123,148.84","100,000,000.00","100,000,000.00","100,230,056.19"
收到其他与经营活动有关的现金,"5,086,411.73","14,095,842.09","16,645,420.85","325,152.60","4,738,651.47","9,651,589.69","23,747,044.72","8,132,453.69","18,037,547.74","25,461,432.80","31,430,468.90","12,275,232.00","14,609,093.52","27,349,991.63","30,152,837.10","8,038,252.44","12,330,620.48","20,909,969.52","38,723,886.94","7,338,360.32","16,123,220.77","25,010,364.38","38,726,078.96","17,144,763.27","21,803,736.16","48,300,572.05"
投资活动现金流出小计,"7,807,769.80","32,399,261.60","50,740,841.77","4,775,477.46","17,021,836.63","35,799,644.62","37,090,195.99","256,006.37","2,325,441.79","21,894,660.70","17,284,441.39","45,419,929.21","65,072,500.31","70,417,963.31","122,208,616.09","9,315,736.42","71,712,057.00","188,899,223.57","212,938,589.21","1,284,078.73","36,616,534.61","156,507,959.79","173,471,460.33","295,107,214.97","360,863,686.16","441,396,946.39"
经营活动现金流入小计,"101,876,548.30","176,509,802.19","223,298,877.15","21,405,091.90","76,023,539.93","134,460,854.72","266,017,001.93","58,813,067.58","139,561,816.69","217,944,490.01","315,921,626.79","35,017,832.59","105,366,231.44","176,138,805.61","304,693,941.70","34,783,018.59","95,911,016.24","183,766,080.51","435,361,361.98","92,507,684.38","255,514,808.01","404,669,326.96","705,733,331.02","218,718,668.22","485,904,345.76","793,680,927.54"
投资活动产生的现金流量净额,"-5,710,904.29","-26,301,201.22","-50,740,841.77","-4,775,477.46","-17,021,836.63","-35,799,644.62","-37,090,195.99","-221,006.37","-2,290,441.79","-21,859,660.70","-17,249,441.39","-45,419,929.21","-64,931,500.31","-70,276,963.31","-122,067,616.09","-8,606,874.45","-65,503,195.03","-72,663,528.71","-192,204,865.88","-1,284,078.73","-34,562,184.61","-154,450,759.79","-116,131,290.77","-255,004,838.21","-193,325,155.61","-273,628,369.61"
购买商品、接受劳务支付的现金,"38,482,432.63","71,724,663.52","99,463,145.85","9,733,306.07","34,670,373.41","59,084,002.66","86,912,794.08","35,261,544.04","85,727,601.51","110,582,627.26","154,961,205.88","18,032,127.91","50,924,149.50","57,582,534.52","131,313,908.15","17,467,161.05","34,494,865.18","72,956,468.49","134,357,847.86","70,437,467.45","127,970,075.28","201,304,543.53","304,359,108.02","162,275,790.47","294,411,353.22","442,356,492.86"
吸收投资收到的现金,,"24,125,000.00",,,"231,079,987.00","231,079,987.00","238,500,000.00",,,,,,,"30,018,944.80","30,018,944.80",,"17,932,441.80","214,782,419.29","214,782,419.29",,,,"25,000,000.00","10,000,000.00","14,000,000.00","14,000,000.00"
