科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"306,441,672.58","243,153,570.31","188,760,557.16","272,772,072.28","52,520,736.39","106,479,742.36","161,862,385.00","223,494,589.52","39,417,382.49","92,268,536.60","154,427,406.83","233,592,397.16","30,972,785.87","84,272,022.75","137,488,224.51","204,925,488.81","49,719,829.18","110,354,115.83","166,752,406.83","231,361,272.83","32,912,166.59","76,565,242.11","123,987,817.38","211,017,955.51","92,754,942.13","184,590,561.62","306,213,945.06","404,139,890.11","96,503,664.13","221,092,586.71","384,307,571.73","590,886,605.94","205,019,330.40","487,997,250.11","725,149,589.84"
二、营业利润,"36,489,667.16","35,891,620.03","30,412,198.31","39,768,256.97","2,823,128.56","8,195,498.11","13,843,560.60","16,177,577.56","2,073,953.73","8,860,070.32","15,214,005.89","17,305,604.25","515,267.31","2,356,213.75","7,007,427.80","6,729,390.28","1,611,042.05","5,879,758.78","6,413,702.02","1,726,609.09","7,316,849.54","14,298,618.92","22,704,016.25","19,860,159.51","5,333,119.96","9,869,213.72","20,169,697.22","25,390,026.15","14,308,567.15","21,796,713.84","37,463,155.34","48,297,258.92","17,545,125.87","26,191,740.65","42,413,741.89"
减:营业成本,"237,339,721.33","173,303,349.14","139,636,390.96","207,788,741.88","44,223,145.79","88,407,188.66","132,717,916.16","183,775,441.45","32,311,039.18","75,495,976.88","121,069,186.25","182,929,360.46","21,059,173.25","61,890,294.26","100,534,228.50","152,681,627.24","38,181,212.85","85,978,906.63","130,590,768.03","184,991,675.86","22,852,484.29","54,963,580.62","89,297,785.40","162,572,854.22","79,700,167.13","156,589,975.01","262,184,568.40","343,458,597.62","78,315,944.43","184,299,458.84","324,749,265.33","504,706,120.04","184,517,262.07","444,619,515.80","657,751,632.54"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"-644,151.95","467,526.75","292,344.40","347,671.85","75,402.92","144,674.50","181,171.39","257,963.90","196,449.48","479,274.40","828,142.12","1,409,703.95","460,702.07","968,439.22","1,414,352.95","1,728,665.11","338,360.70","683,627.02","1,036,866.03","1,645,751.18","390,105.59","771,338.25","1,140,068.02","1,514,376.77","425,212.83","835,380.82","1,286,337.47","1,929,751.93","682,403.60","934,384.26","1,099,867.61","3,350,503.36","751,965.59","1,502,745.25","2,356,498.33"
营业外收入,"3,872,310.61","7,058,616.30","1,744,631.48","3,139,297.22",11.00,"2,021,674.83","3,180,207.60","5,258,854.00","1,290,500.00","1,359,850.00","2,581,711.60","4,297,078.45","2,772,300.00","7,274,266.85","9,786,913.86","13,400,145.34","2,748,300.01","7,377,171.43","9,825,318.53","12,364,319.13","2,105,724.39","2,512,382.91","3,613,094.97","4,050,647.11","940,653.76","2,259,190.19","2,650,835.54","4,380,702.11","297,614.53","1,668,868.12","3,178,324.76","5,893,276.05","137,824.16","331,494.93","1,591,595.31"
销售费用,"17,486,118.78","17,819,754.46","7,372,434.93","9,264,128.42","2,527,829.65","4,823,809.35","7,811,478.51","11,798,182.31","3,123,605.93","6,033,960.35","9,818,010.31","14,096,502.23","3,985,901.42","6,679,279.72","10,098,544.85","13,577,272.68","3,042,169.35","5,205,884.75","7,880,371.27","14,165,811.38","2,624,141.38","4,802,180.48","7,196,732.90","11,015,420.61","3,416,473.99","7,059,794.05","10,978,851.95","15,635,521.17","3,519,873.49","8,330,983.81","13,259,707.47","19,717,109.04","4,083,271.03","7,886,503.08","12,834,344.19"
减:营业外支出,"29,263.55","255,085.67","5,198.90","5,198.89",,,"7,093.35","48,617.78",,923.07,923.07,"78,123.01",,"1,574.28","1,574.28","487,233.10",470.00,"1,862,145.43","2,334,693.30","2,482,684.13",,"1,959,759.60","2,490,135.86","1,054,326.85",,"125,568.30","130,028.99","189,855.33","10,358.99","3,765.43","3,765.43","18,148.34",,"11,068.23","397,239.32"
管理费用,"20,454,878.01","17,029,490.58","11,845,928.27","15,589,705.75","4,083,900.21","8,326,136.08","12,434,461.71","20,179,425.07","4,835,062.56","10,180,045.72","18,157,507.92","26,574,212.75","7,744,388.93","14,814,924.96","23,315,436.39","32,136,512.35","9,141,872.32","17,213,982.51","27,623,478.42","35,411,236.12","6,787,285.42","12,143,148.52","17,458,501.41","27,734,226.35","6,249,613.37","12,427,715.20","19,393,177.12","27,958,185.19","7,070,910.18","15,838,555.13","23,215,616.19","33,064,825.72","5,608,724.22","16,872,164.82","25,260,626.81"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"486,583.10",,"1,562,145.43",,"2,172,801.39",,"220,500.90",,"853,406.85",,"124,260.61",,"146,229.64",,"3,765.43",,"15,913.34",,"11,068.23","13,814.31"
