科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"147,176,509.00","333,113,494.00","249,837,517.00","505,638,077.00","1,964,852,124.00","1,578,100,038.00","1,392,466,764.00","1,097,392,987.00","781,578,427.00","1,019,513,805.00","1,308,153,432.00","1,131,849,457.00","1,525,375,814.00","1,205,694,625.00","1,330,953,189.00","1,476,905,717.00","1,396,430,243.00","2,328,127,034.00","1,362,516,008.00","1,501,967,076.00","1,952,545,022.00","1,411,103,182.00","1,693,391,974.00","2,942,213,672.00","2,336,582,141.00","1,980,867,610.00","1,382,163,002.00","1,690,691,477.00","1,727,538,709.00","1,585,634,639.00","2,177,423,963.00"
短期借款,"230,032,866.00","320,670,576.00","799,728,392.00","953,439,842.00","1,027,236,177.00","664,125,484.00","485,760,347.00","959,488,637.00","867,064,917.00","966,644,917.00","1,378,386,283.00","1,471,835,901.00","1,096,152,565.00","950,881,525.00","1,042,351,501.00","1,192,131,178.00","1,170,590,388.00","1,470,519,917.00","1,310,539,889.00","1,396,606,535.00","1,593,539,411.00","1,547,440,512.00","1,820,042,108.00","1,645,181,578.00","1,133,111,672.00","1,088,584,542.00","1,149,856,599.00","1,588,916,400.00","1,803,727,652.00","1,754,193,800.00","1,683,784,200.00"
交易性金融资产,"233,490.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"388,960.00","1,185,560.00","208,844,107.00","3,066,309.00","175,728,058.00","114,501,797.00","91,017,401.00","350,493,199.00","467,208,134.00","57,394,555.00","78,255,172.00","44,803,502.00","31,048,706.00","104,082,116.00","72,366,533.00","82,752,423.00","80,701,762.00","28,880,063.00","47,493,967.00","29,348,908.00","37,223,425.00","150,422,242.00","130,938,161.00","37,186,782.00","28,967,951.00","115,243,664.00","273,691,142.00","21,953,054.00","44,987,034.00","117,671,251.00","73,309,526.00"
应付票据,"37,000,000.00","58,000,000.00","30,000,000.00",,,,,,,,,"30,000,000.00","30,000,000.00",,"76,000,000.00","50,583,080.00","36,521,000.00","33,613,000.00","3,353,000.00","24,440,000.00","114,816,412.00","115,323,235.00","93,474,308.00","61,907,609.00","193,176,631.00","273,983,665.00","115,677,170.00","181,823,702.00",,"601,505,884.00",
应收账款,"290,155,922.00","424,923,295.00","631,962,999.00","688,295,691.00","747,249,476.00","867,827,756.00","1,023,525,702.00","1,013,092,834.00","1,082,098,284.00","1,076,600,940.00","1,220,903,439.00","1,290,740,647.00","1,452,520,890.00","1,101,590,460.00","1,636,881,424.00","1,728,687,492.00","1,964,357,038.00","1,769,563,034.00","2,032,918,274.00","2,029,645,867.00","2,483,798,377.00","2,726,167,775.00","2,467,222,566.00","2,080,492,700.00","2,282,747,171.00","2,025,317,374.00","2,313,653,329.00","2,129,994,595.00","2,122,677,792.00","1,748,708,181.00","1,670,789,329.00"
应付账款,"215,173,913.00","371,956,402.00","559,231,103.00","647,995,301.00","639,369,274.00","629,345,461.00","791,492,058.00","646,478,687.00","722,622,027.00","550,337,094.00","675,661,730.00","690,266,694.00","729,330,923.00","499,029,413.00","830,436,483.00","859,109,919.00","703,570,547.00","657,826,534.00","811,001,940.00","864,858,040.00","1,060,874,197.00","975,650,487.00","610,327,828.00","1,072,674,986.00","1,131,050,281.00","986,313,436.00","1,138,374,288.00","1,289,833,564.00",,"1,059,259,923.00",
预付款项,"43,139,568.00","56,508,883.00","152,603,668.00","139,654,189.00","183,480,593.00","121,018,452.00","175,546,185.00","163,798,544.00","151,947,892.00","167,247,675.00","207,701,586.00","241,707,262.00","176,990,044.00","277,542,310.00","286,648,095.00","367,028,402.00","290,362,715.00","201,541,495.00","228,017,239.00","209,391,611.00","339,782,280.00","270,996,562.00","277,957,184.00","274,406,795.00","322,788,943.00","236,734,103.00","260,596,512.00","268,017,383.00","336,678,088.00","262,391,532.00","281,725,443.00"
预收款项,"2,440,028.00","8,218,581.00","6,449,502.00","16,306,398.00","24,137,833.00","15,658,818.00","26,459,331.00","17,461,716.00","23,283,691.00","11,254,418.00","15,377,300.00","11,419,152.00","14,666,030.00","11,674,634.00","14,518,402.00","13,917,097.00","20,514,405.00","20,625,023.00","42,205,407.00","35,335,380.00","20,570,192.00","25,210,999.00","16,910,596.00","23,653,072.00","37,184,511.00","34,548,251.00","28,242,312.00","26,225,157.00","27,690,475.00","43,429,480.00","42,936,906.00"
其他应收款,"37,750,933.00","4,791,592.00","5,485,085.00","9,705,501.00","14,065,288.00","8,555,922.00","10,055,290.00","5,875,329.00","16,652,935.00","10,502,352.00","13,710,584.00","119,855,493.00","34,941,946.00","53,653,384.00","114,720,054.00","74,301,696.00","59,615,549.00","103,089,446.00","62,037,430.00","68,803,814.00","74,645,459.00","54,486,800.00","127,536,745.00","424,816,548.00","250,892,137.00","26,263,949.00","68,473,174.00","86,641,215.00","87,712,561.00","216,207,798.00","292,643,009.00"
应付职工薪酬,"22,994,195.00","34,525,694.00","36,354,295.00","27,631,544.00","30,188,135.00","38,624,433.00","36,056,208.00","45,043,937.00","57,147,326.00","63,085,507.00","42,951,507.00","55,802,554.00","65,858,406.00","86,312,683.00","59,654,485.00","68,910,339.00","73,373,051.00","82,893,798.00","50,982,612.00","60,827,191.00","71,729,059.00","98,016,996.00","45,811,008.00","83,213,415.00","96,759,949.00","93,425,480.00","53,885,520.00","65,080,016.00","75,825,584.00","97,873,523.00","59,918,759.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,633,645.00","23,077,903.00","17,440,852.00","24,005,972.00","42,666,074.00","24,787,716.00","39,005,575.00","50,486,551.00","90,184,874.00","80,036,557.00","74,408,919.00","92,666,445.00","89,782,433.00","92,399,908.00","110,652,629.00","109,122,198.00","176,982,536.00","142,828,291.00","119,524,134.00","53,023,825.00","168,832,924.00","131,584,892.00","130,269,569.00","93,965,518.00","132,137,485.00","72,370,786.00","65,517,158.00","109,831,596.00","156,658,798.00","141,299,273.00","115,751,346.00"
应收利息,,,,,,"3,495,981.00","352,603.00","350,847.00",,,,"230,137.00",,,,,,"50,187.00","22,259.00","20,920.00","56,401.00","446,544.00","449,166.00","452,386.00","458,471.00",,,,,,
应付利息,,"981,339.00","3,503,654.00","4,069,125.00","6,107,575.00","1,667,474.00","2,921,158.00","1,889,856.00","2,100,632.00","2,811,319.00","1,785,815.00","3,786,710.00","8,930,246.00","18,002,394.00","28,261,117.00","34,965,330.00","18,174,308.00","36,952,351.00","53,217,904.00","50,226,353.00","51,540,560.00","80,366,203.00","118,255,468.00","62,170,667.00","52,499,213.00","65,411,743.00","90,065,401.00","18,355,497.00",,"49,823,675.00",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,"57,210,000.00",,,,,,,,,,,,"29,504,055.00","4,044,474.00","1,011,118.00",,,,,,,,"4,041,853.00",,,,"413,006,106.00",,"5,522,181.00",
存货,"131,524,929.00","220,016,617.00","374,274,367.00","559,764,696.00","472,968,674.00","494,623,102.00","466,415,056.00","470,918,033.00","499,821,129.00","519,921,457.00","523,675,628.00","548,719,134.00","604,172,293.00","635,985,099.00","585,170,535.00","679,482,273.00","583,660,461.00","573,522,475.00","547,182,774.00","592,661,373.00","585,056,604.00","522,059,123.00","591,702,653.00","666,172,647.00","674,830,667.00","762,397,686.00","789,108,855.00","889,244,389.00","673,992,079.00","702,691,917.00","754,007,924.00"
其他应付款,"9,238,756.00","10,145,954.00","46,750,558.00","83,510,583.00","62,287,496.00","98,990,587.00","61,183,616.00","87,631,860.00","47,946,624.00","156,285,591.00","134,056,662.00","103,474,744.00","110,851,926.00","149,814,484.00","136,106,034.00","137,412,713.00","139,341,446.00","263,441,611.00","111,662,280.00","180,769,898.00","167,291,367.00","214,390,616.00","152,414,484.00","185,440,260.00","191,515,516.00","287,448,230.00","249,394,096.00","217,157,873.00","209,486,886.00","276,831,861.00","274,889,638.00"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"43,097,478.00","34,979,155.00","60,315,079.00","115,238,162.00","190,237,427.00","171,061,504.00","166,698,388.00","145,917,532.00","97,119,412.00","121,659,862.00","37,605,652.00","36,504,987.00","47,083,863.00","75,399,520.00","104,000,000.00","436,400,000.00","421,400,000.00","618,953,765.00","710,737,852.00","744,663,182.00","623,978,782.00","1,360,851,383.00","1,336,313,366.00","2,009,363,409.00","2,038,237,624.00","2,148,324,733.00","2,437,604,422.00","2,048,782,460.00","1,379,609,068.00","2,728,920,876.00","1,913,516,634.00"
其他流动资产,"3,615,438.00","5,745,915.00","15,358,893.00","64,932,174.00","52,453,872.00","63,057,705.00","21,861,820.00","66,332,797.00","73,882,752.00","85,157,932.00","108,643,101.00","100,813,380.00","100,116,874.00","131,694,133.00","122,534,308.00","124,809,710.00","138,429,104.00","167,100,059.00","134,601,597.00","157,570,793.00","171,735,849.00","413,553,737.00","308,297,226.00","294,411,017.00","290,833,421.00","409,309,125.00","335,019,799.00","374,594,301.00","265,105,527.00","317,619,875.00","302,017,580.00"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
