科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"26,915,268.94","21,563,255.52","58,711,203.40","38,974,583.32","455,236,494.98","415,740,477.04","498,284,756.45","436,659,665.39","356,578,760.91","321,505,895.12","437,296,164.50","331,239,359.71","293,425,046.05","311,839,418.99","472,447,423.24","338,167,370.53","277,970,696.04","274,352,873.80","647,133,597.43","469,613,976.08","346,029,565.08","245,101,991.93","618,623,692.60","393,062,268.52","790,907,563.01","755,157,966.39","975,242,027.68","824,449,818.00","536,698,722.41","547,904,690.95"
短期借款,"25,150,000.00","22,500,000.00","15,000,000.00","19,000,000.00","15,000,000.00",,"5,000,000.00",,"10,000,000.00","10,000,000.00","5,000,000.00","5,000,000.00","35,000,000.00","75,000,000.00","35,000,000.00","20,000,000.00",,"43,861,782.95","4,839,246.20",,,"51,531,602.00",,,,"2,400,000.00",,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,781,000.00","38,781,000.00","38,781,000.00","38,781,000.00"
应付票据,"2,301,620.00",,,,,,,,,,,,"5,400,000.00","11,295,642.05","18,452,953.37","2,898,200.00","16,119,926.20","21,902,489.10","30,677,660.00","25,700,100.00","21,196,195.00","23,489,244.00","47,304,689.80","23,361,297.20","7,987,838.08","10,720,113.93","16,748,528.32","12,385,005.24","11,399,367.90","13,724,804.83"
应收账款,"23,746,587.27","41,122,884.90","32,999,982.36","35,189,190.87","64,625,279.21","58,536,458.24","61,777,304.91","69,189,454.72","117,254,793.58","115,990,347.80","191,577,355.69","149,958,560.69","209,860,577.06","184,488,651.03","364,654,425.42","389,255,172.32","478,267,190.56","553,541,366.11","605,156,803.06","529,920,477.62","665,394,056.22","783,941,737.89","585,320,184.54","604,324,595.27","641,277,206.07","816,001,466.47","824,779,348.42","840,539,767.79","890,524,936.25","946,397,237.00"
应付账款,"16,346,091.66","12,443,743.14","13,821,448.70","10,305,476.87","16,691,361.78","22,897,804.28","21,383,271.13","15,867,165.33","24,403,899.96","33,945,038.27","86,086,486.95","86,264,057.38","90,239,502.09","74,200,138.47","95,687,268.01","61,401,279.52","61,562,891.58","133,191,135.68","260,339,897.57","144,974,922.09","111,482,221.30","116,375,054.47","147,151,873.95","148,907,089.99","142,211,499.53","96,781,735.02","161,470,653.16","140,376,521.45","149,679,542.78","140,349,283.75"
预付款项,"5,084,903.08","2,376,069.58","2,036,210.21","3,680,213.48","15,836,620.03","15,928,583.56","8,862,589.71","18,532,021.00","57,923,159.37","63,725,928.98","20,943,271.57","24,441,810.20","33,129,583.58","65,839,571.12","12,834,741.15","17,255,647.32","43,803,356.18","54,629,992.49","22,993,741.92","23,619,016.40","29,369,070.10","34,656,779.58","3,378,170.68","31,277,164.16","12,047,068.00","23,734,223.14","11,438,199.01","45,744,735.97","40,443,879.95","47,657,274.05"
预收款项,"2,911,029.91","2,734,127.18","2,427,817.35","2,198,170.29","2,308,006.09","1,189,278.41","2,107,947.20","2,661,158.57","3,242,195.29","3,424,623.08","3,401,248.52","5,674,291.96","7,967,001.82","10,426,651.97","4,661,634.37","5,647,770.11","13,888,330.36","9,675,895.26","1,460,840.52","1,781,475.51","493,977.31","600,103.49","1,156,954.19","1,941,880.04","2,313,101.02","6,803,839.67","8,940,015.30","11,174,155.51","13,876,641.93","29,163,339.39"
其他应收款,"11,430,971.70","5,194,733.34","5,797,140.24","7,359,001.15","9,474,724.96","8,906,011.73","5,262,189.38","13,285,376.75","13,067,238.19","10,182,461.29","4,487,551.85","13,382,230.95","11,919,831.09","10,943,577.44","5,145,250.84","14,392,018.96","12,371,087.81","14,204,809.01","6,681,170.44","22,150,375.40","19,708,299.81","24,456,798.84","10,782,808.03","26,636,737.58","18,626,133.14","23,280,747.97","9,683,736.12","25,047,950.55","24,711,027.02","51,901,230.13"
