科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"30,187,054.96","41,817,867.40","11,165,261.11","11,687,653.29","380,895,323.22","406,040,954.02","401,331,167.08","384,222,938.61","394,234,888.07","365,163,766.62","363,378,749.27","365,680,729.21","355,812,034.43","359,478,472.50","267,131,623.92","170,946,245.62","173,587,210.48","193,039,387.03","163,330,840.45","394,714,598.79","327,336,391.86","352,630,669.22","320,163,933.03","325,149,616.75","330,386,518.56"
短期借款,"32,397,558.00","37,960,430.00","39,300,000.00",,,,,,"3,380,606.23","3,791,028.00","7,101,738.91","15,250,025.00","7,001,482.18","4,041,324.15","6,977,347.02","19,809,188.58","6,871,539.85","5,521,298.87","2,589,431.36","1,000,000.00","1,190,000.00","28,999,820.00","28,999,832.00","29,000,000.00","34,000,025.06"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"541,560.00","16,266,798.30","88,583,254.58","45,617,435.62","56,995,781.29","81,191,989.31","60,185,101.52","70,874,270.26","77,266,634.48","136,588,180.96","130,841,166.61","65,794,771.14","107,064,901.26","135,226,071.63","132,775,378.58","112,816,993.77","108,999,407.90","122,137,502.40","137,478,751.16","125,619,525.49","130,366,460.51","186,164,499.45","203,704,544.24","134,453,212.35","152,338,556.85"
应付票据,"56,129,000.00","12,580,000.00","19,321,566.00","17,600,000.00","33,416,000.00","40,896,000.00","49,560,000.00","48,440,000.00","33,025,000.00","37,409,420.00","40,714,420.00","37,357,370.00","31,240,270.00","34,500,411.00","38,742,031.00","42,148,910.88","45,109,989.52","34,609,526.64","28,455,283.50","36,583,686.00","45,363,285.50","49,347,570.50","55,086,055.50","67,433,843.00","67,932,819.64"
应收账款,"59,702,918.29","67,562,772.41","66,750,959.18","101,602,242.43","107,032,001.92","95,205,043.04","124,578,452.65","128,133,619.39","104,130,964.08","98,967,793.31","119,226,999.33","136,955,467.56","132,899,146.09","126,026,191.37","152,044,472.74","195,759,191.79","184,850,287.97","195,166,563.04","225,088,685.53","215,729,579.30","231,435,773.63","229,227,706.67","273,918,306.61","297,712,108.45","305,078,229.95"
应付账款,"46,155,038.07","54,935,530.12","42,977,827.83","48,765,002.27","37,791,457.24","53,810,841.46","30,658,062.87","47,244,717.48","41,774,869.93","40,408,348.20","28,501,856.28","40,985,824.00","37,103,329.01","55,114,957.91","44,553,544.24","50,470,600.02","40,059,491.45","75,603,176.59","70,001,027.26","85,199,983.58","84,298,785.50","104,663,302.17","108,388,372.88","119,668,037.65","105,791,087.27"
预付款项,"930,954.71","21,171,922.69","3,020,873.39","12,519,923.14","5,575,921.51","2,081,038.47","384,483.44","541,281.08","371,402.19","711,832.24","934,349.25","559,694.81","232,701.83","381,105.65","680,234.44","3,820,052.37","1,828,557.71","924,270.39","736,358.01","2,821,789.03","5,158,709.99","2,777,241.61","4,895,875.97","18,525,052.54","9,890,316.23"
预收款项,"200,000.00","158,333.33","1,029.64",,"247,539.34","244,373.40",,"27,675.83",,,,"25,000.02",,,"26,496,135.77","9,456,484.47","7,053,979.83","14,502,699.92","13,856,038.75","9,380,416.65","15,669,366.64","7,939,000.00","5,192,200.00","22,127,000.00","805,000.00"
其他应收款,"48,151,170.79","19,950.00",,"66,317.53","4,150.53",,"52,731.38","53,472.91","45,803.06","47,500.00","99,843.33","123,500.00","166,696.01","42,500.00","585,260.39","560,429.61","1,051,735.27","872,075.91","1,046,266.58","944,766.17","1,573,377.63","1,600,144.14","1,951,072.30","2,118,912.49","2,787,411.68"
应付职工薪酬,"2,159,119.05","2,227,341.06","2,620,790.87","2,842,570.62","3,141,914.69","3,647,688.94","3,448,848.89","3,962,042.39","4,185,887.12","3,696,461.05","3,182,632.82","3,491,493.77","3,953,065.51","4,017,454.93","3,850,268.95","6,411,477.23","6,194,313.11","8,885,981.60","5,909,619.43","7,532,704.02","9,062,694.43","14,422,174.98","9,455,232.78","10,218,897.34","11,196,112.51"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"6,892,349.56","20,500,547.96","6,963,522.39","7,701,247.44","2,643,240.96","6,928,771.03","9,298,953.05","10,506,340.27","6,491,754.06","8,579,195.14","7,538,213.51","6,930,152.91","5,577,900.14","7,118,892.38","10,665,475.70","12,674,050.43","5,663,007.67","7,937,516.30","12,094,911.07","11,685,155.49","11,391,372.72","11,336,231.49","9,358,761.16","11,895,548.21","6,864,782.68"
