科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"192,968,993.01","250,990,924.04","540,369,104.12","324,192,636.92","575,933,167.50","136,776,335.66","268,039,284.26","382,598,320.33","522,167,688.37","102,396,543.29","212,416,226.60","332,670,553.26","480,428,370.82","144,613,949.64","383,214,327.77","649,507,156.66","926,104,554.95","272,148,557.61","456,503,206.75","660,776,001.46","851,026,142.28","112,538,240.24","238,019,017.43","402,566,760.83","649,020,466.86","229,895,507.00","308,294,825.74","580,041,788.03","1,232,719,826.88","245,335,638.17","414,391,336.54","492,511,322.36","654,604,780.28","128,656,817.45"
取得子公司及其他营业单位支付的现金净额,,"7,797,109.13","250,000.00",,"158,025,029.26",,,"100,781,790.92","100,781,790.92","1,318,600.00","19,822,524.46","19,822,524.46","42,050,439.83","988,950.00","32,465,936.10","89,425,860.32","216,148,906.71","-23,877,069.55","96,707,194.60","100,456,366.92","96,707,194.60",,,,,,,"4,103,262.13","3,037,206.13",,,"4,333,398.49",,
收到的税费返还,"1,775.37","149,499.88",,"8,276,927.11","8,276,927.11",,,,"6,580,176.00",,"239,029.25","288,253.39","2,114,567.75",,"651,953.36","859,265.82","978,136.87","3,951,955.90","7,857,179.49","8,156,806.07","4,643,236.74",,,,"753,802.29",,,,"1,239,027.19","264,028.81","1,720,675.41","1,720,675.41","2,052,139.46","94,397.89"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"140,778,046.42",,,,"3,000,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"1,027,693.93","8,183,440.44","32,023,640.92","5,437,438.90","21,066,595.97","2,626,434.59","13,479,795.03","48,739,434.66","68,577,010.56","34,101,153.27","47,935,995.12","79,599,632.16","113,115,375.53","56,771,341.13","68,951,300.62","85,666,507.32","270,667,985.85","157,882,844.19","638,154,219.18","344,422,160.96","269,014,632.72","83,295,079.40","41,679,880.01","54,752,079.91","114,763,476.50","59,984,550.85","322,995,084.22","1,008,651,456.40","65,208,146.72","115,322,572.00","16,496,139.76","59,894,684.83","43,710,813.44","196,647,481.75"
投资活动现金流出小计,"15,204,437.00","14,991,032.42","905,736,574.35","146,742,173.85","356,617,522.52","12,623,496.53","61,464,092.24","397,585,688.45","637,498,673.97","242,620,681.02","338,135,522.73","539,889,931.66","655,912,353.29","91,787,092.12","394,841,793.60","954,987,600.78","2,052,535,581.66","1,616,349,414.13","3,012,080,892.57","4,036,804,345.68","8,501,989,234.91","2,111,335,435.04","3,894,384,588.41","4,907,683,613.77","5,954,902,646.28","982,668,585.78","1,448,211,703.36","1,570,859,994.40","1,595,289,548.73","7,928,359.67","78,201,856.31","177,277,749.01","365,020,329.24","168,825,445.47"
经营活动现金流入小计,"193,998,462.31","259,323,864.36","572,392,745.04","337,907,002.93","605,276,690.58","139,402,770.25","281,519,079.29","431,337,754.99","597,324,874.93","136,497,696.56","260,591,250.97","412,558,438.81","595,658,314.10","201,385,290.77","452,817,581.75","736,032,929.80","1,197,750,677.67","433,983,357.70","1,102,514,605.42","1,013,354,968.49","1,124,684,011.74","195,833,319.64","279,698,897.44","457,318,840.74","764,537,745.65","289,880,057.85","631,289,909.96","1,588,693,244.43","1,299,167,000.79","360,922,238.98","432,608,151.71","554,126,682.60","700,367,733.18","325,398,697.09"
投资活动产生的现金流量净额,"-11,878,209.14","-10,714,719.89","-5,326,726.54","-146,742,173.85","-356,617,522.52","-12,623,496.53","-61,464,092.24","-175,210,724.50","-357,893,700.38","-162,901,862.76","-209,055,233.60","-250,740,845.24","-296,327,917.45","-47,427,609.42","-294,941,620.48","-436,628,547.71","-526,776,739.59","-129,498,096.84","-442,988,032.83","-154,369,827.89","-374,845,919.17","381,528,873.27","372,754,574.37","469,768,033.15","502,440,989.72","79,590,983.56","357,403,529.46","652,426,516.84","976,776,138.46","7,603,889.80","29,619,826.90","211,294,356.35","175,665,366.36","39,162,630.56"
购买商品、接受劳务支付的现金,"50,917,449.37","97,888,533.95","63,796,637.14","53,691,080.54","113,658,494.96","47,000,752.04","76,567,706.44","127,903,935.42","149,934,529.37","38,693,170.08","71,968,893.52","102,320,726.18","139,067,863.94","43,735,018.98","86,258,229.77","122,638,880.85","161,399,135.78","66,516,071.31","169,128,644.78","270,615,693.42","286,895,099.09","66,224,599.55","144,894,364.06","214,624,773.39","231,173,657.45","87,482,121.19","138,302,941.32","92,420,192.21","1,469,556,648.78","239,069,251.87","358,918,695.12","367,265,928.01","368,154,998.08","56,582,946.41"
吸收投资收到的现金,,,"400,000,000.00",,,"2,436,200,000.00","2,436,200,000.00","2,436,200,000.00","2,436,200,000.00",,,,,,,,"21,600,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00",,,,,,,"200,000.00",,,,,,
