科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"4,404,761,757.18","5,788,424,865.13","5,833,375,711.38","763,200,840.09","1,813,834,736.25","2,864,841,072.22","3,958,978,262.48","1,037,228,508.98","2,083,811,571.82","3,134,582,974.49","3,629,174,418.48","1,121,259,927.64","2,362,916,610.74","3,088,039,277.87","3,937,459,286.43","1,107,642,187.43","2,418,766,710.71","3,217,644,659.98","4,258,310,046.13","692,427,206.89"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,720,881.58","21,751,684.61","42,727,406.44","8,702,045.25","16,719,159.79","34,158,639.35","40,988,900.76","5,939,731.58","10,100,361.90","15,606,937.67","22,079,366.97","6,329,908.81","21,589,884.75","36,474,910.57","46,381,950.99","15,807,554.58","31,856,036.68","44,080,688.53","64,983,886.11","23,164,278.99"
支付其他与投资活动有关的现金,,,,,,,,,,,"1,140,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"11,103,353.97","8,629,819.65","12,262,379.76","458,482.77","1,580,326.53","2,341,844.73","9,031,664.74","421,889.80","1,496,154.80","5,282,527.58","5,114,732.25","3,399,439.81","6,474,586.46","5,261,507.52","13,754,858.28","1,438,294.50","2,747,637.80","1,497,833.38","11,959,757.45","950,606.99"
投资活动现金流出小计,"391,134,712.53","244,453,112.59","171,562,887.27","54,515,411.53","97,968,180.01","178,682,454.99","220,607,315.21","52,986,667.52","107,175,368.70","150,769,791.39","59,400,867.04","9,408,547.05","629,382,646.55","1,873,203,797.47","3,339,577,617.52","1,890,298,976.13","3,233,321,900.35","4,081,678,903.19","6,105,950,681.28","604,592,119.99"
经营活动现金流入小计,"4,419,585,992.73","5,818,806,369.39","5,888,365,497.58","772,361,368.11","1,832,134,222.57","2,901,341,556.30","4,008,998,827.98","1,043,590,130.36","2,095,408,088.52","3,155,472,439.74","3,656,368,517.70","1,130,989,276.26","2,390,981,081.95","3,129,775,695.96","3,997,596,095.70","1,124,888,036.51","2,453,370,385.19","3,263,223,181.89","4,335,253,689.69","716,542,092.87"
投资活动产生的现金流量净额,"-375,905,163.98","-244,343,212.59","-171,272,507.89","-54,515,411.53","-97,962,180.01","-178,676,454.99","-218,144,178.94","-52,969,577.52","-106,692,658.70","-149,730,459.20","-58,568,272.60","-9,309,240.16","-107,501,478.23","-230,253,699.58","-216,696,530.10","-213,119,038.50","-194,139,495.63","-201,936,783.79","-295,155,913.13","-37,474,879.68"
购买商品、接受劳务支付的现金,"4,192,695,310.13","5,126,219,890.12","5,194,691,810.79","551,797,061.84","1,473,362,269.92","2,404,689,225.64","3,231,055,130.34","815,397,879.49","1,704,065,992.55","2,628,569,355.15","3,159,496,744.66","1,048,067,363.46","2,078,259,051.26","2,774,068,068.11","3,475,273,401.96","863,756,352.78","1,967,664,160.51","2,673,585,941.62","3,461,133,670.78","500,350,305.01"
吸收投资收到的现金,,,,,"306,926,800.00","306,926,800.00","318,226,800.00","9,800,000.00","9,800,000.00","9,800,000.00","9,800,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"69,419,033.80","95,339,081.97","106,786,443.30","30,684,757.58","56,912,043.97","81,200,721.46","105,950,816.27","34,372,882.79","59,108,193.86","89,693,613.26","122,294,387.68","43,637,515.95","73,783,854.63","106,465,770.58","140,783,542.13","46,713,274.92","78,376,226.26","120,490,560.30","160,845,004.31","59,496,451.83"
取得借款收到的现金,"1,436,226,929.02","1,285,200,000.00","968,257,275.00","403,716,875.00","603,716,875.00","878,716,875.00","1,073,716,875.00","30,000,000.00","30,000,000.00","190,000,000.00","254,940,000.00","90,000,000.00","240,000,000.00","509,614,491.39","564,114,491.39","300,000,000.00","539,890,000.00","689,890,000.00","798,890,000.00","251,185,050.00"
支付的各项税费,"56,166,337.53","127,531,052.77","142,102,198.94","19,296,603.17","63,498,340.20","79,675,594.43","103,162,389.66","32,255,613.21","74,913,926.57","110,623,738.71","140,463,181.10","28,041,341.32","80,283,009.10","122,923,324.31","170,452,787.02","39,741,835.35","77,858,984.59","127,266,854.34","173,172,772.43","55,644,175.39"
收到其他与筹资活动有关的现金,"31,385,700.00","4,378,496.01","1,703,000.00","10,000,000.00","10,000,000.00","35,677,120.00","35,677,120.00",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"28,693,379.37","31,195,437.74","27,146,084.05","9,590,024.99","12,680,480.40","20,058,586.16","106,339,002.09","16,827,449.97","36,355,120.86","55,276,709.58","86,123,405.23","19,625,527.56","50,298,757.42","82,126,731.79","129,979,399.54","40,931,848.01","77,758,774.60","87,198,671.00","118,524,429.49","36,835,768.76"
筹资活动现金流入小计,"1,467,612,629.02","1,289,578,496.01","969,960,275.00","413,716,875.00","920,643,675.00","1,221,320,795.00","1,427,620,795.00","39,800,000.00","39,800,000.00","199,800,000.00","264,740,000.00","90,000,000.00","240,000,000.00","509,614,491.39","564,114,491.39","300,000,000.00","539,890,000.00","689,890,000.00","798,890,000.00","251,185,050.00"
经营活动现金流出小计,"4,346,974,060.83","5,380,285,462.60","5,470,726,537.08","611,368,447.58","1,606,453,134.49","2,585,624,127.69","3,546,507,338.36","898,853,825.46","1,874,443,233.84","2,884,163,416.70","3,508,377,718.67","1,139,371,748.29","2,282,624,672.41","3,085,583,894.79","3,916,489,130.65","991,143,311.06","2,201,658,145.96","3,008,542,027.26","3,913,675,877.01","652,326,700.99"
偿还债务支付的现金,"1,158,203,592.86","1,423,682,100.00","1,142,468,200.00","423,437,700.00","677,108,650.00","1,237,467,150.00","1,541,461,200.00","85,000,000.00","150,000,000.00","300,240,000.00","365,360,000.00","19,940,000.00","19,940,000.00","160,000,000.00","235,000,000.00","114,500,000.00","364,500,000.00","524,054,491.39","745,553,809.22","185,398,232.17"
经营活动产生的现金流量净额,"72,611,931.90","438,520,906.79","417,638,960.50","160,992,920.53","225,681,088.08","315,717,428.61","462,491,489.62","144,736,304.90","220,964,854.68","271,309,023.04","147,990,799.03","-8,382,472.03","108,356,409.54","44,191,801.17","81,106,965.05","133,744,725.45","251,712,239.23","254,681,154.63","421,577,812.68","64,215,391.88"
分配股利、利润或偿还利息支付的现金,"76,416,298.50","77,186,619.43","64,977,717.51","13,196,782.93","24,418,680.27","32,720,566.86","41,260,592.09","4,361,398.68","7,684,856.75","35,280,856.34","37,475,277.52","2,689,921.41","128,337,379.77","133,320,397.26","141,832,872.38","8,409,460.39","140,355,907.47","154,646,901.53","160,992,249.48","11,236,764.98"
收回投资收到的现金,"12,127,726.05",,,,,,,,,,,,"521,008,198.60","1,641,000,703.73","3,118,239,626.96","1,674,245,322.40","3,028,255,034.45","3,877,695,602.74","5,802,452,723.17","554,838,667.02"
支付其他与筹资活动有关的现金,"4,378,496.01","1,703,000.00","10,000,000.00","25,797,240.00","37,083,381.86","37,229,564.46","37,083,381.86",,,,,,,,,,"2,000,000.00","70,000,000.00",,
取得投资收益收到的现金,,,,,,,,,,,,,"692,607.43","1,626,575.88","3,385,465.25","2,723,467.02","10,331,289.09","921,794.82","6,701,294.42","12,216,025.61"
筹资活动现金流出小计,"1,238,998,387.37","1,502,571,719.43","1,217,445,917.51","462,431,722.93","738,610,712.13","1,307,417,281.32","1,619,805,173.95","89,361,398.68","157,684,856.75","335,520,856.34","402,835,277.52","22,629,921.41","148,277,379.77","293,320,397.26","376,832,872.38","122,909,460.39","506,855,907.47","748,701,392.92","906,546,058.70","196,634,997.15"
