科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"255,735,900.47","294,642,605.94","355,414,323.52","173,316,391.69","336,839,814.87","413,333,181.69","67,387,511.72","199,999,918.93","380,021,550.61","470,326,470.64","83,091,936.78","239,950,257.19","418,036,413.47","518,752,330.70","105,006,738.14","291,513,499.55","455,605,909.40","638,715,511.60","151,661,343.04","376,452,324.25","605,816,349.48","833,882,864.06","132,109,428.71","242,762,826.62","403,349,806.76","566,909,774.58","110,760,552.97","206,608,402.55","341,205,342.74","501,699,305.99","125,115,488.02","246,054,156.85","461,296,446.56"
二、营业利润,"4,736,734.57","27,266,853.18","42,472,099.57","25,373,381.37","49,943,303.31","58,457,563.73","7,686,100.77","31,524,376.71","61,025,686.89","70,355,693.51","10,467,848.39","35,742,986.59","68,126,095.99","80,520,258.89","14,858,165.17","43,066,719.08","70,172,686.65","94,657,122.64","18,599,257.95","47,571,495.68","73,553,317.08","107,940,648.16","11,497,676.24","7,309,424.66","5,019,192.09","16,472,107.01","8,685,767.68","7,644,611.06","7,060,527.92","13,843,017.15","11,049,392.04","10,206,029.91","8,734,264.32"
减:营业成本,"227,721,434.18","244,875,240.14","286,709,312.04","133,624,946.66","259,372,488.71","320,309,620.53","51,584,517.70","156,192,345.09","298,439,828.60","371,375,707.53","62,185,184.35","186,167,340.23","320,934,842.34","399,583,781.30","74,422,938.16","222,168,731.13","343,398,498.20","456,929,214.85","97,877,337.21","261,574,223.33","422,512,400.99","574,199,111.80","86,173,983.73","169,551,013.82","299,154,238.86","407,495,706.44","60,102,034.01","133,117,979.89","230,503,497.81","356,594,248.05","77,164,358.56","164,982,049.02","347,888,991.49"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,210,715.97","1,540,992.13","1,762,931.30","567,309.56","1,117,537.83","1,932,856.48",,112.18,"1,631,754.42","3,107,176.68","381,563.84","1,313,402.32","2,510,867.73","3,436,791.07","270,483.70","281,476.26","2,119,319.20","8,116,599.80","4,574,848.06","11,770,710.78","16,970,257.95","25,617,266.76","1,961,492.29","4,333,949.50","4,648,400.37","9,296,799.31","2,910,902.12","2,654,368.68","3,264,822.19","5,552,774.73","1,946,504.92","3,732,307.34","4,814,586.04"
营业外收入,"1,485,880.00","2,104,033.44","1,321,012.84","1,763,373.29","2,622,021.84","3,933,828.39","1,016,037.03","886,639.83","1,115,342.63","3,151,115.57","221,011.55","1,230,234.10","1,562,087.57","4,358,306.56","1,566,306.15","2,930,835.59","3,822,051.61","5,219,572.63","2,316,444.40","7,221,799.05","7,777,522.33","9,343,619.60","330,792.33","4,529,700.45","4,957,911.66","6,844,264.45","552,942.67","2,467,182.99","3,095,901.70","2,903,061.09","499,996.84","5,013,533.64","11,913,010.03"
销售费用,"2,953,011.26","4,377,682.29","5,354,899.06","3,826,523.45","6,126,023.93","9,452,225.92","3,015,871.15","5,747,037.37","8,354,018.89","13,411,535.89","6,496,630.70","9,350,815.38","13,327,540.85","15,229,020.02","7,837,520.33","11,291,800.49","16,600,457.31","39,754,040.82","16,545,654.30","22,637,599.02","34,163,651.87","48,873,390.37","11,749,051.69","22,414,227.35","31,890,038.51","50,440,558.81","13,453,976.49","23,342,231.48","35,915,387.52","50,437,721.27","14,857,645.75","25,665,820.46","34,816,757.61"
减:营业外支出,"47,345.34","784,121.61","27,939.05",,"10,790.36","327,268.09","633,486.55","633,486.55","687,912.89","762,438.15",935.21,"440,935.21","644,308.07","644,308.07","100,000.00","350,000.00","352,363.74","422,019.44",,,,"252,505.74",,"175,055.66","198,039.77","224,968.35","6,265.74","155,332.00","156,821.39","522,263.96","191,316.84","618,385.22","626,806.35"
管理费用,"8,403,538.02","9,645,606.19","13,571,169.99","6,943,313.49","12,911,674.62","18,714,043.50","3,827,732.06","7,995,196.59","13,473,990.66","22,191,046.33","6,438,997.16","11,838,486.52","20,045,203.70","29,876,096.90","8,718,906.49","14,821,629.85","23,832,224.20","37,472,948.45","11,848,220.98","26,062,216.69","41,072,301.61","53,142,000.97","11,577,181.60","24,885,039.16","47,892,765.22","70,924,816.14","16,920,416.65","28,811,551.39","43,559,585.36","59,186,968.45","13,820,419.87","27,181,321.40","41,698,166.36"
其中:非流动资产处置净损失,"26,097.04","133,949.64","26,457.05",,,"322,268.09",,"583,486.55","637,912.89","712,438.15",935.21,935.21,"204,308.07","204,308.07",,,"2,363.74","4,556.05",,,,,,"164,418.80","164,418.80","191,347.38","6,265.74","135,332.00","136,229.39","499,987.73","191,310.67","591,447.42","594,857.47"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"10,367,142.05","7,442,505.17","8,972,916.02","3,299,840.62","5,456,084.05","4,678,642.02","690,905.58","-2,624,696.52","-5,001,873.77","-9,764,233.16","-3,141,509.91","-6,574,293.91","-9,168,981.26","-10,871,007.39","-831,255.54","-1,943,047.68","-2,492,675.82","-1,025,257.97","887,462.87","3,368,392.58","9,570,325.51","18,602,697.82","8,457,981.10","15,212,388.04","13,758,414.71","11,231,868.68","8,911,904.66","10,881,338.84","19,595,580.01","16,013,985.35","6,192,404.32","13,017,825.38","18,672,935.54"
三、利润总额,"6,175,269.23","28,586,765.01","43,765,173.36","27,136,754.66","52,554,534.79","62,064,124.03","8,068,651.25","31,777,529.99","61,453,116.63","72,744,370.93","10,687,924.73","36,532,285.48","69,043,875.49","84,234,257.38","16,324,471.32","45,647,554.67","73,642,374.52","99,454,675.83","20,915,702.35","54,793,294.73","81,330,839.41","117,031,762.02","11,828,468.57","11,664,069.45","9,779,063.98","23,091,403.11","9,232,444.61","9,956,462.05","9,999,608.23","16,223,814.28","11,358,072.04","14,601,178.33","20,020,468.00"
