科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"166,958,166.11","161,840,841.61","157,724,383.69","29,726,100.94","62,063,025.95","105,087,499.32","160,705,263.79","35,363,593.17","73,195,357.56","157,993,562.53","226,316,096.50","62,295,345.67","131,450,142.76","209,553,666.93","353,226,017.58","85,117,202.83"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"266,345,282.10","246,345,282.10",,,,"109,217,349.99",
收到的税费返还,"12,463,576.60","10,843,121.01","11,460,647.80","2,350,213.64","4,912,137.82","6,939,220.81","9,605,149.37","3,689,747.47","6,710,826.29","9,074,759.27","16,258,380.89","3,896,003.93","6,598,322.35","9,729,816.87","16,493,319.79","6,900,486.97"
支付其他与投资活动有关的现金,,,"1,465,728.00",,,,,,"902,601.00","929,656.66","902,601.00","413,740.00","413,740.00","752,487.84","752,487.84","2,901,771.61"
收到其他与经营活动有关的现金,"6,253,622.00","7,841,659.08","3,077,601.44","599,769.56","2,448,826.68","2,706,246.80","4,844,441.63","418,780.74","4,880,945.08","35,554,915.04","42,632,925.77","2,056,668.60","3,962,293.27","8,364,709.22","16,545,425.54","4,743,766.06"
投资活动现金流出小计,"24,694,348.11","9,225,404.59","22,562,571.54","1,063,930.00","2,607,449.18","9,679,501.07","15,349,286.65","59,564,449.90","63,492,692.40","330,256,955.36","363,188,801.27","31,593,532.72","60,974,316.72","187,967,019.49","184,247,079.06","11,604,032.73"
经营活动现金流入小计,"185,675,364.71","180,525,621.70","172,262,632.93","32,676,084.14","69,423,990.45","114,732,966.93","175,154,854.79","39,472,121.38","84,787,128.93","202,623,236.84","285,207,403.16","68,248,018.20","142,010,758.38","227,648,193.02","386,264,762.91","96,761,455.86"
投资活动产生的现金流量净额,"-24,694,348.11","-9,225,404.59","-9,762,571.54","-1,063,930.00","-2,607,449.18","-9,679,501.07","-11,669,286.65","-59,564,449.90","-62,847,692.40","-329,611,955.36","-362,416,707.17","-31,593,532.72","-60,974,316.72","-187,967,019.49","-184,066,479.06","-11,565,942.73"
购买商品、接受劳务支付的现金,"92,248,882.76","53,109,414.80","58,675,016.68","17,240,604.28","31,090,275.65","56,216,001.45","74,983,735.80","37,642,856.95","65,852,973.30","117,354,194.70","145,100,477.98","44,572,082.87","84,806,846.34","123,573,231.33","174,355,953.87","60,329,316.13"
吸收投资收到的现金,,,,,"185,800,000.00","185,800,000.00","185,800,000.00",,,"292,299,993.99","292,299,993.99",,,"127,100,440.86","127,100,440.86",
支付给职工以及为职工支付的现金,"42,304,363.54","42,744,437.07","46,269,692.49","16,784,297.60","27,361,903.43","37,930,920.60","48,996,987.47","17,587,132.00","28,006,402.83","44,434,342.24","64,196,794.82","27,792,463.17","46,819,175.40","67,258,728.64","91,750,227.62","31,346,735.66"
取得借款收到的现金,"35,500,000.00","22,000,000.00","41,250,000.00","2,000,000.00","11,000,000.00","11,000,000.00","11,000,000.00","3,000,000.00","14,000,000.00","28,000,000.00","37,000,000.00","28,000,000.00","81,900,000.00","119,900,000.00","170,900,000.00","20,760,000.00"
支付的各项税费,"27,935,209.01","25,929,595.72","31,230,410.62","9,811,344.58","15,341,525.99","20,768,657.60","25,283,985.82","9,116,676.17","13,158,436.08","19,395,509.90","29,337,443.08","10,248,363.09","19,770,436.85","27,733,161.10","43,505,114.34","16,789,299.09"
收到其他与筹资活动有关的现金,,,,,,,,"6,208,500.00","13,358,500.00","6,617,700.00","3,931,280.00","2,842,950.00","6,867,220.00","7,254,019.51","6,739,320.00","3,380,000.00"
支付其他与经营活动有关的现金,"30,551,834.94","29,161,392.85","28,735,520.41","7,651,031.91","19,663,820.05","28,437,522.48","31,266,873.28","8,361,403.99","17,915,906.25","57,718,858.39","74,652,334.48","15,316,681.19","26,799,240.15","43,577,208.54","61,238,762.89","17,120,380.95"
筹资活动现金流入小计,"35,500,000.00","22,000,000.00","41,250,000.00","2,000,000.00","196,800,000.00","196,800,000.00","196,800,000.00","9,208,500.00","27,358,500.00","326,917,693.99","333,231,273.99","30,842,950.00","88,767,220.00","254,254,460.37","304,739,760.86","24,140,000.00"
经营活动现金流出小计,"193,040,290.25","150,944,840.44","164,910,640.20","51,487,278.37","93,457,525.12","143,353,102.13","180,531,582.37","72,708,069.11","124,933,718.46","238,902,905.23","313,287,050.36","97,929,590.32","178,195,698.74","262,142,329.61","370,850,058.72","125,585,731.83"
偿还债务支付的现金,"22,000,000.00","20,500,000.00","24,000,000.00",,"5,000,000.00","41,250,000.00","43,250,000.00","5,000,000.00","7,000,000.00","14,743,940.00","14,509,850.00","8,466,137.00","30,388,528.00","44,989,046.00","80,995,456.00","24,169,684.00"
经营活动产生的现金流量净额,"-7,364,925.54","29,580,781.26","7,351,992.73","-18,811,194.23","-24,033,534.67","-28,620,135.20","-5,376,727.58","-33,235,947.73","-40,146,589.53","-36,279,668.39","-28,079,647.20","-29,681,572.12","-36,184,940.36","-34,494,136.59","15,414,704.19","-28,824,275.97"
分配股利、利润或偿还利息支付的现金,"827,625.04","8,177,988.95","9,227,305.63","544,807.43","1,173,415.76","1,504,926.85","1,609,051.04","76,131.09","8,185,820.13","8,786,243.14","9,480,459.27","660,974.96","1,977,762.11","12,000,873.74","14,285,818.98","1,152,336.24"
收回投资收到的现金,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"3,050,000.00","2,051,995.00","4,150,000.00","2,500,000.00","3,893,500.00","10,927,000.00","17,827,000.00",,"966,000.00","5,016,948.67","8,218,289.40","57,734.17",,"19,000.00","5,591,705.50","2,456,350.48"
取得投资收益收到的现金,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"25,877,625.04","30,729,983.95","37,377,305.63","3,044,807.43","10,066,915.76","53,681,926.85","62,686,051.04","5,076,131.09","16,151,820.13","28,547,131.81","32,208,598.67","9,184,846.13","32,366,290.11","57,008,919.74","100,872,980.48","27,778,370.72"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"12,800,000.00",,,,,,,,14.10,,,,,"38,090.00"
筹资活动产生的现金流量净额,"9,622,374.96","-8,729,983.95","3,872,694.37","-1,044,807.43","186,733,084.24","143,118,073.15","134,113,948.96","4,132,368.91","11,206,679.87","298,370,562.18","301,022,675.32","21,658,103.87","56,400,929.89","197,245,540.63","203,866,780.38","-3,638,370.72"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-3,935.17","-449,623.50","69,944.21","7,241.72","26,252.63","-171,166.49","116,939.05","-10,113.49","42,951.13","57,315.98","57,315.98",,,"44,587.50","23,362.50","-376,696.39"
收到其他与投资活动有关的现金,,,,,,,"3,680,000.00",,"645,000.00","645,000.00","772,080.00",,,,"180,600.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"12,800,000.00",,,,"3,680,000.00",,"645,000.00","645,000.00","772,094.10",,,,"180,600.00","38,090.00"
五、现金及现金等价物净增加额,"-22,440,833.86","11,175,769.22","1,532,059.77","-20,912,689.94","160,118,353.02","104,647,270.39","117,184,873.78","-88,678,142.21","-91,744,650.93","-67,463,745.59","-89,416,363.07","-39,617,000.97","-40,758,327.19","-25,171,027.95","35,238,368.01","-44,405,285.81"
购建固定资产、无形资产和其他长期资产支付的现金,"24,694,348.11","9,225,404.59","21,096,843.54","1,063,930.00","2,607,449.18","9,679,501.07","15,349,286.65","59,564,449.90","62,590,091.40","62,982,016.60","63,440,918.17","2,579,792.72","2,973,027.49","3,877,082.42","9,289,692.00","2,202,261.12"
期初现金及现金等价物余额,"36,351,713.35","13,910,879.49","25,086,648.71","26,618,708.48","26,618,708.48","26,618,708.48","26,618,708.48","143,803,582.26","143,803,582.26","143,803,582.26","143,803,582.26","54,387,219.19","54,387,219.19","54,387,219.19","54,387,219.19","89,625,587.20"
投资支付的现金,,,,,,,,,,,"52,500,000.00","28,600,000.00","57,587,549.23","183,337,449.23","64,987,549.23","6,500,000.00"
期末现金及现金等价物余额,"13,910,879.49","25,086,648.71","26,618,708.48","5,706,018.54","186,737,061.50","131,265,978.87","143,803,582.26","55,125,440.05","52,058,931.33","76,339,836.67","54,387,219.19","14,770,218.22","13,628,892.00","29,216,191.24","89,625,587.20","45,220,301.39"
