科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
处置交易性金融资产净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"746,270,777.00","97,045,000.00","636,772,000.00","372,198,000.00","48,682,000.00","98,633,000.00","477,701,000.00","838,003,000.00","84,932,000.00","252,431,000.00","685,877,000.00","985,252,000.00","104,051,000.00","272,408,000.00","589,407,000.00","837,901,000.00","30,673,000.00","95,378,000.00","350,971,000.00","849,801,000.00","45,447,000.00","195,653,000.00","328,143,000.00","1,422,012,000.00","49,000,000.00","231,000,000.00","448,000,000.00","1,750,000,000.00","1,231,000,000.00","1,447,000,000.00","2,155,000,000.00","3,835,000,000.00","1,251,000,000.00","1,692,000,000.00","2,444,000,000.00","3,534,000,000.00","236,000,000.00","600,000,000.00","906,000,000.00","2,772,000,000.00","125,000,000.00","413,000,000.00","857,000,000.00","2,817,000,000.00","27,000,000.00"
回购业务资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,884,042,112.18",,"2,610,188,202.99",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"2,297,297,000.00","2,574,977,000.00","2,590,980,000.00",,,,,,,,,,,,,,,,,,,,,
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"30,429,154,703.00","59,737,058,000.00","82,842,244,000.00","123,912,073,000.00","11,810,154,000.00","62,516,772,000.00","131,665,876,000.00","134,529,354,000.00","24,288,584,000.00","37,062,018,000.00","106,367,162,000.00","157,401,799,000.00","60,123,682,000.00","92,375,789,000.00","114,052,206,000.00","128,079,040,000.00","33,000,548,000.00","67,713,259,000.00","139,567,982,000.00","227,125,402,000.00","48,416,722,000.00","125,208,011,000.00","187,033,176,000.00","305,005,429,000.00","213,257,000,000.00","317,033,000,000.00","395,596,000,000.00","548,097,000,000.00","110,586,000,000.00","248,522,000,000.00","405,376,000,000.00","470,809,000,000.00","151,798,000,000.00","318,570,000,000.00","633,310,000,000.00","855,734,000,000.00","511,509,000,000.00","1,132,005,000,000.00","1,745,116,000,000.00","1,895,881,000,000.00","336,841,000,000.00","420,574,000,000.00","446,555,000,000.00","695,729,000,000.00","117,325,000,000.00"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-3,672,515,066.00","-2,573,190,000.00","-9,479,182,000.00","-11,731,777,000.00","-6,067,524,000.00","-14,208,881,000.00","-30,143,563,000.00","-28,214,323,000.00","-2,513,866,000.00","1,702,767,000.00","5,918,074,000.00","-15,641,214,000.00","-6,750,866,000.00","-1,838,394,000.00","-7,465,384,000.00","-14,660,536,000.00","-7,782,031,000.00","-21,668,935,000.00","-34,271,334,000.00","8,837,272,000.00","-13,353,484,000.00","-24,141,411,000.00","-39,165,268,000.00","-80,037,008,000.00","-40,387,000,000.00","-63,946,000,000.00","-95,715,000,000.00","-87,011,000,000.00","8,058,000,000.00","-15,214,000,000.00","-28,655,000,000.00","-54,483,000,000.00","-22,770,000,000.00","-49,913,000,000.00","-34,761,000,000.00","-96,226,000,000.00","-94,781,000,000.00","-123,901,000,000.00","-97,162,000,000.00","-102,343,000,000.00","-47,209,000,000.00","-58,555,000,000.00","-18,467,000,000.00","-36,131,000,000.00","3,222,000,000.00"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,,,"3,136,366,000.00",,"1,274,260,000.00","1,805,456,000.00","2,602,335,000.00",,,,,,"6,931,130,000.00","6,907,269,000.00","6,931,130,000.00",,,"2,690,052,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,,,,,"6,480,500,000.00","6,480,500,000.00","6,480,500,000.00","8,000,000,000.00",,"1,500,000,000.00","1,500,000,000.00","1,500,000,000.00",,,,,,"3,650,000,000.00","3,650,000,000.00","3,650,000,000.00",,,,,,,,,"9,000,000,000.00","16,483,000,000.00","41,743,000,000.00","52,005,000,000.00","55,717,000,000.00","123,479,000,000.00","258,096,000,000.00","370,796,000,000.00","167,420,000,000.00","420,453,000,000.00","609,764,000,000.00","712,790,000,000.00","305,833,000,000.00","531,500,000,000.00","721,719,000,000.00","901,644,000,000.00","199,253,000,000.00"
收到其他与经营活动有关的现金,"5,090,892,968.00","6,632,956,000.00","9,863,038,000.00","16,942,981,000.00","1,160,626,000.00","2,079,127,000.00","9,371,762,000.00","24,524,759,000.00","3,502,912,000.00","4,062,076,000.00","7,143,139,000.00","4,651,731,000.00","2,488,607,000.00","5,096,094,000.00","3,662,326,000.00","11,041,349,000.00","4,251,351,000.00","8,964,749,000.00","80,893,571,000.00","132,714,962,000.00","18,357,252,000.00","49,043,982,000.00","74,211,967,000.00","121,697,510,000.00","40,753,000,000.00","83,293,000,000.00","41,672,000,000.00","40,067,000,000.00","1,669,000,000.00","22,716,000,000.00","44,081,000,000.00","80,689,000,000.00","57,390,000,000.00","70,497,000,000.00","84,885,000,000.00","105,660,000,000.00","18,323,000,000.00","21,787,000,000.00","36,666,000,000.00","90,030,000,000.00","15,892,000,000.00","47,426,000,000.00","25,456,000,000.00","30,439,000,000.00","20,940,000,000.00"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
