科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"29,859,098.32","84,218,563.86","109,372,961.09","76,701,036.35","557,887,734.08","588,776,485.10","546,462,722.45","570,056,684.22","450,099,487.53","174,263,276.98","215,431,943.61","223,984,087.41","343,201,798.05","404,215,381.77","354,491,014.90","365,654,503.27","294,255,397.50","334,670,742.44","317,026,916.22","359,525,765.26","200,120,008.51","195,365,415.22","154,640,865.37","182,867,816.62","735,681,961.47","923,013,447.30","805,207,370.90","603,872,501.72","500,131,805.20","416,162,450.99","419,641,661.21"
短期借款,"107,800,000.00","154,367,688.12","193,861,063.00","209,303,869.34","213,660,283.70","230,159,665.41","198,500,000.00","290,500,000.00","300,500,000.00","251,000,000.00","266,500,000.00","364,000,000.00","498,000,000.00","495,500,000.00","432,500,000.00","468,500,000.00","523,500,000.00","554,937,030.09","533,683,247.92","594,159,050.31","473,193,779.32","566,353,570.00","517,500,000.00","570,500,000.00","690,936,887.91","659,821,920.59","626,541,802.52","618,599,126.00","695,985,483.07","762,295,068.75","807,480,571.86"
交易性金融资产,,,,,,,,,"25,000,000.00",,,,,,,,,,,,,,,,,,,,,"137,708,793.60","137,708,793.60"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,"1,056,000.00",,"1,165,270.00",,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,"40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00",,,,,
应收账款,"95,480,233.69","123,499,749.01","143,374,229.22","136,206,072.29","194,191,667.56","186,244,837.49","109,120,008.52","175,032,060.63","228,813,682.85","195,856,954.37","108,274,538.83","186,724,555.38","280,036,622.43","293,695,247.20","214,297,149.50","240,354,627.99","355,599,084.28","350,806,474.67","270,608,325.37","304,686,183.99","372,383,074.19","360,793,877.83","295,545,485.64","312,798,896.05","415,451,511.94","410,379,101.05","365,378,265.20","390,937,023.83","558,559,634.39","588,550,681.68","508,723,127.85"
应付账款,"22,399,346.95","41,487,656.11","85,293,432.96","69,821,165.29","81,301,561.56","80,409,049.95","45,170,733.84","101,004,991.25","88,697,376.05","90,527,003.64","46,829,005.04","152,233,386.04","189,509,133.62","147,441,262.17","89,367,269.57","119,588,824.37","160,719,582.83","173,180,156.72","85,428,639.63","145,524,452.64","212,023,651.84","135,222,516.59","79,413,497.20","83,134,933.35","149,032,375.41","151,377,977.48","100,361,154.45","147,112,299.59",,"181,675,621.18",
预付款项,"17,615,761.32","14,678,681.74","36,966,989.98","48,335,320.40","44,615,345.62","49,400,135.37","81,730,288.33","99,020,353.85","102,471,126.28","72,011,553.14","92,618,367.51","118,741,708.03","151,285,373.91","59,922,600.22","77,728,307.17","87,067,420.83","112,290,527.93","16,491,341.38","30,797,586.37","37,370,600.77","46,930,024.97","26,167,539.07","79,549,351.18","85,860,795.10","113,682,337.02","59,000,164.61","115,536,458.02","148,385,060.71","145,522,583.55","107,870,724.25","187,615,084.30"
预收款项,"3,479,885.12","3,653,968.88","7,356,190.15","18,025,984.79","11,434,939.84","9,288,437.60","20,999,712.31","14,336,553.81","15,294,510.79","21,549,447.75","22,705,019.07","31,570,819.62","34,634,507.80","18,082,930.52","25,612,905.07","22,903,498.90","19,085,133.28","22,809,143.05","34,177,408.18","37,618,811.15","30,412,086.19","28,213,016.17","43,559,685.33","41,882,990.93","128,165,855.82","120,072,712.78","141,130,858.86","110,657,819.44","129,652,325.84","178,971,050.96","245,086,234.98"
其他应收款,"7,993,593.71","9,758,345.16","7,764,605.87","10,934,979.35","5,893,239.77","8,904,451.32","11,635,719.40","11,193,762.82","24,427,923.32","3,421,675.45","7,159,986.54","16,745,989.62","12,750,880.25","9,079,667.97","10,905,392.78","13,423,051.48","10,449,771.68","5,651,267.77","9,772,484.72","13,524,313.67","8,204,163.20","9,761,718.47","50,055,397.72","44,794,742.53","25,070,897.40","15,124,895.16","21,310,951.30","26,189,567.07","42,147,938.27","51,713,093.35","114,409,242.71"
应付职工薪酬,"2,030,988.45","6,570,310.83","7,932,206.21","8,216,721.25","7,494,440.46","8,546,629.99","5,154,419.39","7,302,732.06","8,911,865.22","11,860,075.75","9,991,393.47","12,396,816.30","15,692,319.68","14,476,944.33","12,151,388.83","12,398,669.62","15,737,617.05","25,675,114.21","12,249,072.05","18,942,756.51","23,472,709.39","26,264,600.03","14,171,658.00","12,844,776.75","28,489,816.45","38,732,097.84","22,246,169.57","20,421,306.86","32,433,319.80","38,476,677.69","18,351,188.51"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-5,064,252.97","-16,128,818.99","-23,426,613.21","-19,324,853.10","-17,367,380.23","-19,425,599.67","-15,512,425.95","-15,435,808.42","-19,382,542.79","2,514,892.56","2,045,228.36","4,182,091.78","3,903,071.54","5,406,309.01","2,846,281.14","4,331,125.43","7,410,672.30","7,304,402.62","6,737,617.86","3,916,723.59","6,985,061.68","7,817,944.39","5,780,733.65","4,121,113.95","23,342,593.04","20,989,608.11","15,245,512.14","7,603,729.61","14,584,529.42","23,759,033.13","18,496,170.01"
应收利息,,,,,,"3,650,933.41","5,707,097.76","8,592,699.65","3,654,035.20","1,377,243.79","1,570,524.00","2,029,923.97",,,,,,,,,,,,,,,"96,164.38",,,"3,494,150.69",
应付利息,,"87,661.81","26,458.66","25,752.23","33,085.56","95,918.26","42,126.13",,"406,666.66","678,738.86","876,413.85",,,"400,211.11",,,,"194,897.50",,,,"366,048.16",,,,"226,417.18",,,,"1,091,475.42",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
