科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"417,525,649.26","472,081,960.27","475,689,703.38","129,612,970.34","223,366,494.58","361,726,225.45","478,138,171.21","116,545,771.05","249,741,999.29","583,102,019.53","132,228,870.11","258,267,884.63","381,115,087.70","529,895,207.70","143,820,632.50","285,290,183.23","430,960,444.13","608,059,265.46","147,308,624.78"
二、营业利润,"141,880,862.53","169,041,719.75","157,606,086.12","49,645,185.29","76,301,889.67","126,893,761.13","154,302,884.73","29,279,744.50","77,726,057.78","183,050,559.84","36,192,799.91","67,241,922.94","84,787,025.41","107,891,703.89","42,623,908.55","87,697,218.37","130,131,158.32","136,736,627.69","10,850,502.17"
减:营业成本,"120,084,568.87","124,781,978.17","119,143,999.19",,"56,646,347.51","93,082,615.88","130,404,707.79","34,111,593.62","74,951,760.96","167,312,089.99","37,535,611.66","76,590,306.82","115,793,645.04","167,837,236.06","45,459,795.69","91,320,796.26","138,051,404.53","200,230,275.73","50,352,943.35"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,702,913.81","4,121,524.17","3,368,414.66",,"1,207,079.98","1,928,456.27","2,701,269.56","645,137.98","1,450,426.79","6,254,538.62","1,874,017.61","4,027,613.15","6,210,115.75","8,573,658.78","2,277,475.94","4,399,612.39","6,566,991.95","8,947,414.29","2,444,701.63"
营业外收入,"9,437,251.35","23,124,324.61","9,640,448.18",,"8,609,370.32","12,504,470.72","14,692,854.13","23,085,941.67","28,813,207.69","38,953,916.39","2,296,745.65","4,292,335.40","20,959,315.53","27,178,397.71","1,745,415.73","2,405,680.87","9,014,180.87","17,047,286.57","5,413,388.70"
销售费用,"84,989,067.85","96,706,362.05","106,873,428.60",,"51,308,519.35","79,516,281.74","107,410,579.00","26,286,965.22","56,132,485.25","131,037,668.57","31,554,730.89","63,120,419.07","97,817,119.16","143,261,590.57","33,471,907.04","63,746,881.12","97,050,525.87","147,112,729.05","39,842,079.42"
减:营业外支出,"257,564.16","105,753.91","212,894.27",,"406,448.20","417,331.72","452,097.56","2,603.40","642,890.68","1,102,130.71","28,807.88","1,697,292.28","1,737,529.33","1,737,351.24","10,480.57","569,856.32","578,149.69","567,548.34","3,265.36"
管理费用,"62,981,852.44","75,689,044.07","87,945,084.81",,"40,297,338.99","60,936,095.29","91,668,575.29","26,667,163.23","49,180,392.48","114,478,395.43","27,021,441.57","55,006,058.60","88,421,429.72","130,424,098.46","25,916,698.54","56,963,059.52","43,870,325.86","62,613,913.48","14,779,934.75"
其中:非流动资产处置净损失,"253,514.38","55,753.91","212,894.27",,"6,448.20","17,331.72","52,097.56",,"10,536.68","69,776.71","28,268.09","28,268.09","68,505.14",,,,,,
