科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"72,927,669.64","167,044,573.26","219,425,620.85","252,754,362.64","377,127,157.66","330,398,187.58","420,871,602.78","293,066,543.89","461,001,972.61","819,979,428.83","1,074,755,092.69","1,081,583,681.11","1,105,801,980.03","1,256,380,906.20","1,317,330,583.07","1,225,789,711.95","1,358,605,313.74","1,242,200,081.66","1,047,311,544.99","981,557,352.86","626,220,005.66","735,683,085.60","657,434,241.20","628,601,483.27","603,293,795.51","499,745,471.47","460,967,430.15","377,741,537.30","446,419,665.02","553,909,186.88","554,442,769.47","622,870,145.58","453,143,051.49","420,151,074.53","551,413,780.77","510,451,492.43","465,469,010.43","528,043,490.15","552,274,982.85","371,282,153.67","401,787,563.31","560,765,770.09","677,102,947.04"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"42,724,000.00","24,649,300.00","27,735,000.00","20,800,000.00","32,292,177.50","52,600,607.50","20,000,000.00","25,248,000.00",,"300,000.00","34,000.00","473,858.93","1,200,000.00",,,"850,000.00",,"500,000.00",,"100,000.00","390,264.10","346,877.51","156,075.68",,,"11,200,000.00","2,338,114.00",,"37,186,247.00","17,336,100.00","22,146,934.00","21,824,432.25","58,895,400.00","74,706,328.00","94,064,486.50","79,267,750.25","47,522,670.01","32,667,081.39","22,070,037.32","59,518,373.90","102,526,847.45","113,090,541.10","141,540,182.78"
应付票据,"5,065,508.47","29,763,385.33","90,481,983.66","104,189,128.75","98,623,295.02","137,207,719.35","192,253,521.13","146,910,794.09","159,724,826.09","383,091,806.41","557,932,378.05","610,204,987.18","634,695,363.00","723,148,885.49","828,605,718.68","837,261,901.57","994,718,870.65","897,299,085.54","776,422,301.42","734,621,435.10","595,450,890.08","699,750,657.33","663,633,100.27","638,249,723.50","581,961,635.78","557,927,055.95","470,002,785.53","379,404,623.97","506,225,921.92","479,602,488.39","534,332,366.06","730,121,101.63","1,035,169,575.89","571,081,412.37","587,882,873.01","660,834,997.30","593,784,663.89","583,717,074.24","559,036,532.55","262,760,120.02","329,179,243.41","403,488,672.70","468,208,150.66"
应收账款,"10,404,324.16","5,185,103.15","21,469,633.14","5,080,415.44","11,299,396.00","1,402,082.94","3,319,890.90","629,794.34","2,253,675.54","14,002,031.76","524,873.37","556,145.22","18,576,567.99","5,273,305.99","8,645,288.48","10,184,911.81","12,079,589.92","9,415,400.44","11,381,701.19","9,824,836.49","22,484,586.97","26,611,458.98","41,642,563.88","42,827,941.66","43,552,691.25","44,065,632.43","34,596,430.39","29,081,348.93","83,946,174.07","130,498,517.37","204,839,277.87","190,551,449.77","191,873,021.30","154,318,027.02","126,692,691.20","198,177,788.28","191,354,124.51","179,064,339.13","205,058,533.49","130,997,343.25","146,027,853.73","146,684,955.21","127,738,124.67"
应付账款,"138,607,808.76","154,483,299.48","137,957,134.32","118,596,270.62","194,112,060.59","183,318,958.46","159,533,270.45","263,380,401.50","299,135,118.19","421,189,193.43","439,002,624.65","446,336,171.76","440,331,566.47","521,355,304.75","446,540,900.66","447,782,955.62","480,393,502.64","610,372,793.31","582,149,961.82","566,278,830.97","665,489,230.37","792,494,082.26","727,612,000.12","651,749,298.55","732,902,764.98","740,669,707.98","914,033,832.56","927,599,566.82","1,061,700,910.53","1,154,757,949.86","1,224,714,923.44","881,074,541.41","487,822,736.56","914,887,086.00","981,084,107.90","796,816,853.91","850,534,152.78","897,716,935.75","946,975,996.17","961,571,842.52","1,024,662,844.16","1,048,182,314.67","1,108,648,180.63"
预付款项,"8,620,657.52","7,123,895.14","8,723,957.11","6,752,363.24","13,986,741.97","26,380,622.82","29,457,380.94","1,420,919.70","4,143,813.34","6,255,163.45","18,729,988.85","10,654,610.02","13,544,275.88","10,967,447.26","8,782,034.05","55,317,520.76","20,818,702.25","18,253,583.48","9,446,483.12","19,792,773.46","67,681,141.56","60,585,400.63","28,680,510.49","22,897,407.06","33,545,967.84","39,176,827.75","47,495,346.80","53,524,017.75","69,619,437.27","77,213,688.99","11,000,653.92","14,642,219.55","17,670,214.92","21,345,642.57","20,737,300.09","15,222,505.37","17,860,157.55","8,362,882.72","7,917,540.05","9,698,514.89","6,229,818.87","8,398,769.73","5,601,681.12"
预收款项,"13,619,059.35","12,651,777.15","7,455,419.55","12,735,123.00","93,091,230.25","28,573,162.25","17,056,083.34","36,188,324.49","57,350,534.39","32,689,880.98","44,393,368.14","44,488,329.44","75,507,977.44","74,402,674.84","59,554,613.11","37,096,897.40","112,650,558.49","129,697,015.91","92,122,910.95","60,376,247.03","116,972,854.59","122,659,255.30","87,604,316.73","54,312,504.71","96,042,587.37","126,734,842.25","98,287,155.03","131,328,842.91","171,139,705.15","178,135,418.12","79,046,416.21","61,277,060.25","102,154,675.45","81,081,778.32","129,619,032.17","77,502,439.47","84,806,290.64","70,996,487.83","50,507,300.85","37,665,403.48","41,196,169.72","47,709,104.81","49,326,253.87"
其他应收款,"174,308.67","269,165.30","3,310,989.19","129,104.51","274,421.46","507,975.73","1,631,419.76","935,672.77","943,454.26","1,544,438.84","1,153,436.96","792,920.85","36,647,432.11","72,647,166.13","2,090,918.09","874,436.27","1,993,912.53","559,230.73","1,912,934.27","2,309,376.96","202,654,379.73","1,367,445.25","2,809,007.50","2,626,123.30","3,037,743.65","6,425,193.98","5,357,286.91","1,777,763.98","1,412,393.75","480,229.35","1,029,104.54","2,699,735.58","1,741,418.61","2,603,564.15","2,409,296.67","2,160,540.79","2,542,915.61","2,320,944.27","3,277,182.48","1,950,544.64","2,522,282.12","4,029,233.07","3,668,075.56"
应付职工薪酬,"5,673,719.17","11,493,783.73","17,674,315.65","21,216,323.76","26,831,496.25","32,783,908.78","38,780,052.97","8,705,878.53","9,039,628.23","11,617,740.28","9,200,238.36","15,386,459.02","22,308,260.97","34,442,094.38","48,143,822.75","45,713,301.40","38,393,366.59","35,845,407.75","34,133,876.35","46,241,655.61","43,247,099.65","44,455,990.14","39,393,731.61","41,411,435.25","43,178,018.07","43,166,747.57","41,689,722.81","57,619,354.96","50,124,615.65","60,279,767.99","53,319,848.92","66,345,429.09","58,010,959.83","73,780,625.70","66,802,641.09","91,636,346.85","85,624,356.46","87,200,739.85","75,699,184.64","90,615,970.43","85,543,862.47","76,747,997.09","74,849,396.91"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,879,700.78","6,019,450.20","6,245,701.71","3,857,513.51","9,688,539.51","3,590,995.25","1,116,902.12","1,435,131.27","13,437,422.37","12,139,708.35","10,727,607.21","19,584,324.07","35,882,587.00","40,948,735.33","53,136,055.69","55,827,303.30","71,086,033.09","50,676,083.02","44,319,613.38","37,959,603.08","29,876,277.81","-6,669,444.69","-5,325,343.87","10,546,507.00","8,120,926.41","5,511,492.04","3,233,681.12","15,105,510.94","14,519,819.90","29,468,454.55","20,895,278.20","30,961,887.12","19,903,829.96","7,131,570.76","13,796,650.03","33,531,280.79","14,775,170.87","13,706,001.98","9,779,121.14","23,475,197.47","21,875,945.79","20,583,439.13","15,896,798.33"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,796,500.00","372,979.49","782,800.00","751,100.00","1,344,900.00","1,138,400.00","1,125,200.00","1,231,500.00","1,129,800.00","1,053,200.00","849,000.00","971,800.00"
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,"6,615,000.00",,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"105,192,335.36","121,202,298.42","120,471,328.47","122,395,474.05","183,294,899.12","198,324,411.44","190,504,816.46","183,040,508.97","148,764,113.88","150,535,938.09","116,751,451.02","113,022,165.00","124,497,584.27","172,427,652.13","166,304,055.50","165,673,610.75","244,230,342.71","273,724,641.33","268,625,629.79","212,281,591.48","279,372,254.89","337,242,562.50","310,671,156.96","262,784,706.62","333,429,537.61","376,134,553.09","487,909,960.58","474,432,492.98","570,882,468.95","561,042,924.03","556,690,542.44","539,421,929.89","551,728,695.92","524,754,401.96","534,651,285.11","467,958,977.92","501,759,696.41","522,694,517.24","513,646,429.75","455,426,156.86","508,547,018.61","479,508,669.13","484,186,689.60"
其他应付款,"8,494,120.17","20,025,564.62","34,974,325.23","10,763,422.94","28,233,000.50","26,752,599.10","35,654,851.74","29,233,487.74","42,585,629.48","94,861,302.86","122,653,176.97","69,004,440.79","141,494,233.73","169,864,041.96","174,387,094.10","119,697,675.28","205,250,859.05","243,207,882.84","217,572,029.23","138,979,051.92","139,394,065.94","130,091,227.39","125,105,659.61","115,579,884.51","107,226,558.01","86,516,783.18","86,743,698.60","95,651,179.18","105,479,639.05","159,139,618.81","186,601,839.11","401,771,555.00","382,308,604.60","354,033,863.19","330,207,879.95","353,639,595.37","315,552,750.19","299,031,927.29","291,498,862.19","269,080,957.70","266,580,979.70","276,072,086.11","271,253,659.89"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,"8,174,990.54",,,,"4,405,772.51","3,492,993.67","9,871,023.00","8,955,732.45","6,032,934.75",,"1,188,280.02","1,238,967.86","2,158,665.56","2,976,137.00","1,788,189.02","1,465,883.43","5,798,766.87","1,617,128.62","68,822.53","7,556,230.63","3,874,948.61","245,021.20","492,122.24","609,246.79"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,781,321.61","9,417,841.97","10,995,755.42","9,553,062.67","9,372,536.24","8,190,217.60","9,510,441.29","9,667,119.73","8,555,919.92","10,794,215.88","13,836,601.26","18,516,993.15"
流动资产合计,"240,043,295.35","325,474,335.27","401,136,528.76","407,911,719.88","618,274,793.71","609,613,888.01","665,785,110.84","504,341,439.67","617,107,029.63","992,617,000.97","1,211,948,842.89","1,207,083,381.13","1,300,267,840.28","1,517,696,477.71","1,503,152,879.19","1,458,690,191.54","1,637,727,861.15","1,544,652,937.64","1,338,678,293.36","1,234,040,921.79","1,198,802,632.91","1,161,836,830.47","1,041,393,555.71","964,143,434.42","1,020,352,729.53","993,233,701.72","1,047,620,301.28","942,590,095.69","1,209,466,386.06","1,341,668,926.64","1,351,388,250.10","1,395,965,078.18","1,278,400,918.73","1,200,450,027.25","1,332,185,823.77","1,280,382,721.91","1,229,264,103.14","1,274,347,277.43","1,313,032,436.57","1,033,877,835.82","1,168,939,605.29","1,313,819,060.57","1,441,418,747.56"
流动负债合计,"174,339,916.70","234,437,260.51","294,788,880.12","271,357,782.58","450,579,622.12","412,227,343.19","444,394,681.75","485,854,017.62","581,273,158.75","955,589,632.31","1,183,909,393.38","1,205,004,712.26","1,350,219,988.61","1,564,161,736.75","1,610,368,204.99","1,543,380,034.57","1,902,493,190.51","1,967,098,268.37","1,746,720,693.15","1,584,456,823.71","1,590,430,418.44","1,782,781,767.73","1,638,023,464.47","1,511,849,353.52","1,569,432,490.62","1,560,526,628.97","1,613,990,875.65","1,606,709,078.78","1,909,190,612.20","2,061,383,697.72","2,098,910,671.94","2,181,332,896.11","2,094,788,224.26","2,012,992,091.76","2,118,946,246.82","2,023,334,049.93","1,953,267,602.43","1,961,879,608.23","1,943,164,117.27","1,653,725,411.54","1,779,833,261.13","1,936,620,215.77","2,056,699,433.44"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,"36,000,000.00","108,000,000.00","183,930,495.04","180,000,000.00","180,000,000.00","180,000,000.00","193,198,918.51","180,000,000.00","380,000,000.00","381,258,763.90","402,927,795.99","406,808,743.28","405,920,936.65","411,917,344.97","418,491,013.24","428,322,657.56","435,837,277.12","445,837,556.73","423,619,862.41","432,179,377.83","439,005,414.66","434,457,540.51","433,027,543.16","443,993,932.37","451,960,317.12","461,075,710.23","471,615,033.25","483,668,026.84","514,150,310.21","525,873,798.77"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,571,075.24","18,223,206.60","17,858,184.81","17,493,163.02","17,128,141.23","16,763,119.44","16,398,097.65"
预计负债,,,,,,,,,,,,"4,273,325.33","4,273,325.33","4,290,282.60","4,290,282.60","4,198,386.92","4,198,386.92","5,388,283.55","5,388,283.55","5,323,600.72","5,323,600.72","6,377,839.68","6,377,839.68","5,980,000.55","5,980,000.55","5,767,920.22","5,826,954.17","6,907,423.91","7,207,423.85","14,913,171.21","22,002,594.37","9,201,855.69","8,635,674.97","7,206,459.30","10,356,105.72","13,507,902.79","13,501,701.65","14,998,196.99","15,034,672.24","15,872,164.90","15,935,653.43","15,815,124.80","14,656,747.62"
