科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"278,716,409.44","147,855,513.65","166,421,578.77","93,147,023.13","95,967,023.13","125,322,853.39","24,632,000.00","52,734,956.62","80,867,392.00","119,552,803.04","22,929,316.60","52,087,350.86","88,718,230.17","207,932,254.68","65,206,007.42","170,164,801.23","251,992,575.54"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"36,579,100.00","21,324,931.94","28,745,831.94",,"30,074,483.29","34,448,394.29","48,673,821.69",,"3,304,475.45","10,777,875.45"
收到的税费返还,,,,,,,,,,,,"16,969.07",,,,"1,189,740.87","1,646,836.82"
支付其他与投资活动有关的现金,"42,735,801.68","4,700,000.00","5,190,000.00","5,600,000.00","5,600,000.00","7,200,000.00",,"650,000.00","3,880,000.00",,,,,,,"1,050,000.00","1,050,000.00"
收到其他与经营活动有关的现金,"15,895,145.25","19,612,528.82","21,873,368.40","3,615,350.95","7,349,168.66","11,735,007.22","7,116,493.55","3,638,808.31","6,147,568.50","44,730,658.77","11,352,111.90","15,730,017.13","23,518,220.81","28,246,958.10","2,847,093.13","7,280,195.19","14,476,904.40"
投资活动现金流出小计,"56,755,968.37","14,394,464.28","50,882,757.89","11,585,555.75","18,707,367.92","184,271,867.74","18,081,921.94","79,283,183.44","408,059,357.25","517,926,352.69","84,107,853.77","143,148,082.43","241,962,827.09","329,254,920.45","238,122,519.45","716,326,258.75","313,687,354.99"
经营活动现金流入小计,"294,611,554.69","167,468,042.47","188,294,947.17","96,762,374.08","103,316,191.79","137,057,860.61","31,748,493.55","56,373,764.93","87,014,960.50","164,283,461.81","34,281,428.50","67,834,337.06","112,236,450.98","236,179,212.78","68,053,100.55","178,634,737.29","268,116,316.76"
投资活动产生的现金流量净额,"-20,052,908.47","16,817,428.85","-7,562,757.89","-6,901,053.46","-14,022,865.63","-134,713,213.29","-8,281,921.94","-22,202,491.62","-321,921,910.56","-339,873,914.81","-49,696,857.73","-19,335,160.82","-61,646,024.48","-4,836,977.96","-65,751,594.28","-22,782,276.32","-66,276,436.46"
购买商品、接受劳务支付的现金,"100,208,405.30","93,307,453.74","77,686,621.31","25,656,911.27","44,739,993.96","112,234,646.88","28,792,011.03","55,157,960.29","83,493,599.59","106,607,377.16","15,644,700.22","28,292,569.32","65,803,292.45","123,543,620.11","42,667,216.09","64,393,410.29","109,686,842.03"
吸收投资收到的现金,,,,,"642,945,500.00","652,957,500.00",,,"3,500,000.00","3,500,000.00",,,,,,,
支付给职工以及为职工支付的现金,"30,097,466.34","34,891,540.04","44,700,183.58","24,616,268.28","35,375,764.85","46,939,823.02","15,791,261.53","28,721,631.82","46,198,600.90","61,062,382.55","27,373,345.69","50,981,290.46","74,317,273.67","85,277,475.19","26,616,052.52","50,207,805.91","74,980,102.52"
