科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,537,745,290.48","1,758,258,441.29","1,580,987,623.88","852,991,329.71","1,275,657,568.18","1,909,125,517.36","652,660,680.41","1,311,932,798.57","2,133,854,379.42","2,943,514,010.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"51,329,728.00","45,875,842.41"
收到的税费返还,"63,733,602.97","82,899,734.47","101,836,870.30","51,250,414.78","85,604,676.24","97,325,159.70","24,824,314.07","59,349,325.99","113,192,885.11","161,876,681.22"
支付其他与投资活动有关的现金,,,,,,,"792,726,160.00",,,
收到其他与经营活动有关的现金,"17,938,386.45","57,193,304.48","40,620,604.26","5,354,679.99","7,915,188.67","15,878,042.25","9,458,923.94","62,924,769.97","35,526,083.61","59,901,132.49"
投资活动现金流出小计,"1,099,297,837.06","908,529,354.04","512,902,379.25","285,534,321.75","621,794,001.24","1,322,824,313.77","810,973,232.48","1,791,711,093.31","4,035,701,776.00","6,139,410,532.63"
经营活动现金流入小计,"1,619,417,279.90","1,898,351,480.24","1,723,445,098.44","909,596,424.48","1,369,177,433.09","2,022,328,719.31","686,943,918.42","1,434,206,894.53","2,282,573,348.14","3,165,291,824.15"
投资活动产生的现金流量净额,"-135,545,559.58","-257,859,401.38","-124,099,964.06","-29,568,443.06","-11,101,953.01","-179,889,886.65","-407,629,080.24","-634,282,479.91","-1,401,831,686.84","-1,375,712,688.05"
购买商品、接受劳务支付的现金,"946,824,591.31","1,174,416,509.04","954,765,839.02","455,340,192.95","726,565,793.43","1,184,541,499.66","354,156,629.29","706,584,072.68","1,219,866,937.15","1,724,183,049.56"
吸收投资收到的现金,,"450,000.00",,,,,,"865,727,734.27","865,727,734.27","865,727,734.25"
支付给职工以及为职工支付的现金,"229,881,070.76","282,471,075.88","289,410,322.23","179,063,378.38","249,557,001.86","345,112,914.83","119,264,676.58","213,330,955.71","330,580,208.70","478,326,934.81"
取得借款收到的现金,"206,508,013.17","463,336,191.00","351,327,740.26","63,259,390.00","63,259,390.00","174,459,390.00","61,319,315.00","269,376,160.00","319,943,155.00","20,376,160.00"
支付的各项税费,"47,085,270.27","58,454,561.41","76,035,867.24","42,336,021.00","62,010,067.87","73,492,343.44","26,929,376.50","66,032,123.81","87,354,196.95","112,733,531.60"
收到其他与筹资活动有关的现金,,"12,883,631.21",,"9,115,500.00","9,115,500.00","9,115,500.00","879,768,704.00",,,
支付其他与经营活动有关的现金,"128,983,952.56","148,662,437.26","131,546,420.60","73,260,086.50","98,823,228.81","139,213,841.01","64,827,678.43","109,089,264.55","204,403,577.23","225,112,313.38"
筹资活动现金流入小计,"206,508,013.17","476,669,822.21","351,327,740.26","72,374,890.00","72,374,890.00","183,574,890.00","941,088,019.00","1,135,103,894.27","1,185,670,889.27","886,103,894.25"
经营活动现金流出小计,"1,352,774,884.90","1,664,004,583.59","1,451,758,449.09","749,999,678.83","1,136,956,091.97","1,742,360,598.94","565,178,360.80","1,095,036,416.75","1,842,204,920.03","2,540,355,829.35"
偿还债务支付的现金,"303,919,179.83","441,707,076.83","416,062,942.28","101,987,183.66","102,479,183.97","102,718,329.65","67,487,258.21","138,305,318.93","236,112,119.75","139,676,396.79"
经营活动产生的现金流量净额,"266,642,395.00","234,346,896.65","271,686,649.35","159,596,745.65","232,221,341.12","279,968,120.37","121,765,557.62","339,170,477.78","440,368,428.11","624,935,994.80"
分配股利、利润或偿还利息支付的现金,"31,532,956.86","26,502,261.95","30,810,910.03","45,792,015.26","136,145,317.37","136,217,684.69",,"651,374.16","68,967,811.20","69,198,564.93"
收回投资收到的现金,"953,419,175.67","647,887,363.35","349,214,847.27","251,153,546.61","602,170,695.28","1,137,834,034.94","10,616,772.17","1,128,753,537.69","2,625,892,686.20","4,730,189,047.12"
支付其他与筹资活动有关的现金,"4,639,348.94","8,850,000.00","265,500.00",,,,"143,748.31",,,"2,022,808.66"
取得投资收益收到的现金,,,,,,,,,,"313,263.86"
筹资活动现金流出小计,"340,091,485.63","477,059,338.78","447,139,352.31","147,779,198.92","238,624,501.34","238,936,014.34","67,631,006.52","138,956,693.09","305,079,930.95","210,897,770.38"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,169,301.81","681,060.62","1,383,817.92","4,202,332.08","4,211,352.95","582,392.18",,"27,875,075.71","1,227,402.96","21,395,533.60"
筹资活动产生的现金流量净额,"-133,583,472.46","-389,516.57","-95,811,612.05","-75,404,308.92","-166,249,611.34","-55,361,124.34","873,457,012.48","996,147,201.18","880,590,958.32","675,206,123.87"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-243,608.44","-722,477.68","-262,909.90","315,264.51","408,313.04","251,825.68","-181,350.27","486,185.51","-412,034.22","587,133.17"
收到其他与投资活动有关的现金,"9,163,800.00","2,101,528.69","38,203,750.00","610,000.00","4,310,000.00","4,518,000.00","392,727,380.07","800,000.00","6,750,000.00","11,800,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"963,752,277.48","650,669,952.66","388,802,415.19","255,965,878.69","610,692,048.23","1,142,934,427.12","403,344,152.24","1,157,428,613.40","2,633,870,089.16","4,763,697,844.58"
五、现金及现金等价物净增加额,"-2,730,245.48","-24,624,498.98","51,512,163.34","54,939,258.18","55,278,089.81","44,968,935.06","587,412,139.59","701,521,384.56","-81,284,334.63","-74,983,436.21"
购建固定资产、无形资产和其他长期资产支付的现金,"156,197,837.06","265,029,354.04","119,802,379.25","79,534,321.75","80,694,001.24","101,312,828.69","18,247,072.48","25,151,093.31","164,977,600.81","206,169,579.46"
期初现金及现金等价物余额,"61,457,293.49","58,727,048.01","34,102,549.03","85,615,817.25","85,615,817.25","85,614,712.37","130,583,647.43","130,583,647.43","130,583,647.43","130,583,647.43"
投资支付的现金,"943,100,000.00","643,500,000.00","393,100,000.00","206,000,000.00","541,100,000.00","1,221,511,485.08",,"1,766,560,000.00","3,819,394,447.19","5,887,365,110.76"
期末现金及现金等价物余额,"58,727,048.01","34,102,549.03","85,614,712.37","140,555,075.43","140,893,907.06","130,583,647.43","717,995,787.02","832,105,031.99","49,299,312.80","55,600,211.22"
