科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"191,548,011.91","147,621,878.80","129,181,429.20","178,471,201.10","121,596,278.56","92,691,018.72","87,406,820.92","133,276,994.51","90,297,122.72","78,682,302.73","59,812,681.66","199,616,086.89","156,011,271.97","77,355,334.38","420,174,236.07","409,824,815.84","235,340,727.02","267,378,628.41","235,672,027.16","366,072,642.31","340,695,497.36","303,417,856.31","328,204,269.16","249,046,494.36","215,580,257.36","184,162,105.67","167,455,690.63","473,820,172.10","138,698,375.56","165,649,078.79","164,007,165.00","279,032,612.77","95,488,952.25","153,246,226.98","110,059,782.08","383,596,462.05","159,091,143.61","117,705,323.11","175,292,330.70","269,729,197.63","168,927,790.65","369,114,784.55","166,191,097.14","750,485,287.89","152,595,967.93","333,356,943.43"
短期借款,"12,460,000.00","12,460,000.00","12,460,000.00","10,000,000.00",,,,,,,,"120,000,000.00","199,200,000.00","199,200,000.00","199,200,000.00","100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,"268,440.00",,,"69,000.00","75,000.00","440,000.00","170,000.00",,"440,384.00","190,000.00","1,459,895.00","403,600.00",,"1,198,951.60","287,703.00","1,336,000.00","1,000,000.00","656,798.10","630,000.00","2,908,057.00","1,455,687.00","803,383.00","1,265,728.00","1,233,384.00","3,669,683.00","2,685,704.00","100,000.00","1,991,020.11","3,028,359.00","656,105.00","2,753,600.00","497,496.00","2,461,077.11","506,097.51","370,862.00","1,771,440.91","1,513,383.79","1,156,495.00","419,000.00","1,897,710.98","1,054,178.50","1,032,337.55"
应付票据,"32,433,060.10","29,305,943.79","25,179,005.26","37,485,275.72","29,512,176.11","32,627,687.32","39,729,598.50","37,644,851.98","34,595,643.27","50,159,170.36","39,121,291.84","61,551,998.32","36,502,347.07","44,031,125.72","44,796,568.59","56,712,529.91","49,269,158.43","56,720,932.12","68,592,937.31","71,894,750.28","67,249,597.75","74,528,420.01","80,377,845.23","74,165,902.22","72,710,744.10","88,978,805.97","81,634,141.65","90,985,691.50","100,489,768.56","98,030,471.09","107,129,435.33","116,859,667.04","142,699,302.95","138,631,714.32","122,921,741.41","140,646,132.41","166,830,019.56","157,205,641.59","152,078,039.54","154,341,887.81","166,704,510.64","174,976,718.60","181,109,060.83","191,539,839.08","207,412,210.31","203,488,635.51"
应收账款,"90,406,546.01","117,584,792.10","88,374,289.86","59,807,692.61","106,592,156.30","116,306,305.55","95,800,207.38","26,893,330.03","88,774,960.00","89,285,358.25","90,767,829.96","37,634,767.69","103,288,775.12","146,483,825.11","142,933,025.82","60,239,795.90","158,218,692.22","173,400,093.50","184,022,796.26","102,999,782.68","166,635,377.15","179,351,987.71","189,002,160.36","106,809,486.36","175,874,258.12","242,661,187.48","221,667,620.26","88,515,196.05","177,402,435.08","253,295,425.20","197,893,569.15","110,559,791.32","222,794,700.77","260,518,178.89","288,355,014.38","182,828,441.96","284,675,107.05","333,908,617.86","271,760,523.15","314,918,070.66","383,166,166.17","432,636,175.55","326,619,913.70","324,915,798.53","388,148,539.31","420,453,494.00"
应付账款,"61,800,101.57","65,761,623.05","44,170,216.03","76,532,641.50","55,290,831.33","65,678,610.37","52,094,463.15","59,074,322.53","53,011,036.05","50,801,551.07","46,549,172.61","72,578,125.09","59,785,382.57","69,493,918.19","68,182,419.40","91,178,002.45","57,763,958.24","123,054,446.93","85,484,303.53","113,845,351.02","81,981,263.45","99,383,178.42","64,352,566.77","112,893,266.26","80,022,247.24","96,783,608.21","65,779,132.76","121,152,725.90","88,470,967.29","95,847,988.83","80,316,596.96","150,788,621.93","108,390,594.53","80,509,128.80","105,061,893.96","158,875,817.76","110,025,973.78","185,491,078.58","129,864,152.65","179,020,429.83","127,078,676.03","151,276,889.04","138,012,857.28","195,543,735.51","105,110,878.57","168,137,688.55"
预付款项,"1,247,446.41","2,095,077.01","3,465,047.15","3,427,885.99","3,131,983.28","1,289,598.53","1,015,824.29","4,837,329.00","6,409,139.11","2,860,528.17","1,193,565.31","21,045,238.73","15,898,387.74","10,025,661.15","4,931,856.09","1,392,627.01","1,714,569.25","1,800,674.01","1,611,856.15","2,123,932.68","1,757,906.15","2,259,351.66","1,974,853.27","2,076,834.47","1,404,129.88","5,835,806.74","9,576,034.68","8,680,231.82","11,729,063.76","18,322,378.16","7,783,768.27","6,909,329.96","7,322,386.39","16,819,167.21","25,572,882.36","5,311,039.55","7,309,054.84","7,530,523.35","21,101,613.11","24,982,720.64","21,231,632.98","25,092,301.83","25,251,199.93","20,058,995.81","24,424,199.46","39,827,639.54"
预收款项,"2,107,431.39","1,261,451.76","3,055,828.95","16,666,364.89","6,162,045.66","11,739,244.17","1,567,824.56","26,053,799.10","10,693,851.85","17,442,309.10","1,963,111.85","30,525,146.03","6,869,077.27","8,693,279.56","8,227,885.66","13,489,623.02","4,361,402.88","8,903,209.86","3,697,859.89","22,315,644.85","2,762,491.41","9,592,564.37","19,863,143.73","45,093,386.37","3,674,508.93","38,507,096.68","33,483,112.60","65,088,439.96","31,397,724.45","30,627,005.60","34,097,100.34","70,067,086.86","3,981,563.55","20,939,799.78","4,718,098.75","111,999,630.22","5,521,170.86","8,140,987.31","8,148,276.35","103,312,487.57","8,169,512.90","8,149,624.78","8,009,951.20","154,611,118.82","8,998,229.28","14,721,730.00"
