科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"76,130,103.17","72,004,924.07","80,905,828.46","56,962,838.42","61,742,257.87","94,916,571.90","361,374,512.06","223,303,231.66","214,524,537.71","368,820,948.66","363,033,915.11","229,676,651.85","310,676,887.89","320,153,417.44","292,969,674.33"
短期借款,,"11,000,000.00",,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,,,,,,"350,000.00","200,000.00","1,334,000.00","1,230,000.00",,,,,
应付票据,,,,,,,,,,,,,,,
应收账款,"225,605,015.80","293,380,161.59","315,456,560.15","297,426,493.59","327,351,876.27","313,383,721.03","317,620,253.58","344,767,963.05","368,302,804.94","369,532,733.32","343,195,761.17","369,727,467.95","335,808,468.46","384,848,838.92","397,431,555.39"
应付账款,"109,941,046.25","124,421,399.00","119,127,744.03","90,881,937.77","103,318,615.14","103,692,114.71","101,540,844.25","109,983,043.87","131,380,180.87","149,173,499.82","127,781,724.84","134,878,349.29",,"169,818,848.49",
预付款项,"390,268.53","1,171,134.44","1,311,057.00","1,894,409.85","1,597,758.40","1,676,174.86","2,424,755.06","4,439,682.56","1,693,267.51","2,965,119.87","2,361,446.90","15,057,569.06","3,029,945.35","3,033,922.29","3,971,765.91"
预收款项,"18,598,026.57","12,624,675.58","12,567,898.55","13,057,138.55","15,177,223.84","27,817,818.09","33,388,647.21","31,728,334.74","20,912,572.47","28,750,049.98","28,693,446.24","32,067,593.66","26,902,237.91","33,509,487.48","33,795,200.70"
其他应收款,"2,863,515.91","6,094,696.53","5,476,266.09","9,761,643.84","10,621,110.84","7,949,960.75","15,310,152.31","14,119,862.56","25,841,081.61","16,211,107.08","22,807,016.78","26,936,039.98","45,783,619.24","16,860,049.65","25,267,541.70"
应付职工薪酬,"16,920,597.05","22,572,573.75","19,575,661.10","18,978,316.26","22,504,189.72","18,707,750.74","20,413,210.33","22,233,800.30","25,720,744.99","21,917,670.71","23,285,765.79","25,081,092.77","27,686,069.45","26,102,604.20","26,291,228.01"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"13,476,349.92","17,740,966.49","13,046,955.09","4,042,571.23","4,772,842.41","13,579,213.36","3,950,934.92","2,209,271.25","8,551,524.93","8,699,908.71","4,832,291.96","3,405,574.69","-1,281,656.77","11,042,257.82","4,170,657.79"
应收利息,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,"15,329.28","15,329.28"
应收股利,,,,,,,,,,,,,,,
应付股利,"60,000,000.00",,,,,,,,,,,,,,
存货,"59,514,858.60","87,072,584.82","89,638,896.80","103,241,367.01","112,838,453.90","131,902,905.76","135,661,132.90","160,014,395.66","175,627,341.04","158,063,969.03","171,484,392.76","184,403,580.22","193,271,800.78","209,234,607.26","204,863,997.64"
其他应付款,"9,267,983.28","12,847,627.55","11,544,262.98","9,749,536.32","12,320,452.96","9,037,993.93","18,837,686.48","15,067,291.45","22,239,514.65","14,193,048.80","21,485,641.86","26,662,957.20","33,688,921.95","18,136,421.95","26,636,884.57"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
其他流动资产,"10,000,000.00",,,,,"55,260.38","55,035.83","100,302,777.06","100,000,000.00","694,204.62","455,641.37","100,058,957.49","15,752,738.15","3,329,201.93","10,172,630.90"
其他流动负债,,,,,,"3,456,557.01","4,253,000.66","4,552,521.58","3,591,581.70","14,251,967.17","14,477,892.92","13,686,700.98","13,739,081.93","20,918,965.59","19,852,615.88"
流动资产合计,"374,503,762.01","459,723,501.45","492,788,608.50","469,286,752.71","514,151,457.28","549,884,594.68","832,795,841.74","847,147,912.55","887,323,032.81","917,518,082.58","903,338,174.09","925,860,266.55","904,323,459.87","937,460,037.49","934,677,165.87"
流动负债合计,"228,204,003.07","201,207,242.37","175,862,521.75","136,709,500.13","158,093,324.07","176,291,447.84","182,384,323.85","185,774,263.19","212,396,119.61","236,986,145.19","220,556,763.61","235,782,268.59","248,657,907.03","279,528,585.53","278,001,856.57"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,
