科目,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-6月,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"7,957,794.81","5,678,491.39","14,318,853.98","9,044,498.66","17,101,789.58","10,772,023.66","27,332,472.24","17,718,863.29","35,537,737.47","21,286,344.37","43,380,998.00","29,157,466.79","58,911,462.37","35,061,385.53","51,959,868.01","69,442,198.19","24,779,606.49","43,155,555.39","69,013,911.27","97,895,423.64","32,387,988.15","58,274,918.16","86,221,696.16","118,012,002.91","41,226,559.51"
取得借款收到的现金,"15,000,000.00","7,000,000.00","22,000,000.00","12,000,000.00","22,000,000.00","17,000,000.00","27,000,000.00","25,000,000.00","50,846,469.00","44,121,368.96","69,153,531.00","5,000,000.00","15,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00","166,000,000.00","166,000,000.00","195,850,000.00","58,500,000.00","190,500,000.00","312,604,258.00","402,500,000.00","120,000,000.00"
支付的各项税费,"10,561,918.44","9,418,871.22","18,555,171.79","6,604,562.87","20,410,951.94","6,890,859.87","29,564,941.47","15,895,621.39","33,839,186.18","14,441,279.00","41,026,607.32","15,194,182.24","46,651,609.12","28,974,582.08","45,049,422.28","70,919,259.41","25,916,947.94","33,936,686.99","54,593,337.04","85,004,858.10","29,856,295.53","36,128,582.53","56,399,919.79","79,078,229.69","35,486,372.10"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,"28,250,000.00",,"5,107,583.33",,,,
支付其他与经营活动有关的现金,"26,417,585.19","19,141,338.85","39,193,885.64","27,057,913.19","51,673,995.98","27,950,907.34","60,913,000.98","50,921,233.78","102,222,293.18","68,641,210.58","124,561,635.05","84,616,859.84","148,987,910.22","72,619,345.30","114,739,548.04","162,549,157.83","49,300,865.43","105,304,502.90","145,359,343.75","207,131,173.83","56,150,911.89","128,208,544.85","184,781,998.78","297,268,849.84","91,198,077.23"
筹资活动现金流入小计,"15,000,000.00","7,000,000.00","22,000,000.00","12,000,000.00","22,000,000.00","17,000,000.00","27,000,000.00","97,069,365.88","122,915,834.88","44,121,368.96","69,153,531.00","5,000,000.00","15,000,000.00","428,320,032.00","428,320,032.00","496,945,032.00","20,000,000.00","166,000,000.00","194,250,000.00","197,135,714.00","63,607,583.33","196,500,000.00","610,071,492.59","699,967,234.59","120,048,000.00"
经营活动现金流出小计,"121,619,792.93","61,284,858.61","178,364,533.80","98,209,801.82","202,723,113.45","117,284,052.24","288,044,656.79","168,763,474.60","320,069,187.20","197,863,949.92","470,200,768.53","195,692,508.01","457,094,694.86","239,332,467.91","381,027,917.39","572,049,126.92","216,689,616.97","337,772,339.22","623,996,656.84","906,552,316.05","233,808,408.46","485,597,781.24","794,934,689.57","1,074,704,814.15","398,577,410.25"
偿还债务支付的现金,"10,000,000.00","5,000,000.00","15,000,000.00","12,000,000.00","22,000,000.00","12,000,000.00","22,000,000.00","17,000,000.00","27,000,000.00","26,000,000.00","40,000,000.00","13,500,000.00","35,000,000.00","14,000,000.00","22,000,000.00","52,000,000.00","18,000,000.00","18,000,000.00","34,467,000.00","113,595,651.70","40,000,000.00","106,083,587.16","116,626,362.08","211,032,032.61","115,799,867.14"
经营活动产生的现金流量净额,"11,091,005.92","-5,451,038.63","10,010,649.18","-15,292,572.95","10,813,199.44","-24,608,406.55","27,667,232.28","-25,676,792.61","18,767,118.53","6,751,645.65","38,391,847.61","-2,008,712.45","48,898,231.02","2,432,068.69","-15,085,739.09","18,295,070.74","-18,473,744.51","33,355,787.41","18,417,345.18","62,301,779.54","-45,507,988.96","-37,961,876.78","-80,099,032.73","36,269,457.13","-139,967,206.95"
分配股利、利润或偿还利息支付的现金,"1,113,517.50","545,283.75","1,116,568.75","555,337.50","1,144,747.50","623,987.50","7,929,866.46","1,044,379.97","2,268,019.79","19,500,544.05","21,819,300.55","2,328,396.65","21,742,025.12","1,899,700.00","44,044,918.87","44,662,832.74","291,094.43","513,427.76","44,534,842.22","47,952,016.90","2,838,252.62","32,245,240.39","37,026,375.63","42,719,042.09","5,581,376.97"
