科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"763,699,765.63","880,522,569.92","206,638,643.78","947,530,908.30","249,878,915.36","474,654,703.07","814,433,666.67","1,143,896,116.82","387,071,653.27","665,588,307.34","1,062,462,955.14","1,557,829,447.96","503,055,640.30","933,749,442.28","1,514,390,368.16","1,861,053,735.29","435,432,311.26","951,304,836.08","1,678,897,419.86","1,966,322,027.19","396,160,257.72","1,019,202,184.88","1,966,361,286.95","2,691,811,632.16","798,682,146.90","1,757,741,041.49","3,255,188,500.50","6,296,437,386.63","3,511,101,536.99","7,489,604,123.95","10,964,285,526.23","14,457,968,429.59","4,031,083,516.12","8,066,030,792.21","12,592,393,051.30"
取得子公司及其他营业单位支付的现金净额,,"656,000.00",,,,,,,,,,,,,,,,,,"12,401,317.54",,,,,,,"79,264,355.84","789,234,545.22",,"31,168,004.50","31,168,004.50","41,319,679.28",,,
收到的税费返还,"47,907,655.64","34,617,854.78","14,944,048.58","38,814,246.10","10,684,171.13","21,928,780.63","43,854,409.66","63,500,877.58","9,475,096.87","21,169,462.46","35,367,704.72","50,256,767.97","21,253,884.33","39,699,615.13","53,912,845.51","53,945,722.51","10,111,583.78","22,206,246.18","39,121,250.53","58,372,956.98","26,258,367.99","64,559,850.82","95,879,751.76","102,592,150.76","17,008,392.49","47,583,792.49","83,779,063.63","98,302,651.82","53,556,658.30","90,086,739.32","141,388,343.90","184,718,282.92","54,074,885.91","118,963,778.32","160,892,409.86"
支付其他与投资活动有关的现金,"1,950,000.00",,,,,,"62,368,496.65","1,000,000.00",,,"2,174,307.75","640,000.00",,"191,223.98","181,703.62",,,,,"3,656,503.20",,,"13,127,186.28",,,,,,,,,,,,
收到其他与经营活动有关的现金,"668,300.03","21,277,628.00","29,398,723.11","12,806,977.97","6,007,324.90","10,467,627.83","20,233,985.13","19,520,833.16","6,665,413.58","11,179,863.20","17,997,350.63","30,809,749.25","8,399,523.61","1,607,392.39","18,779,932.88","11,492,437.75","2,091,457.67","6,851,803.62","66,144,048.00","90,715,570.88","24,143,914.22","29,975,295.44","18,251,812.18","39,158,769.12","8,738,919.34","13,656,876.66","31,643,532.20","91,205,611.06","64,829,816.32","18,238,514.75","22,423,932.07","56,852,434.47","57,365,196.25","40,981,171.56","98,302,173.27"
投资活动现金流出小计,"74,530,577.68","131,935,654.01","31,389,071.25","77,616,550.07","37,606,819.03","64,252,430.36","169,284,852.08","226,996,561.07","26,501,626.14","82,431,541.55","142,218,202.37","179,224,333.65","57,833,541.33","102,162,364.67","119,391,135.32","235,666,372.69","53,640,918.01","103,981,546.90","274,194,347.16","1,176,098,862.73","230,063,139.42","369,557,389.42","652,417,845.95","722,534,431.40","384,835,188.23","873,537,531.24","1,504,059,394.45","2,160,559,766.03","428,397,908.80","803,606,982.89","1,240,650,844.01","1,587,758,411.81","368,123,646.82","1,429,421,777.33","2,294,851,311.41"
经营活动现金流入小计,"812,275,721.30","936,418,052.70","250,981,415.47","999,152,132.37","266,570,411.39","507,051,111.53","878,522,061.46","1,226,917,827.56","403,212,163.72","697,937,633.00","1,115,828,010.49","1,638,895,965.18","532,709,048.24","975,056,449.80","1,587,083,146.55","1,926,491,895.55","447,635,352.71","980,362,885.88","1,784,162,718.39","2,115,410,555.05","446,562,539.93","1,113,737,331.14","2,080,492,850.89","2,833,562,552.04","824,429,458.73","1,818,981,710.64","3,370,611,096.33","6,485,945,649.51","3,629,488,011.61","7,597,929,378.02","11,128,097,802.20","14,699,539,146.98","4,142,523,598.28","8,225,975,742.09","12,851,587,634.43"
投资活动产生的现金流量净额,"-74,455,577.68","-130,080,355.30","-30,982,809.70","-73,188,523.28","-37,606,319.03","-59,682,822.67","-162,418,207.29","-218,278,301.38","-21,593,580.26","-66,578,739.93","-114,071,022.11","-146,046,944.61","-54,546,120.72","-94,653,707.41","-60,623,937.69","-172,884,750.85","-49,648,654.37","-71,486,885.80","-198,684,289.57","-405,682,667.86","-227,501,081.38","-360,328,115.19","-623,631,099.31","-582,913,662.50","-377,611,983.96","-843,669,847.98","-1,102,433,558.91","-2,094,810,023.36","-425,655,112.77","-726,393,880.12","-1,125,660,079.11","-1,534,024,117.25","-366,168,248.62","-1,417,128,286.28","-2,255,679,989.20"
购买商品、接受劳务支付的现金,"517,804,589.05","622,932,091.61","122,524,515.56","675,726,204.50","228,005,472.36","432,792,308.84","747,373,886.92","1,008,351,487.93","387,449,353.27","594,323,253.42","932,263,877.62","1,342,997,042.62","359,743,414.08","709,052,669.16","1,235,628,007.65","1,379,215,463.14","377,235,892.78","857,209,056.94","1,444,433,726.46","1,571,256,795.10","265,954,807.87","848,906,202.31","1,772,209,299.00","2,424,019,277.75","830,300,887.04","1,916,656,168.18","3,159,922,860.91","6,192,588,065.53","3,477,459,542.11","7,266,547,095.57","10,731,775,667.55","13,459,483,925.62","4,205,068,321.11","7,702,950,912.26","12,033,257,286.56"
吸收投资收到的现金,,"178,500,000.00",,,,"526,115,610.00","526,115,610.00","540,943,610.00","6,850,750.03","5,737,814.85","5,737,814.85","20,337,815.15","8,400,000.00","8,400,000.00","8,400,000.00","8,400,000.00","23,191,611.99","35,003,682.55","35,003,682.55","35,003,682.55",,,"1,460,835,270.62","1,460,835,270.62",,"44,944,585.68","516,966,286.63","587,876,286.63","16,710,000.00","16,890,000.00","20,110,585.47","3,382,195,426.43",,,
