科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"146,104,762.24","171,858,419.58","234,031,378.76","145,662,420.66","251,700,350.90","27,254,112.58","81,787,280.06","130,173,191.76","212,829,015.91","29,172,533.76","89,105,582.91","127,593,425.41","205,496,858.92","44,155,081.40","88,736,227.75","147,230,400.00","271,517,820.46","62,637,782.80","117,191,693.30","210,827,540.40","600,616,605.13","63,593,680.50","114,005,511.36","193,346,950.21","375,783,750.81","50,420,353.37","115,466,598.45","246,385,453.48","402,363,187.47","112,312,353.62","182,032,356.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,"341,025.64","864,331.14","2,346,879.51","4,075,199.29","12,321,767.57","12,321,767.57","23,059,473.56","497,527.84",,"3,540,829.04","5,514,060.55",,"193,868.71"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00","450,000,000.00",,,,,,,
收到其他与经营活动有关的现金,"14,687,974.12","24,023,354.51","18,178,598.95","12,344,927.13","15,378,327.66","1,173,233.47","1,780,866.58","6,113,070.85","9,560,387.65","1,599,849.96","8,892,127.63","10,235,311.68","17,605,307.64","1,330,113.31","6,029,215.30","14,843,358.43","18,011,694.51","1,246,528.60","5,485,475.82","7,309,813.23","9,900,970.78","1,007,578.42","3,251,202.97","5,589,619.97","7,211,776.00","1,756,655.40","5,046,208.79","6,623,172.25","35,697,299.70","768,840.50","2,195,376.46"
投资活动现金流出小计,"1,946,754.69","1,444,759.98","8,894,976.88","21,181,993.01","26,062,547.83","1,388,364.00","4,844,165.50","7,151,629.25","33,015,264.47","4,443,538.33","11,580,068.33","17,719,223.12","30,737,559.26","6,939,871.34","11,469,236.22","13,580,346.17","18,018,135.60","4,230,677.00","7,584,826.00","10,216,600.01","15,673,373.86","1,761,255.18","202,481,659.81","452,745,880.81","453,046,645.81","301,277,801.74","569,110,339.74","603,878,480.05","624,327,361.15","10,818,501.90","19,569,255.91"
经营活动现金流入小计,"160,792,736.36","195,881,774.09","252,209,977.71","158,007,347.79","267,078,678.56","28,427,346.05","83,568,146.64","136,286,262.61","222,389,403.56","30,772,383.72","97,997,710.54","137,828,737.09","223,102,166.56","45,485,194.71","94,765,443.05","162,073,758.43","289,529,514.97","63,884,311.40","123,018,194.76","219,001,684.77","612,864,455.42","68,676,458.21","129,578,481.90","211,258,337.75","406,055,000.37","52,674,536.61","120,512,807.24","256,549,454.77","443,574,547.72","113,081,194.12","184,421,602.10"
投资活动产生的现金流量净额,"-1,457,331.98","-285,699.73","-6,412,824.94","-21,181,993.01","-26,062,547.83","-1,388,364.00","-4,844,165.50","-7,151,629.25","-33,015,264.47","-4,443,538.33","-11,580,068.33","-17,719,223.12","-30,737,559.26","-6,939,871.34","-11,461,656.22","-13,572,766.17","-18,010,555.60","-4,230,677.00","-7,584,826.00","-10,212,100.01","-15,663,493.86","-1,761,255.18","-202,481,659.81","-251,161,436.37","-589,751.37","-251,144,240.10","-266,695,271.25","-301,463,411.56","-321,912,292.66","-10,818,501.90","-19,569,255.91"
购买商品、接受劳务支付的现金,"90,738,663.50","136,309,283.20","154,437,949.88","105,734,450.62","163,751,078.59","37,036,644.77","76,994,035.52","108,731,375.14","149,684,446.00","44,723,069.00","83,515,423.86","119,249,905.37","177,270,699.48","43,872,362.70","74,489,464.63","121,101,942.01","175,612,537.32","57,465,057.75","106,858,186.31","164,482,462.04","237,213,743.83","116,285,431.06","143,774,288.13","205,290,859.67","326,933,621.03","70,888,211.15","147,101,526.52","208,014,841.04","288,558,335.47","95,149,657.32","186,434,489.43"
吸收投资收到的现金,,"9,000,000.00","42,250,000.00",,,"284,665,000.00","284,665,000.00","284,665,000.00","284,665,000.00",,,,,,,,,,,"4,024,800.00","65,520,000.00",,,,,,,,,,
