科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"73,353,069,000.00","177,487,288,000.00","32,888,122,000.00","82,235,821,000.00","135,329,857,000.00","226,140,708,000.00","51,330,836,000.00","130,220,364,000.00","224,875,892,000.00","355,520,769,000.00","70,290,450,000.00","179,320,347,000.00","302,094,450,000.00","470,158,793,000.00","87,356,008,000.00","211,406,095,000.00","324,269,747,000.00","457,366,110,000.00","66,336,072,000.00","184,531,910,000.00","303,176,903,000.00","484,312,928,000.00","89,100,575,000.00","236,037,623,000.00","391,511,105,000.00","586,789,590,000.00","108,142,908,000.00","261,693,635,000.00","411,675,487,000.00","591,968,452,000.00","117,076,346,000.00","262,894,264,000.00","413,049,712,000.00","600,538,730,000.00","118,678,000,000.00","266,727,199,000.00","423,885,124,000.00","629,327,090,000.00","123,065,019,000.00","288,960,909,000.00","460,384,535,000.00","680,981,127,000.00","131,648,728,000.00"
二、营业利润,"2,487,389,000.00","4,890,822,000.00","877,375,000.00","1,867,510,000.00","2,856,217,000.00","4,701,754,000.00","1,108,051,000.00","2,885,149,000.00","4,707,201,000.00","8,193,531,000.00","1,643,958,000.00","4,150,822,000.00","3,104,917,000.00","5,839,623,000.00","1,978,453,000.00","4,463,311,000.00","6,089,412,000.00","9,929,565,000.00","1,453,119,000.00","3,882,746,000.00","6,092,670,000.00","10,688,188,000.00","1,951,401,000.00","5,554,858,000.00","8,626,144,000.00","12,283,412,000.00","2,326,951,000.00","6,239,130,000.00","9,224,107,000.00","14,380,590,000.00","2,732,010,000.00","6,753,551,000.00","10,515,201,000.00","16,609,043,000.00","3,401,823,000.00","7,718,248,000.00","11,882,384,000.00","18,131,336,000.00","3,729,998,000.00","8,439,620,000.00","13,268,823,000.00","20,909,804,000.00","4,567,550,000.00"
减:营业成本,"66,346,353,000.00","160,598,330,000.00","29,601,375,000.00","73,979,609,000.00","122,288,283,000.00","203,607,081,000.00","46,278,855,000.00","117,826,135,000.00","204,149,521,000.00","322,427,811,000.00","63,613,174,000.00","162,246,884,000.00","277,014,546,000.00","428,647,118,000.00","78,885,819,000.00","190,752,891,000.00","293,059,822,000.00","409,327,413,000.00","59,105,902,000.00","165,292,988,000.00","272,117,961,000.00","432,889,011,000.00","79,754,143,000.00","212,333,969,000.00","351,969,843,000.00","527,247,896,000.00","96,928,139,000.00","235,175,637,000.00","370,026,896,000.00","527,729,820,000.00","104,879,443,000.00","234,091,391,000.00","367,675,164,000.00","531,756,328,000.00","106,123,037,000.00","239,399,390,000.00","382,462,765,000.00","571,377,532,000.00","111,718,083,000.00","263,410,127,000.00","419,884,457,000.00","618,059,386,000.00","118,603,202,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,410,183,000.00","5,489,878,000.00","1,009,509,000.00","2,458,277,000.00","3,926,243,000.00","6,730,520,000.00","1,537,453,000.00","3,972,795,000.00","6,699,012,000.00","10,544,544,000.00","2,113,455,000.00","5,286,421,000.00","8,888,556,000.00","13,971,606,000.00","2,672,478,000.00","6,245,702,000.00","9,717,665,000.00","14,046,780,000.00","1,944,849,000.00","5,241,952,000.00","8,751,806,000.00","14,441,235,000.00","2,446,774,000.00","6,667,558,000.00","10,987,094,000.00","16,827,296,000.00","3,126,791,000.00","7,649,821,000.00","11,945,540,000.00","17,979,344,000.00","3,131,701,000.00","7,572,211,000.00","11,319,859,000.00","18,016,474,000.00","3,041,891,000.00","4,397,415,000.00","5,095,540,000.00","8,144,208,000.00","758,824,000.00","1,595,134,000.00","2,265,493,000.00","4,950,483,000.00","597,087,000.00"
营业外收入,"89,960,000.00","219,194,000.00","46,621,000.00","107,645,000.00","172,873,000.00","265,158,000.00","46,445,000.00","129,897,000.00","188,212,000.00","300,257,000.00","52,265,000.00","166,663,000.00","241,813,000.00","409,630,000.00","98,642,000.00","194,061,000.00","279,039,000.00","521,537,000.00","98,212,000.00","197,474,000.00","330,111,000.00","655,864,000.00","119,320,000.00","279,102,000.00","396,728,000.00","966,248,000.00","266,254,000.00","386,356,000.00","588,588,000.00","828,637,000.00","193,798,000.00","353,315,000.00","468,752,000.00","808,618,000.00","121,295,000.00","258,908,000.00","593,681,000.00","1,213,038,000.00","220,658,000.00","537,108,000.00","850,269,000.00","1,090,270,000.00","193,601,000.00"
销售费用,"334,062,000.00","696,113,000.00","129,923,000.00","410,012,000.00","574,987,000.00","848,886,000.00","205,059,000.00","454,323,000.00","735,463,000.00","1,016,376,000.00","252,869,000.00","550,143,000.00","855,661,000.00","1,530,989,000.00","357,366,000.00","776,132,000.00","1,175,034,000.00","1,745,921,000.00","284,268,000.00","666,591,000.00","1,136,260,000.00","1,946,450,000.00","414,698,000.00","995,624,000.00","1,547,500,000.00","2,509,220,000.00","611,077,000.00","1,271,021,000.00","1,990,751,000.00","3,251,606,000.00","730,427,000.00","1,528,736,000.00","2,420,700,000.00","3,703,662,000.00","899,371,000.00","1,795,919,000.00","2,749,757,000.00","4,177,673,000.00","973,585,000.00","1,860,302,000.00","2,791,708,000.00","4,530,901,000.00","972,646,000.00"
减:营业外支出,"56,963,000.00","133,228,000.00","26,186,000.00","66,498,000.00","93,859,000.00","398,067,000.00","8,347,000.00","43,595,000.00","76,054,000.00","186,389,000.00","23,003,000.00","65,957,000.00","106,002,000.00","160,494,000.00","36,477,000.00","145,505,000.00","210,171,000.00","395,211,000.00","20,011,000.00","70,122,000.00","104,950,000.00","448,193,000.00","24,559,000.00","49,193,000.00","99,407,000.00","209,920,000.00","63,262,000.00","126,587,000.00","176,288,000.00","256,778,000.00","44,498,000.00","108,667,000.00","170,008,000.00","304,623,000.00","91,074,000.00","211,107,000.00","295,007,000.00","374,799,000.00","105,535,000.00","212,066,000.00","326,759,000.00","744,310,000.00","87,042,000.00"
管理费用,"1,397,706,000.00","5,326,349,000.00","1,361,250,000.00","3,097,119,000.00","5,072,304,000.00","8,724,927,000.00","2,104,312,000.00","4,907,286,000.00","8,434,169,000.00","13,408,946,000.00","2,556,668,000.00","6,759,855,000.00","11,307,110,000.00","19,159,242,000.00","3,194,651,000.00","8,602,251,000.00","13,186,868,000.00","19,851,399,000.00","2,825,724,000.00","7,889,347,000.00","12,691,955,000.00","20,705,766,000.00","3,801,769,000.00","8,876,141,000.00","15,566,917,000.00","22,719,838,000.00","3,867,220,000.00","8,766,903,000.00","14,510,523,000.00","22,845,241,000.00","4,151,286,000.00","9,977,443,000.00","16,231,245,000.00","22,835,612,000.00","4,362,268,000.00","10,930,519,000.00","18,087,505,000.00","24,089,617,000.00","4,929,365,000.00","12,131,841,000.00","19,893,510,000.00","26,057,966,000.00","5,578,792,000.00"
其中:非流动资产处置净损失,"16,555,000.00","61,346,000.00","12,413,000.00","27,970,000.00","33,960,000.00","37,388,000.00","-1,471,000.00","19,803,000.00","28,899,000.00","103,726,000.00","11,431,000.00","28,683,000.00","38,715,000.00","81,999,000.00","24,772,000.00","109,125,000.00","99,169,000.00","212,470,000.00","7,940,000.00","35,206,000.00","48,611,000.00","102,161,000.00","11,029,000.00","6,729,000.00","22,420,000.00","87,954,000.00","34,172,000.00","60,200,000.00","81,763,000.00","126,895,000.00","16,578,000.00","34,020,000.00","71,929,000.00","132,946,000.00","26,913,000.00","132,612,000.00","156,514,000.00","191,425,000.00","24,909,000.00","51,495,000.00","74,673,000.00",,
