科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"2,033,711,017.32","1,851,847,403.04","442,023,905.43","2,842,104,773.40","582,821,552.12","1,245,841,405.99","2,072,301,157.10","3,018,628,241.71","671,375,652.09","1,566,654,451.98","2,843,924,310.22","4,473,464,458.16","1,030,433,201.48","2,449,070,659.34","4,595,896,592.44","6,456,908,623.59","1,350,162,510.78","2,593,801,175.38","4,675,527,049.79","6,776,119,797.60","1,683,568,526.51","3,366,113,516.62","5,448,116,348.78","7,107,625,001.30","1,328,753,579.77","2,640,709,446.28","4,456,530,734.07","6,095,877,230.59","1,600,149,527.64","3,099,193,113.00","5,147,159,382.27","7,477,346,377.71","1,794,632,777.39","3,745,508,593.17","6,648,125,837.84","10,228,670,515.48","2,864,224,658.43"
二、营业利润,"155,870,072.80","108,194,834.10","38,861,706.07","273,423,501.81","74,390,677.00","176,346,176.84","287,586,052.47","395,837,319.38","77,304,933.83","171,643,180.96","296,544,453.53","473,484,817.44","123,161,959.18","266,315,678.78","489,006,349.03","620,963,550.69","172,473,051.34","275,710,148.34","510,539,028.34","710,269,844.00","174,357,006.68","297,104,815.41","551,578,935.61","724,065,036.53","125,273,397.98","292,165,478.99","474,838,547.16","342,553,901.54","108,113,859.07","220,060,816.17","351,670,890.24","304,746,115.85","148,314,214.24","372,004,725.45","558,967,633.78","695,429,198.51","193,735,612.06"
减:营业成本,"1,805,458,631.34","1,649,900,122.08","384,248,986.66","2,480,275,862.88","495,496,494.33","1,038,909,518.77","1,726,426,963.26","2,530,934,537.48","571,718,444.89","1,356,561,243.84","2,476,981,446.59","3,861,841,741.23","884,383,464.74","2,114,977,780.88","3,958,267,897.44","5,563,053,774.60","1,147,547,662.34","2,231,863,536.40","4,065,800,384.14","5,883,843,744.64","1,437,744,078.21","2,870,535,668.91","4,647,032,456.62","6,035,783,895.49","1,153,356,712.83","2,328,483,235.01","3,860,616,907.23","5,319,092,733.79","1,377,463,024.79","2,640,081,458.81","4,368,326,636.98","6,316,824,233.21","1,542,989,671.37","3,212,793,342.86","5,856,896,714.78","9,105,622,418.89","2,574,477,097.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"216,751.19","1,829,613.40","1,433,574.15","2,925,903.96","55,366.74","192,575.75","1,184,364.02","1,321,729.22","1,468,345.46","1,638,330.40","3,327,686.20","5,123,628.09","3,741,805.18","10,306,562.37","11,421,023.57","20,285,720.12","3,650,591.54","6,643,169.69","8,607,205.86","21,870,264.34","9,538,026.40","25,208,087.04","36,433,679.70","47,060,221.42","7,737,246.80","14,546,656.44","17,617,445.29","22,442,099.52","8,696,495.53","25,938,395.31","44,439,018.08","49,858,472.86","12,027,704.68","21,352,693.21","28,904,229.97","39,422,604.69","20,262,700.97"
营业外收入,"1,325,957.11","1,244,699.49","2,174,054.02","4,722,801.11","1,809,654.16","4,824,103.14","7,885,380.04","5,491,227.18","1,053,489.43","5,313,765.39","8,458,188.82","12,204,543.08","418,946.57","3,174,099.63","3,592,386.62","6,163,963.17","832,934.43","3,511,529.86","12,484,843.48","31,275,479.35","17,087,046.10","32,833,777.71","42,129,192.93","62,114,279.63","13,353,796.03","28,281,387.45","37,050,545.01","63,100,109.26","13,677,531.54","40,087,240.70","61,616,004.78","136,100,788.57","24,232,984.47","5,222,071.28","8,481,938.00","7,835,147.85","604,180.96"
销售费用,"40,324,962.06","41,682,793.45","7,194,928.74","48,435,088.95","9,314,199.13","18,448,434.88","31,114,676.87","44,199,958.69","9,238,201.89","26,285,095.34","43,277,561.14","66,183,044.01","18,792,236.48","37,249,629.17","64,763,891.59","102,330,089.19","27,017,214.42","55,054,126.83","80,376,480.15","113,999,881.81","39,056,920.94","80,455,107.24","117,635,210.65","163,845,935.35","45,406,289.88","74,903,867.81","101,774,855.90","178,785,147.69","54,946,460.87","111,307,179.93","185,368,591.26","363,582,660.37","83,836,646.28","185,617,649.43","300,578,912.75","401,906,623.06","89,954,212.19"
减:营业外支出,"190,747.01","791,634.76","5,361.33","410,245.34",,"122,648.26","178,048.30","343,136.96","47,008.85","400,656.59","1,040,071.69","1,303,205.30","29,147.10","217,719.15","728,313.65","944,039.22","4,575.29","146,316.38","578,397.80","1,112,667.66","143,436.11","1,549,788.94","1,818,561.25","1,879,440.37","140,723.24","848,780.18","3,794,860.61","4,880,003.10","9,211,444.27","10,008,998.25","11,971,549.54","13,270,033.45","-200,415.43","-48,070.41","613,230.08","3,079,524.73","258,801.95"
管理费用,"15,829,589.77","28,880,005.90","6,998,653.30","29,644,201.36","5,741,325.64","13,412,560.72","22,247,335.37","40,862,087.72","13,163,050.56","26,644,671.03","45,445,333.52","79,492,641.88","19,261,224.55","42,289,968.85","70,952,343.27","105,793,362.85","18,652,343.15","35,064,020.35","54,592,055.45","89,882,064.99","34,339,418.49","87,109,187.49","120,828,489.66","156,056,015.64","29,041,803.92","62,320,995.93","102,103,855.08","168,089,901.51","49,500,915.08","142,840,050.26","262,837,402.44","353,484,073.18","70,162,928.90","144,748,786.56","221,119,583.73","323,586,346.18","94,769,933.95"
其中:非流动资产处置净损失,,"83,324.90",,,,,,"12,076.66",,,,"273,423.97",,,,"49,449.88","2,628.80","26,909.86","36,427.35","36,717.77","18,678.98","52,739.17","154,405.14","206,056.22","122,360.22","405,620.57","3,273,289.49","4,015,161.55","9,192,570.77","9,374,801.15","11,190,268.64","11,798,012.52","-227,989.17","-161,173.65","474,520.59",,
