科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"234,415,444.57","291,605,468.70","111,857,844.56","245,415,528.06","172,930,308.78","278,650,867.33","399,450,274.76","98,225,446.70","225,088,582.93","351,079,076.52","513,056,228.76","141,879,304.60","310,271,687.07","486,175,969.55","624,381,285.77","166,689,337.69","345,341,372.47","520,241,910.38","721,829,703.40","199,511,353.23","455,745,226.10","702,842,079.83","959,053,851.97","266,370,446.72","597,019,483.85","1,013,338,665.71","1,560,888,818.60","890,888,354.42","1,571,122,627.40","2,345,154,361.96","3,147,667,034.10","767,272,069.66","1,604,185,728.66","3,102,726,845.78","3,462,424,378.78","801,169,174.35","1,675,803,869.89"
取得子公司及其他营业单位支付的现金净额,"1,896,742.74",,,,,,"605,509.79",,,"19,238,631.98","17,266,059.43",,,,,,,,,,,,,,,"263,267,050.80","232,607,050.79",,,"10,500,000.00",,,"19,150,512.06","19,150,512.06","19,150,512.06",,
收到的税费返还,"785,987.54",,"4,220,168.07","973,459.63","1,166,528.85","1,166,528.85","385,789.15","104,178.93","284,815.47","749,729.38","1,167,855.25","226,274.34","843,731.66","1,714,255.87","1,824,440.63","203,376.12","302,468.06","799,008.68","1,157,652.97","709,736.90","1,918,209.72","2,692,758.39","2,692,758.39","421,007.34","642,096.60","2,074,731.99","5,220,881.07","1,881,248.32","3,340,675.71","4,868,464.93","5,840,895.26",,"336,501.37","336,501.37","336,501.37","562,025.88","1,067,777.88"
支付其他与投资活动有关的现金,,,"107,956.50","12,744,500.00","18,566.10","270,166.10",,"5,751.80","6,065.80","8,252.80",,,"-1,000,000.00",,"12,636,369.20","1,886,688.14","9,267,802.85","11,171,754.08","8,959,562.72",,"17,117.00","14,043,116.33","13,150,513.11","764,090.00",,"1,392,880.30","48,260,556.93",,,,"31,572,016.98",,,,,,
收到其他与经营活动有关的现金,"4,778,270.70","10,861,010.33","766,127.90","7,257,152.63","406,197.69","7,329,026.78","7,344,436.69","1,081,342.24","6,813,714.20","18,174,060.00","17,838,146.25","2,191,025.90","5,091,642.24","11,410,770.71","22,474,879.87","4,307,792.99","8,417,166.98","29,511,483.42","22,315,038.94","1,128,095.81","7,896,258.85","11,497,816.68","14,564,115.16","7,097,884.07","9,177,581.04","18,950,861.66","25,492,501.28","3,277,882.24","8,295,387.99","19,584,716.23","16,565,513.52","10,290,126.26","63,274,024.95","73,390,635.36","58,614,964.95","14,009,828.60","172,805,029.62"
投资活动现金流出小计,"43,225,995.19","58,128,801.25","10,265,268.32","54,502,053.94","26,423,220.84","42,908,704.86","78,420,939.84","21,279,406.08","75,595,456.14","117,826,165.42","166,003,167.77","38,219,232.11","91,791,101.59","142,539,134.24","238,826,900.74","59,497,714.19","93,985,630.30","130,009,790.91","261,489,578.73","47,715,640.78","222,467,983.60","251,652,180.81","343,860,338.99","136,352,954.43","342,792,259.86","735,276,390.15","850,312,222.12","238,720,439.46","334,826,357.80","596,867,281.50","907,888,123.92","324,727,666.89","879,767,199.91","1,061,266,204.34","1,098,900,851.56","775,731,773.26","1,253,320,002.75"
经营活动现金流入小计,"239,979,702.81","302,466,479.03","116,844,140.53","253,646,140.32","174,503,035.32","287,146,422.96","407,180,500.60","99,410,967.87","232,187,112.60","370,002,865.90","532,062,230.26","144,296,604.84","316,207,060.97","499,300,996.13","648,680,606.27","171,200,506.80","354,061,007.51","550,552,402.48","745,302,395.31","201,349,185.94","465,559,694.67","717,032,654.90","976,310,725.52","273,889,338.13","606,839,161.49","1,034,364,259.36","1,591,602,200.95","896,047,484.98","1,582,758,691.10","2,369,607,543.12","3,170,073,442.88","777,562,195.92","1,667,796,254.98","3,176,453,982.51","3,521,375,845.10","815,741,028.83","1,849,676,677.39"
投资活动产生的现金流量净额,"-42,223,807.68","-44,458,283.06","-10,058,228.32","-31,177,370.96","-21,941,738.84","-38,419,222.86","-70,739,501.06","-18,858,822.08","-73,174,872.14","-114,049,661.42","-161,769,510.28","-37,929,232.11","-90,423,701.59","-140,321,842.24","-191,071,651.88","-59,349,974.19","-92,437,890.30","-129,862,050.91","-252,658,465.54","-47,355,131.66","-216,588,869.68","-245,973,066.89","-205,599,514.63","34,399,299.42","-171,753,471.76","-453,426,860.00","-550,224,025.85","-238,616,759.12","-334,697,412.35","-576,582,440.05","-884,263,614.72","-324,666,666.89","-879,625,018.46","-998,739,718.73","-840,192,333.83","-675,137,000.29","-531,592,853.71"
购买商品、接受劳务支付的现金,"195,637,915.51","216,812,699.74","80,987,440.69","159,932,322.69","161,545,104.94","272,412,699.96","347,501,512.68","96,261,155.53","196,071,177.11","302,584,112.51","425,625,484.11","129,373,544.79","268,132,352.48","412,701,856.19","560,374,178.07","152,974,083.80","303,792,174.16","449,162,553.38","564,095,896.79","191,453,219.11","382,792,742.54","583,911,150.73","823,378,613.58","225,340,960.99","496,072,741.18","755,592,056.04","995,440,165.49","791,564,960.82","1,169,342,728.80","1,566,969,508.17","2,141,044,605.68","687,601,910.00","1,672,886,503.17","2,489,718,442.01","2,337,506,593.43","759,217,252.88","1,345,030,850.82"
吸收投资收到的现金,"40,000,000.00","1,470,000.00",,,,"489,167,000.00","478,746,495.30",,"1,000,000.00","1,000,000.00","1,000,000.00",,"1,000,000.00","37,611,170.00","37,634,170.00",,,,"486,055,302.24",,,,,,,"110,989,989.92","119,989,989.92",,,"11,000,000.00","500,000.00","250,000.00","250,000.00","250,000.00","588,377,715.00","50,000.00","108,545,986.80"
支付给职工以及为职工支付的现金,"12,411,516.57","15,144,617.43","8,147,757.58","15,773,041.10","11,369,901.08","17,585,969.32","25,667,558.02","8,830,141.47","17,375,902.28","33,562,776.31","42,247,837.63","14,047,575.70","25,247,672.45","36,907,265.02","47,772,674.13","15,602,928.04","23,558,464.19","38,097,348.90","49,520,952.28","17,384,832.90","33,999,004.32","49,581,951.77","59,103,961.56","19,187,036.28","28,479,622.30","68,579,254.83","108,381,745.44","38,659,743.02","81,172,379.20","116,699,717.85","155,345,793.20","45,964,041.75","98,325,311.19","151,060,942.46","192,112,380.29","64,625,080.84","126,561,525.41"
取得借款收到的现金,"37,360,000.00","103,795,498.04","44,910,000.00","52,139,616.00","83,357,021.74","83,357,021.74","78,750,000.00",,,"40,000,000.00","40,000,000.00","12,400,818.56","54,719,712.49","97,406,649.94","174,777,614.50","93,659,956.79","260,490,196.10","316,088,962.03","448,757,683.15","86,060,361.76","218,382,375.71","293,399,295.49","526,052,923.72","117,343,473.14","258,568,737.22","308,281,588.81","459,371,736.92","279,793,818.19","347,629,827.60","460,450,419.67","668,310,407.53","737,695,742.71","1,624,390,543.82","2,400,382,364.10","3,412,979,239.10","270,000,000.00","884,663,002.00"
支付的各项税费,"27,792,974.98","34,853,788.21","9,243,170.77","23,231,960.78","9,996,386.34","14,569,671.90","17,783,308.65","1,507,276.72","7,449,708.35","13,301,647.09","20,073,557.86","9,345,396.64","23,294,150.07","28,540,431.33","36,916,806.54","10,308,815.26","24,713,382.21","29,598,465.96","38,358,584.93","5,252,364.30","19,565,041.88","26,849,656.98","39,945,662.09","5,175,647.03","21,367,586.88","38,701,792.99","75,197,402.51","23,997,509.86","69,258,792.43","104,982,790.57","138,251,613.13","57,170,794.53","225,005,109.25","349,499,106.26","399,534,303.89","101,341,129.37","375,125,295.00"
收到其他与筹资活动有关的现金,"10,910,000.00",,,,,"12,646.13","10,420,504.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,353,125.00",,
支付其他与经营活动有关的现金,"8,609,693.56","9,084,652.05","2,516,873.28","7,053,301.88","3,768,402.55","9,303,745.63","20,963,702.47","3,991,883.65","2,526,064.75","16,164,289.22","9,709,254.79","4,069,763.93","3,631,433.66","6,543,847.87","15,293,259.91","7,649,238.18","10,702,301.73","16,588,832.32","29,770,514.84","7,695,922.41","10,719,774.23","17,211,567.98","42,775,047.26","5,894,137.47","14,424,559.52","53,897,574.02","46,616,090.18","6,701,291.71","14,521,268.95","31,947,582.14","76,957,175.95","15,877,158.25","30,734,512.61","46,828,893.48","88,356,502.91","26,954,655.22","35,976,449.79"
筹资活动现金流入小计,"88,270,000.00","105,265,498.04","44,910,000.00","52,139,616.00","83,357,021.74","572,536,667.87","567,917,000.00",,"1,000,000.00","41,000,000.00","41,000,000.00","12,400,818.56","55,719,712.49","135,017,819.94","212,411,784.50","93,659,956.79","260,490,196.10","316,088,962.03","934,812,985.39","86,060,361.76","218,382,375.71","293,399,295.49","526,052,923.72","117,343,473.14","258,568,737.22","419,271,578.73","579,361,726.84","279,793,818.19","347,629,827.60","471,450,419.67","668,810,407.53","737,945,742.71","1,624,640,543.82","2,400,632,364.10","4,987,710,079.10","270,050,000.00","993,208,988.80"
经营活动现金流出小计,"244,452,100.62","275,895,757.43","100,895,242.32","205,990,626.45","186,679,794.91","313,872,086.81","411,916,081.82","110,590,457.37","223,422,852.49","365,612,825.13","497,656,134.39","156,836,281.06","320,305,608.66","484,693,400.41","660,356,918.65","186,535,065.28","362,766,322.29","533,447,200.56","681,745,948.84","221,786,338.72","447,076,562.97","677,554,327.46","965,203,284.49","255,597,781.77","560,344,509.88","916,770,677.88","1,225,635,403.62","860,923,505.41","1,334,295,169.38","1,820,599,598.73","2,511,599,187.96","806,613,904.53","2,026,951,436.22","3,037,107,384.21","3,017,509,780.52","952,138,118.31","1,882,694,121.02"
偿还债务支付的现金,"16,880,000.00","59,346,087.54","51,000,000.00","69,529,616.00","46,360,277.25","89,243,135.60","129,660,000.00",,,"20,000,000.00","40,000,000.00",,"12,474,954.15","54,039,432.09","104,058,572.59","46,133,457.85","130,456,722.00","183,360,388.38","241,620,535.02","170,648,853.33","340,646,276.79","391,378,911.01","465,718,615.13","79,362,239.87","128,466,307.35","300,535,411.32","532,319,588.05","81,939,020.36","191,783,414.71","290,012,509.97","360,343,360.89","160,962,771.65","336,870,565.78","886,112,208.27","2,448,042,870.45","375,940,927.42","861,446,125.01"
经营活动产生的现金流量净额,"-4,472,397.81","26,570,721.60","15,948,898.21","47,655,513.87","-12,176,759.59","-26,725,663.85","-4,735,581.22","-11,179,489.50","8,764,260.11","4,390,040.77","34,406,095.87","-12,539,676.22","-4,098,547.69","14,607,595.72","-11,676,312.38","-15,334,558.48","-8,705,314.78","17,105,201.92","63,556,446.47","-20,437,152.78","18,483,131.70","39,478,327.44","11,107,441.03","18,291,556.36","46,494,651.61","117,593,581.48","365,966,797.33","35,123,979.57","248,463,521.72","549,007,944.39","658,474,254.92","-29,051,708.61","-359,155,181.24","139,346,598.30","503,866,064.58","-136,397,089.48","-33,017,443.63"
